variant,success,error_message,variant_description,model_file,K_T,T_trim_max,projection_mode,sense_gain1,sense_gain2,sense_gain3,sense_gain4,max_real_current_imbalance_A,rms_real_current_imbalance_A,max_sensed_current_imbalance_A,rms_sensed_current_imbalance_A,mean_real_IL1_A,mean_real_IL2_A,mean_real_IL3_A,mean_real_IL4_A,mean_sensed_IL1_A,mean_sensed_IL2_A,mean_sensed_IL3_A,mean_sensed_IL4_A,Vout_ripple_pp_mV,final_Vout_error_mV,effective_switching_frequency_Hz,phase_spacing_std_ns,phase_order_error_rate,Ton_trim_usage,Lambda_trim_usage,guard_clamp_count,fallback_count,REQ_count,dropped_REQ_count,score,score_real,score_sensed,classification_hint,phase_event_count,projection_scale_min
R2-C0,1,,R2_C0_iqcot_current_sense_mismatch,E:\Desktop\codex\models\derived\E030_R2_C0_current_sense_from_ideal_iqcot_20260629.slx,0,2.5e-08,0,1.05,0.95,1.05,0.95,0.0362720342556955,0.0310477843882645,0.538005994967104,0.50105000305322,9.96250689109925,9.97348304298823,10.0348031293557,10.0233313169569,10.4606322356542,9.47480889083881,10.5365432858235,9.52216475110906,1.13739290629089,-1.81159344710208,500000,26.9609963443962,0,0,0,0,0,340,0,0.470623696008943,0.470623696008943,0.470623696008943,baseline,340,NaN
R2-C1,1,,R2_C1_ton_diff_reference,E:\Desktop\codex\models\derived\E030_R2_C1_current_sense_from_ideal_iqcot_20260629.slx,5e-09,2.5e-08,0,1.05,0.95,1.05,0.95,0.475723949457871,0.420096151433689,0.141895712441507,0.0925630839161454,9.50710288302773,10.4178149669525,9.62269148817415,10.383697991788,9.98245802717911,9.89692421860483,10.1038260625829,9.86451309219866,15.0556910469775,-58.8678178876165,519117.647058823,4.12679448809295e-10,0,0.87193483451777,0,0,0,353,0,5.71434226109874,5.71434226109874,0.573660883764438,ton_diff_reference,353,1
R2-C4a,1,,R2_C4a_reduced_KT_projection,E:\Desktop\codex\models\derived\E030_R2_C4a_current_sense_from_ideal_iqcot_20260629.slx,2.2e-09,2.5e-08,1,1.05,0.95,1.05,0.95,0.317534267218768,0.311601040474902,0.195375731629618,0.189756822830166,9.71211904649546,10.3431133213083,9.7158998053424,10.331184043212,10.1977249988202,9.82595765524291,10.2016947956095,9.81462484105139,8.6065837977295,-7.45930238293472,517647.058823529,5.30483227086841,0,0.401338414903455,0,0,0,352,0,3.67805941061071,3.67805941061071,0.321620639536658,sensed_real_divergence,352,1
R2-C4c,1,,R2_C4c_voltage_error_aware_projection,E:\Desktop\codex\models\derived\E030_R2_C4c_current_sense_from_ideal_iqcot_20260629.slx,5e-09,2.5e-08,3,1.05,0.95,1.05,0.95,0.432626734797672,0.403094315807778,0.126599005962888,0.100269475694655,9.59675954893022,10.4412414471844,9.61551897562347,10.3809388778088,10.0765975263767,9.91917937482518,10.0962949244046,9.86189193391834,7.54143180503075,-29.6156777814779,519117.647058823,4.12679448809295e-10,0,0.681135159388692,0,4251,0,353,0,5.04250241040791,5.04250241040791,0.365714729174269,sensed_real_divergence,353,0.628010973445663
