block_path,block_type,mask_type,parameter,value,value_class
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Compare
To Constant",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Compare
To Constant1/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Compare
To Constant1/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Compare
To Constant1/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Compare
To Constant1/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Compare
To Constant2/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Compare
To Constant2/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Compare
To Constant2/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Compare
To Constant2/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Compare
To Constant3/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Compare
To Constant3/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Compare
To Constant3/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Compare
To Constant3/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/CurrentLimit_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Data Type Conversion",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Data Type Conversion1",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/ILi",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Logical
Operator1",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Logical
Operator2",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Logical
Operator3",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Logical
Operator4",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Logical
Operator5",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/NQmin_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Qi",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Ton_done_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Ton_iqcot3",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/tri",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Compare
To Constant",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Compare
To Constant1/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Compare
To Constant1/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Compare
To Constant1/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Compare
To Constant1/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Compare
To Constant2/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Compare
To Constant2/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Compare
To Constant2/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Compare
To Constant2/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Compare
To Constant3/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Compare
To Constant3/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Compare
To Constant3/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Compare
To Constant3/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/CurrentLimit_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Data Type Conversion",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Data Type Conversion1",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/ILi",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Logical
Operator1",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Logical
Operator2",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Logical
Operator3",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Logical
Operator4",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Logical
Operator5",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/NQmin_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Qi",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Ton_done_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Ton_iqcot4",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/tri",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Compare
To Constant/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Compare
To Constant/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/Compare
To Constant/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Compare
To Constant/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement/+",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement/-",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement/Model/in",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement/Model/out",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement/do not
delete
this gain",Gain,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement/i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement1/+",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement1/-",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement1/Model/in",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement1/Model/out",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement1/do not
delete
this gain",Gain,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement1/i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement2/+",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement2/-",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement2/Model/in",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement2/Model/out",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement2/do not
delete
this gain",Gain,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement2/i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement3/+",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement3/-",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement3/Model/in",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement3/Model/out",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement3/do not
delete
this gain",Gain,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement3/i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source/+",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source/-",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source/Model/DC",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source/Model/Out1",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source1/+",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source1/-",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source1/Model/DC",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source1/Model/Out1",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source2/+",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source2/-",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source2/Model/DC",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source2/Model/Out1",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source3/+",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source3/-",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source3/Model/DC",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/DC Voltage Source3/Model/Out1",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Data Type Conversion",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Data Type Conversion2",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Data Type Conversion3",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Data Type Conversion4",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Detect Rise
Positive/Delay Input1",UnitDelay,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Detect Rise
Positive/FixPt
Relational
Operator",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Detect Rise
Positive/Positive/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Detect Rise
Positive/Positive/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/Detect Rise
Positive/Positive/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Detect Rise
Positive/Positive/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Detect Rise
Positive/U",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Detect Rise
Positive/Y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Gain",Gain,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Gain11",Gain,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Gain12",Gain,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Gain13",Gain,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/Gain9",Gain,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/Logical
Operator1",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay/Compare
To Constant/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay/Compare
To Constant/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay/Compare
To Constant/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay/Compare
To Constant/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay/Data Type Conversion",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay1/Compare
To Constant/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay1/Compare
To Constant/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay1/Compare
To Constant/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay1/Compare
To Constant/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay1/Data Type Conversion",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay1/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay1/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay1/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/QHi",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/QLi",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/Qi",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/ShootThrough_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/Logical
Operator1",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay/Compare
To Constant/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay/Compare
To Constant/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay/Compare
To Constant/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay/Compare
To Constant/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay/Data Type Conversion",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay1/Compare
To Constant/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay1/Compare
To Constant/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay1/Compare
To Constant/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay1/Compare
To Constant/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay1/Data Type Conversion",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay1/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay1/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay1/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/QHi",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/QLi",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/Qi",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/ShootThrough_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/Logical
Operator1",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay/Compare
To Constant/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay/Compare
To Constant/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay/Compare
To Constant/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay/Compare
To Constant/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay/Data Type Conversion",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay1/Compare
To Constant/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay1/Compare
To Constant/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay1/Compare
To Constant/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay1/Compare
To Constant/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay1/Data Type Conversion",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay1/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay1/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay1/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/QHi",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/QLi",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/Qi",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/ShootThrough_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/Logical
Operator1",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay/Compare
To Constant/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay/Compare
To Constant/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay/Compare
To Constant/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay/Compare
To Constant/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay/Data Type Conversion",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay1/Compare
To Constant/Compare",RelationalOperator,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay1/Compare
To Constant/Constant",Constant,,SampleTime,"inf",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay1/Compare
To Constant/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay1/Compare
To Constant/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay1/Data Type Conversion",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay1/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay1/u",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay1/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/QHi",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/QLi",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/Qi",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/ShootThrough_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement1/+",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement1/-",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement1/Model/in",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement1/Model/out",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement1/do not
delete
this gain",Gain,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement1/i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement2/+",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement2/-",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement2/Model/in",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement2/Model/out",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement2/do not
delete
this gain",Gain,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement2/i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement3/+",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement3/-",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement3/Model/in",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement3/Model/out",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement3/do not
delete
this gain",Gain,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement3/i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement4/+",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement4/-",PMIOPort,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement4/Model/in",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement4/Model/out",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement4/do not
delete
this gain",Gain,,SampleTime,"-1",numeric_literal
