block_path,block_type,mask_type,parameter,value,value_class
"four_phase_ideal_digital_iqcot/Mosfet1/Diode/Model/Gain",Gain,,Gain,"1./Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet1/Ideal Switch/Model/1//Rsw",Gain,,Gain,"1./Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet2/Diode/Model/Gain",Gain,,Gain,"1./Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet2/Ideal Switch/Model/1//Rsw",Gain,,Gain,"1./Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet3/Diode/Model/Gain",Gain,,Gain,"1./Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet3/Ideal Switch/Model/1//Rsw",Gain,,Gain,"1./Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet4/Diode/Model/Gain",Gain,,Gain,"1./Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet4/Ideal Switch/Model/1//Rsw",Gain,,Gain,"1./Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet5/Diode/Model/Gain",Gain,,Gain,"1./Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet5/Ideal Switch/Model/1//Rsw",Gain,,Gain,"1./Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet6/Diode/Model/Gain",Gain,,Gain,"1./Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet6/Ideal Switch/Model/1//Rsw",Gain,,Gain,"1./Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet7/Diode/Model/Gain",Gain,,Gain,"1./Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet7/Ideal Switch/Model/1//Rsw",Gain,,Gain,"1./Ron",variable_or_expression
"four_phase_ideal_digital_iqcot/VCOT_Ramp_Gain",Gain,,Gain,"Vcot_ramp_enable * Vcot_ramp_amp",variable_or_expression
"four_phase_ideal_digital_iqcot/Voltage Measurement/do not delete
this gain",Gain,,Gain,"1",numeric_literal
"four_phase_ideal_digital_iqcot/Voltage Measurement1/do not delete
this gain",Gain,,Gain,"1",numeric_literal
"four_phase_ideal_digital_iqcot/Voltage Measurement2/do not delete
this gain",Gain,,Gain,"1",numeric_literal
"four_phase_ideal_digital_iqcot/Voltage Measurement3/do not delete
this gain",Gain,,Gain,"1",numeric_literal
"four_phase_ideal_digital_iqcot/Voltage Measurement4/do not delete
this gain",Gain,,Gain,"1",numeric_literal
"four_phase_ideal_digital_iqcot/Series RLC Branch",PMComponent,Series RLC Branch,Inductance,"L",variable_or_expression
"four_phase_ideal_digital_iqcot/Series RLC Branch1",PMComponent,Series RLC Branch,Inductance,"L",variable_or_expression
"four_phase_ideal_digital_iqcot/Series RLC Branch2",PMComponent,Series RLC Branch,Inductance,"L",variable_or_expression
"four_phase_ideal_digital_iqcot/Series RLC Branch3",PMComponent,Series RLC Branch,Inductance,"L",variable_or_expression
"four_phase_ideal_digital_iqcot/Series RLC Branch4",PMComponent,Series RLC Branch,Inductance,"1e-3",numeric_literal
"four_phase_ideal_digital_iqcot/Series RLC Branch8",PMComponent,Series RLC Branch,Inductance,"1e-3",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Integrator",Integrator,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Integrator1",Integrator,,InitialCondition,"Toff_min",variable_or_expression
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Memory",Memory,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Integrator",Integrator,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Integrator1",Integrator,,InitialCondition,"Toff_min",variable_or_expression
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase2/Memory",Memory,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Integrator",Integrator,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Integrator1",Integrator,,InitialCondition,"Toff_min",variable_or_expression
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase3/Memory",Memory,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Integrator",Integrator,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Integrator1",Integrator,,InitialCondition,"Toff_min",variable_or_expression
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase4/Memory",Memory,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/Detect Rise
Positive/Delay Input1",UnitDelay,,InitialCondition,"vinit",variable_or_expression
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay/Integrator",Integrator,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase1/OnDelay1/Integrator",Integrator,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay/Integrator",Integrator,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase2/OnDelay1/Integrator",Integrator,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay/Integrator",Integrator,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase3/OnDelay1/Integrator",Integrator,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay/Integrator",Integrator,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/GateDriver_1Phase4/OnDelay1/Integrator",Integrator,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/Ideal_Digital_IQCOT_Request/phase_idx_Memory",Memory,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/Ideal_Digital_IQCOT_Request/tr_reset_Memory",Memory,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/Integrator",Integrator,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/Memory",Memory,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/OnDelay/Integrator",Integrator,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/PhaseScheduler_4Phase/phase_state",UnitDelay,,InitialCondition,"0",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet",SubSystem,Mosfet,Rd,"Rd_body",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet1",SubSystem,Mosfet,Rd,"Rd_body",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet2",SubSystem,Mosfet,Rd,"Rd_body",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet3",SubSystem,Mosfet,Rd,"Rd_body",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet4",SubSystem,Mosfet,Rd,"Rd_body",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet5",SubSystem,Mosfet,Rd,"Rd_body",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet6",SubSystem,Mosfet,Rd,"Rd_body",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet7",SubSystem,Mosfet,Rd,"Rd_body",variable_or_expression
"four_phase_ideal_digital_iqcot/Series RLC Branch",PMComponent,Series RLC Branch,Resistance,"DCR_L1",variable_or_expression
"four_phase_ideal_digital_iqcot/Series RLC Branch1",PMComponent,Series RLC Branch,Resistance,"DCR_L2",variable_or_expression
"four_phase_ideal_digital_iqcot/Series RLC Branch2",PMComponent,Series RLC Branch,Resistance,"DCR_L3",variable_or_expression
"four_phase_ideal_digital_iqcot/Series RLC Branch3",PMComponent,Series RLC Branch,Resistance,"DCR_L4",variable_or_expression
"four_phase_ideal_digital_iqcot/Series RLC Branch4",PMComponent,Series RLC Branch,Resistance,"ESR_C",variable_or_expression
"four_phase_ideal_digital_iqcot/Series RLC Branch8",PMComponent,Series RLC Branch,Resistance,"Rload",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet",SubSystem,Mosfet,Ron,"Ron_HS",variable_or_expression
