event_index,time_s,time_after_step_us,logical_slot,physical_phase,active_phase_set,REQ_in,REQ_accept,REQ_reject_reason,phase_idx_before,phase_idx_after,window
80,0.000488264,38.264,1,1,1111,1,1,0,3,0,post_add
81,0.000488746,38.7460000000001,2,2,1111,1,1,0,0,1,post_add
82,0.000489228,39.2280000000001,3,3,1111,1,1,0,1,2,post_add
83,0.00048971,39.7100000000001,4,4,1111,1,1,0,2,3,post_add
84,0.000490192,40.1920000000001,1,1,1111,1,1,0,3,0,post_add
85,0.000490674,40.6740000000001,2,2,1111,1,1,0,0,1,post_add
86,0.000491156,41.1560000000001,3,3,1111,1,1,0,1,2,post_add
87,0.000491638,41.6380000000001,4,4,1111,1,1,0,2,3,post_add
88,0.00049212,42.1200000000001,1,1,1111,1,1,0,3,0,post_add
89,0.000492602,42.6020000000001,2,2,1111,1,1,0,0,1,post_add
90,0.000493084,43.0840000000001,3,3,1111,1,1,0,1,2,post_add
91,0.000493566,43.5660000000001,4,4,1111,1,1,0,2,3,post_add
92,0.000494048,44.0480000000001,1,1,1111,1,1,0,3,0,post_add
93,0.00049453,44.5300000000001,2,2,1111,1,1,0,0,1,post_add
94,0.000495012,45.0120000000001,3,3,1111,1,1,0,1,2,post_add
95,0.000495494,45.4940000000001,4,4,1111,1,1,0,2,3,post_add
96,0.000495976,45.9760000000001,1,1,1111,1,1,0,3,0,post_add
97,0.000496458,46.4580000000001,2,2,1111,1,1,0,0,1,post_add
98,0.00049694,46.9400000000001,3,3,1111,1,1,0,1,2,post_add
99,0.000497422,47.4220000000001,4,4,1111,1,1,0,2,3,post_add
100,0.000497904,47.9040000000001,1,1,1111,1,1,0,3,0,post_add
101,0.000498386,48.3860000000001,2,2,1111,1,1,0,0,1,post_add
102,0.000498868,48.8680000000001,3,3,1111,1,1,0,1,2,post_add
103,0.00049935,49.3500000000001,4,4,1111,1,1,0,2,3,post_add
104,0.000499832,49.8320000000001,1,1,1111,1,1,0,3,0,post_add
105,0.000500314,50.3140000000001,2,2,1111,1,1,0,0,1,post_add
106,0.000500796,50.7960000000001,3,3,1111,1,1,0,1,2,post_add
107,0.000501278,51.2780000000001,4,4,1111,1,1,0,2,3,post_add
108,0.00050176,51.7600000000001,1,1,1111,1,1,0,3,0,post_add
109,0.000502242,52.2420000000001,2,2,1111,1,1,0,0,1,post_add
110,0.000502724,52.7240000000001,3,3,1111,1,1,0,1,2,post_add
111,0.000503206,53.2060000000001,4,4,1111,1,1,0,2,3,post_add
112,0.000503688,53.6880000000001,1,1,1111,1,1,0,3,0,post_add
113,0.00050417,54.1700000000001,2,2,1111,1,1,0,0,1,post_add
114,0.000504652,54.6520000000001,3,3,1111,1,1,0,1,2,post_add
115,0.000505134,55.1340000000001,4,4,1111,1,1,0,2,3,post_add
116,0.000505616,55.6160000000001,1,1,1111,1,1,0,3,0,post_add
117,0.000506098,56.0980000000001,2,2,1111,1,1,0,0,1,post_add
118,0.00050658,56.5800000000001,3,3,1111,1,1,0,1,2,post_add
119,0.000507062,57.0620000000001,4,4,1111,1,1,0,2,3,post_add
120,0.000507544,57.5440000000001,1,1,1111,1,1,0,3,0,post_add
121,0.000508026,58.0260000000001,2,2,1111,1,1,0,0,1,post_add
122,0.000508508,58.5080000000001,3,3,1111,1,1,0,1,2,post_add
123,0.00050899,58.9900000000001,4,4,1111,1,1,0,2,3,post_add
124,0.000509472,59.4720000000001,1,1,1111,1,1,0,3,0,post_add
125,0.000509954,59.9540000000001,2,2,1111,1,1,0,0,1,post_add
126,0.000510436,60.4360000000001,3,3,1111,1,1,0,1,2,post_add
127,0.000510918,60.9180000000001,4,4,1111,1,1,0,2,3,post_add
128,0.0005114,61.4000000000001,1,1,1111,1,1,0,3,0,post_add
129,0.000511882,61.8820000000001,2,2,1111,1,1,0,0,1,post_add
130,0.000512364,62.3640000000001,3,3,1111,1,1,0,1,2,post_add
131,0.000512846,62.8460000000001,4,4,1111,1,1,0,2,3,post_add
132,0.000513328,63.3280000000001,1,1,1111,1,1,0,3,0,post_add
133,0.00051381,63.8100000000001,2,2,1111,1,1,0,0,1,post_add
134,0.000514292,64.2920000000001,3,3,1111,1,1,0,1,2,post_add
135,0.000514774,64.7740000000001,4,4,1111,1,1,0,2,3,post_add
136,0.000515256,65.2560000000001,1,1,1111,1,1,0,3,0,post_add
137,0.000515738,65.7380000000001,2,2,1111,1,1,0,0,1,post_add
138,0.00051622,66.2200000000001,3,3,1111,1,1,0,1,2,post_add
139,0.000516702,66.7020000000001,4,4,1111,1,1,0,2,3,post_add
140,0.000517184,67.1840000000001,1,1,1111,1,1,0,3,0,post_add
141,0.000517666,67.6660000000001,2,2,1111,1,1,0,0,1,post_add
142,0.000518148,68.1480000000001,3,3,1111,1,1,0,1,2,post_add
143,0.00051863,68.6300000000001,4,4,1111,1,1,0,2,3,post_add
144,0.000519112,69.1120000000001,1,1,1111,1,1,0,3,0,post_add
145,0.000519594,69.5940000000001,2,2,1111,1,1,0,0,1,post_add
