variant,success,error_message,variant_description,model_file,K_T,T_trim_max,projection_mode,max_current_imbalance_A,rms_current_imbalance_A,mean_IL1_A,mean_IL2_A,mean_IL3_A,mean_IL4_A,rms_IL1_A,rms_IL2_A,rms_IL3_A,rms_IL4_A,phase_spacing_std,phase_order_error_rate,Vout_ripple_pp_mV,effective_switching_frequency_Hz,Ton_trim_usage,Lambda_trim_usage,final_Vout_error_mV,current_imbalance_settling_us,guard_clamp_count,fallback_count,REQ_count,dropped_REQ_count,pareto_score,classification_hint,phase_event_count,projection_scale_min
R1-C0,1,,R1_C0_original_iqcot_dcr_mismatch,E:\Desktop\codex\models\derived\E030_R1_C0_projection_retune_from_ideal_iqcot_20260629.slx,0,2.5e-08,0,0.853665487660807,0.830663424898845,9.17384252319619,10.8513202441744,9.16049034959857,10.8049659090853,9.62568390140192,11.2345658411168,9.61504460076661,11.1919076417217,42.7227047957896,0,1.31330031066956,498529.411764706,0,0,-2.27703029074097,NaN,0,0,339,0,0.505347700973243,baseline,339,NaN
R1-C1,1,,R1_C1_ton_diff_reference,E:\Desktop\codex\models\derived\E030_R1_C1_projection_retune_from_ideal_iqcot_20260629.slx,5e-09,2.5e-08,0,0.313748843553446,0.26478134155746,9.72206769225099,10.1982816659782,9.72845616932354,10.3012669672555,10.097046423822,10.5482237241952,10.1034341889329,10.6490857090337,4.12679448809295e-10,0,15.3111585591202,519117.647058823,0.866648507813228,0,-58.1882239406084,NaN,0,0,353,0,0.614512680892373,ton_diff_reference,353,1
R1-C4a,1,,R1_C4a_reduced_KT_projection,E:\Desktop\codex\models\derived\E030_R1_C4a_projection_retune_from_ideal_iqcot_20260629.slx,2.2e-09,2.5e-08,1,0.416995767382506,0.411139027524135,9.64717241366595,10.4690724440479,9.65837111274316,10.4808663466623,10.0524264449526,10.837249069076,10.0634713097319,10.849003435974,9.14653790608601,0,8.12771312201865,519117.647058823,0.404392263779386,0,-3.60373780060595,NaN,0,0,353,0,0.362552396658344,pareto_candidate,353,1
R1-C4b,1,,R1_C4b_reduced_Ttrim_projection,E:\Desktop\codex\models\derived\E030_R1_C4b_projection_retune_from_ideal_iqcot_20260629.slx,5e-09,1.2e-08,1,0.729612555439076,0.72103834581138,9.25795936371341,10.7100505026261,9.27516056987945,10.707117240391,9.66566821428385,11.0644512594877,9.68121328326504,11.0605768814457,4.12679448809295e-10,0,17.3190600761464,519117.647058823,1,0,-32.9314164026831,NaN,4251,0,353,0,0.764010389865594,tradeoff_or_guard_issue,353,1
R1-C4c,1,,R1_C4c_voltage_error_aware_projection,E:\Desktop\codex\models\derived\E030_R1_C4c_projection_retune_from_ideal_iqcot_20260629.slx,5e-09,2.5e-08,3,0.319449707200723,0.308363866061633,9.70500808952072,10.311254953269,9.68263206537279,10.3094319821315,10.0907115720028,10.6676829862731,10.0681026816993,10.6645045730295,4.12679448809295e-10,0,7.1210012994819,519117.647058823,0.676532742322591,0,-29.4070042933667,NaN,4251,0,353,0,0.415946433007749,pareto_candidate,353,0.633916170682414
R1-C4d,1,,R1_C4d_ripple_phase_aware_projection,E:\Desktop\codex\models\derived\E030_R1_C4d_projection_retune_from_ideal_iqcot_20260629.slx,5e-09,2.5e-08,4,0.313793228804949,0.265372682217988,9.72493658335656,10.2008429886451,9.72679996840652,10.302584151876,10.0996510824162,10.5507941054458,10.1017748098543,10.6504265672348,4.12679448809295e-10,0,15.2171625239863,519117.647058823,0.865968105688043,0,-58.1561033508737,NaN,0,0,353,0,0.613443136603122,tradeoff_or_guard_issue,353,1
