time_after_eval_start_us,phase
0.0120000000034958,1
0.494000000003496,2
0.976000000003495,3
1.4580000000035,4
1.94000000000349,1
2.42200000000349,2
2.90400000000349,3
3.38600000000349,4
3.86800000000349,1
4.35000000000349,2
4.83200000000349,3
5.31400000000349,4
5.79600000000349,1
6.27800000000349,2
6.76000000000349,3
7.24200000000349,4
7.72400000000349,1
8.20600000000349,2
8.68800000000349,3
9.17000000000349,4
9.65200000000349,1
10.1340000000035,2
10.6160000000035,3
11.0980000000035,4
11.5800000000035,1
12.0620000000035,2
12.5440000000035,3
13.0260000000035,4
13.5080000000035,1
13.9900000000035,2
14.4720000000035,3
14.9540000000035,4
15.4360000000035,1
15.9180000000035,2
16.4000000000035,3
16.8820000000035,4
17.3640000000035,1
17.8460000000035,2
18.3280000000035,3
18.8100000000035,4
19.2920000000035,1
19.7740000000035,2
20.2560000000035,3
20.7380000000035,4
21.2200000000035,1
21.7020000000035,2
22.1840000000035,3
22.6660000000035,4
23.1480000000035,1
23.6300000000035,2
24.1120000000035,3
24.5940000000035,4
25.0760000000035,1
25.5580000000035,2
26.0400000000035,3
26.5220000000001,4
27.0040000000001,1
27.4860000000001,2
27.9680000000001,3
28.4500000000001,4
28.9320000000001,1
29.4140000000001,2
29.8960000000001,3
30.3780000000001,4
30.8600000000001,1
31.3420000000001,2
31.8240000000001,3
32.3060000000001,4
32.7880000000001,1
33.2700000000001,2
33.7520000000001,3
34.2340000000001,4
34.7160000000001,1
35.1980000000001,2
35.6800000000001,3
36.1620000000001,4
36.6440000000035,1
37.1260000000035,2
37.6080000000035,3
38.0900000000035,4
38.5720000000001,1
39.0540000000001,2
39.5360000000001,3
40.0180000000001,4
40.5000000000001,1
40.9820000000001,2
41.4640000000001,3
41.9460000000001,4
42.4280000000001,1
42.9100000000001,2
43.3920000000001,3
43.8740000000001,4
44.3560000000001,1
44.8380000000001,2
45.3200000000001,3
45.8020000000001,4
46.2840000000001,1
46.7660000000001,2
47.2480000000001,3
47.7300000000001,4
48.2120000000001,1
48.6940000000001,2
49.1760000000001,3
49.6580000000001,4
50.1400000000001,1
50.6220000000001,2
51.1040000000001,3
51.5860000000001,4
52.0680000000001,1
52.5500000000001,2
53.0320000000001,3
53.5140000000001,4
53.9960000000001,1
54.4780000000001,2
54.9600000000001,3
55.4420000000001,4
55.9240000000001,1
56.4060000000001,2
56.8880000000001,3
57.3700000000001,4
57.932000000007,1
58.414000000007,2
58.972000000007,3
59.454000000007,4
59.936000000007,1
60.418000000007,2
60.900000000007,3
61.382000000007,4
61.864000000007,1
62.346000000007,2
62.828000000007,3
63.310000000007,4
63.792000000007,1
64.274000000007,2
64.7560000000069,3
65.2380000000069,4
65.7200000000069,1
66.2020000000069,2
66.6840000000069,3
67.1660000000069,4
67.648000000007,1
68.130000000007,2
68.612000000007,3
69.094000000007,4
69.576000000007,1
70.058000000007,2
70.540000000007,3
71.022000000007,4
71.504000000007,1
71.986000000007,2
72.468000000007,3
72.950000000007,4
73.432000000007,1
73.914000000007,2
74.3960000000069,3
74.8780000000069,4
75.3600000000069,1
75.8420000000069,2
76.3240000000069,3
76.8060000000069,4
77.2880000000069,1
77.7700000000069,2
78.2520000000069,3
78.7340000000069,4
79.2160000000069,1
79.6980000000069,2
80.1800000000069,3
80.6620000000069,4
81.1440000000069,1
81.6260000000069,2
82.108000000007,3
82.590000000007,4
83.072000000007,1
83.554000000007,2
84.036000000007,3
84.5180000000069,4
85.0000000000069,1
85.4820000000069,2
85.9640000000069,3
86.4460000000069,4
86.9280000000069,1
87.4100000000069,2
87.8920000000069,3
88.3740000000069,4
88.8560000000069,1
89.3380000000069,2
89.8200000000069,3
90.3020000000069,4
90.7840000000069,1
91.2660000000069,2
91.7480000000069,3
92.2300000000069,4
92.7120000000069,1
93.1940000000069,2
93.6760000000069,3
94.1580000000069,4
94.6400000000069,1
95.1220000000069,2
95.6040000000069,3
96.0860000000069,4
96.5680000000069,1
97.0500000000069,2
97.5320000000069,3
98.0140000000069,4
98.4960000000069,1
98.9780000000069,2
99.4600000000069,3
99.9420000000069,4
100.424000000007,1
100.906000000007,2
101.388000000007,3
101.870000000007,4
102.352000000007,1
102.834000000007,2
103.316000000007,3
103.798000000007,4
104.280000000007,1
104.762000000007,2
105.244000000007,3
105.726000000007,4
106.208000000007,1
106.690000000007,2
107.172000000007,3
107.654000000007,4
108.136000000007,1
108.618000000007,2
109.100000000007,3
109.582000000007,4
110.064000000007,1
110.546000000007,2
111.028000000007,3
111.510000000007,4
111.992000000007,1
112.474000000007,2
112.956000000007,3
113.438000000007,4
113.920000000007,1
