variant,event_index,time_us,REQ_phase,REQ_accept_phase,phase_idx,REQ_reject_reason,model_phase_order_error_sample,active_HS_phase
R1-T4a,97,46.3900000000069,4,4,3,1,0,0
R1-T4a,98,46.8710000000001,1,1,0,1,0,0
R1-T4a,99,47.3520000000001,2,2,1,1,0,0
R1-T4a,100,47.833000000007,3,3,2,1,0,0
R1-T4a,101,48.314000000007,4,4,3,1,0,0
R1-T4a,102,48.795000000007,1,1,0,1,0,0
R1-T4a,103,49.2760000000069,2,2,1,1,0,0
R1-T4a,104,49.7570000000069,3,3,2,1,0,0
R1-T4a,105,50.2380000000001,4,4,3,1,0,0
R1-T4a,106,50.7190000000001,1,1,0,1,0,0
R1-T4a,107,51.200000000007,2,2,1,1,0,0
R1-T4a,108,51.681000000007,3,3,2,1,0,0
R1-T4a,109,52.162000000007,4,4,3,1,0,0
R1-T4a,110,52.6430000000069,1,1,0,1,0,0
R1-T4a,111,53.1240000000001,2,2,1,1,0,0
R1-T4a,112,53.6050000000001,3,3,2,0,0,0
R1-T4a,113,54.086000000007,4,4,3,1,0,0
R1-T4a,114,54.567000000007,1,1,0,1,0,0
R1-T4a,115,55.048000000007,2,2,1,1,0,0
R1-T4a,116,55.529000000007,3,3,2,1,0,0
R1-T4a,117,56.0100000000069,4,4,3,1,0,0
R1-T4a,118,56.4910000000001,1,1,0,1,0,0
R1-T4a,119,56.9720000000001,2,2,1,1,0,0
R1-T4a,120,57.453000000007,3,3,2,1,0,0
R1-T4a,121,57.934000000007,4,4,3,1,0,0
R1-T4a,122,58.415000000007,1,1,0,1,0,0
R1-T4a,123,58.8960000000069,2,2,1,1,0,0
R1-T4a,124,59.3770000000069,3,3,2,1,0,0
R1-T4a,125,59.8580000000001,4,4,3,1,0,0
R1-T4a,126,60.3390000000001,1,1,0,1,0,0
R1-T4a,127,60.820000000007,2,2,1,1,0,0
R1-T4a,128,61.301000000007,3,3,2,1,0,0
R1-T4a,129,61.782000000007,4,4,3,1,0,0
R1-T4a,130,62.2630000000069,1,1,0,1,0,0
R1-T4a,131,62.7440000000069,2,2,1,1,0,0
R1-T4a,132,63.2250000000001,3,3,2,0,0,0
R1-T4a,133,63.7060000000001,4,4,3,1,0,0
R1-T4a,134,64.187000000007,1,1,0,1,0,0
R1-T4a,135,64.668000000007,2,2,1,1,0,0
R1-T4a,136,65.149000000007,3,3,2,1,0,0
R1-T4a,137,65.6300000000069,4,4,3,1,0,0
R1-T4a,138,66.1110000000069,1,1,0,1,0,0
R1-T4a,139,66.5920000000001,2,2,1,1,0,0
R1-T4a,140,67.0730000000001,3,3,2,1,0,0
R1-T4a,141,67.554000000007,4,4,3,1,0,0
R1-T4a,142,68.035000000007,1,1,0,1,0,0
R1-T4a,143,68.516000000007,2,2,1,1,0,0
R1-T4a,144,68.9970000000069,3,3,2,1,0,0
R1-T4a,145,69.4780000000001,4,4,3,1,0,0
R1-T4a,146,69.9590000000001,1,1,0,1,0,0
R1-T4a,147,70.440000000007,2,2,1,1,0,0
R1-T4a,148,70.921000000007,3,3,2,1,0,0
R1-T4a,149,71.402000000007,4,4,3,1,0,0
R1-T4a,150,71.883000000007,1,1,0,1,0,0
R1-T4a,151,72.3640000000069,2,2,1,1,0,0
R1-T4a,152,72.8450000000001,3,3,2,0,0,0
R1-T4a,153,73.3260000000001,4,4,3,1,0,0
R1-T4a,154,73.807000000007,1,1,0,1,0,0
R1-T4a,155,74.288000000007,2,2,1,1,0,0
R1-T4a,156,74.769000000007,3,3,2,1,0,0
R1-T4a,157,75.2500000000069,4,4,3,1,0,0
R1-T4a,158,75.7310000000069,1,1,0,1,0,0
R1-T4a,159,76.2120000000001,2,2,1,1,0,0
R1-T4a,160,76.6930000000001,3,3,2,1,0,0
R1-T4a,161,77.174000000007,4,4,3,1,0,0
R1-T4a,162,77.655000000007,1,1,0,1,0,0
R1-T4a,163,78.136000000007,2,2,1,1,0,0
R1-T4a,164,78.617000000007,3,3,2,1,0,0
R1-T4a,165,79.0980000000069,4,4,3,1,0,0
R1-T4a,166,79.5790000000001,1,1,0,1,0,0
R1-T4a,167,80.0600000000001,2,2,1,0,0,0
R1-T4a,168,80.541000000007,3,3,2,1,0,0
R1-T4a,169,81.022000000007,4,4,3,1,0,0
R1-T4a,170,81.503000000007,1,1,0,1,0,0
R1-T4a,171,81.9840000000069,2,2,1,1,0,0
R1-T4a,172,82.4650000000001,3,3,2,0,0,0
R1-T4a,173,82.9460000000001,4,4,3,1,0,0
R1-T4a,174,83.427000000007,1,1,0,1,0,0
R1-T4a,175,83.908000000007,2,2,1,1,0,0
R1-T4a,176,84.389000000007,3,3,2,1,0,0
R1-T4a,177,84.870000000007,4,4,3,1,0,0
