variant,event_index,time_us,REQ_phase,REQ_accept_phase
R3-E1,71,33.8840000000035,2,2
R3-E1,72,34.3650000000001,3,3
R3-E1,73,34.8460000000001,4,4
R3-E1,74,35.3270000000035,1,1
R3-E1,75,35.8080000000035,2,2
R3-E1,76,36.2890000000001,3,3
R3-E1,77,36.77,4,4
R3-E1,78,37.2510000000035,1,1
R3-E1,79,37.7320000000001,2,2
R3-E1,80,38.2130000000001,3,3
R3-E1,81,38.694000000007,4,4
R3-E1,82,39.175000000007,1,1
R3-E1,83,39.6560000000069,2,2
R3-E1,84,40.1370000000001,3,3
R3-E1,85,40.6180000000001,4,4
R3-E1,86,41.099000000007,1,1
R3-E1,87,41.580000000007,2,2
R3-E1,88,42.061000000007,3,3
R3-E1,89,42.542000000007,4,4
R3-E1,90,43.0230000000069,1,1
R3-E1,91,43.5040000000001,2,2
R3-E1,92,43.9850000000001,3,3
R3-E1,93,44.466000000007,4,4
R3-E1,94,44.947000000007,1,1
R3-E1,95,45.428000000007,2,2
R3-E1,96,45.9090000000069,3,3
R3-E1,97,46.3900000000069,4,4
R3-E1,98,46.8710000000001,1,1
R3-E1,99,47.3520000000001,2,2
R3-E1,100,47.833000000007,3,3
R3-E1,101,48.314000000007,4,4
R3-E1,102,48.795000000007,1,1
R3-E1,103,49.2760000000069,2,2
R3-E1,104,49.7570000000069,3,3
R3-E1,105,50.2380000000001,4,4
R3-E1,106,50.7190000000001,1,1
R3-E1,107,51.200000000007,2,2
R3-E1,108,51.681000000007,3,3
R3-E1,109,52.162000000007,4,4
R3-E1,110,52.6430000000069,1,1
R3-E1,111,53.1240000000001,2,2
R3-E1,112,53.6050000000001,3,3
R3-E1,113,54.086000000007,4,4
R3-E1,114,54.567000000007,1,1
R3-E1,115,55.048000000007,2,2
R3-E1,116,55.529000000007,3,3
R3-E1,117,56.0100000000069,4,4
R3-E1,118,56.4910000000001,1,1
R3-E1,119,56.9720000000001,2,2
R3-E1,120,57.453000000007,3,3
R3-E1,121,57.934000000007,4,4
R3-E1,122,58.415000000007,1,1
R3-E1,123,58.8960000000069,2,2
R3-E1,124,59.3770000000069,3,3
R3-E1,125,59.8580000000001,4,4
R3-E1,126,60.3390000000001,1,1
R3-E1,127,60.820000000007,2,2
R3-E1,128,61.301000000007,3,3
R3-E1,129,61.782000000007,4,4
R3-E1,130,62.2630000000069,1,1
R3-E1,131,62.7440000000069,2,2
R3-E1,132,63.2250000000001,3,3
R3-E1,133,63.7060000000001,4,4
R3-E1,134,64.187000000007,1,1
R3-E1,135,64.668000000007,2,2
R3-E1,136,65.149000000007,3,3
R3-E1,137,65.6300000000069,4,4
R3-E1,138,66.1110000000069,1,1
R3-E1,139,66.5920000000001,2,2
R3-E1,140,67.0730000000001,3,3
R3-E1,141,67.554000000007,4,4
R3-E1,142,68.035000000007,1,1
R3-E1,143,68.516000000007,2,2
R3-E1,144,68.9970000000069,3,3
R3-E1,145,69.4780000000001,4,4
