run,target,offset_us,window,a0_max_mV,a2_max_mV,a2_minus_a0_max_mV,peak_improvement_mV,a0_max_time_us,a2_max_time_us,a0_min_mV,a2_min_mV,a2_minus_a0_min_mV,undershoot_improvement_mV,a0_final_error_mV,a2_final_error_mV,a2_minus_a0_final_error_mV,a2_inhibit_raw_duration_us,a2_effective_inhibit_duration_us,a2_first_inhibit_us,a2_release_clock_time_us,a2_oneshot_time_us
R049N,20A,0.050,early_local_peak,2.097721737160052,2.097721737160052,0.0,0.0,0.484000000000085,0.484000000000085,0.07040286945003693,-0.18552817104899866,-0.2559310404990356,-0.2559310404990356,-0.4396748817909432,-0.4299861591964243,0.009688722594518917,1.6900000000000492,1.6800000000000492,0.0700000000000722,1.68600000000009,1.75000000000007
R049N,20A,0.050,recovery_peak,2.1103300494300647,1.9976006828299475,-0.11272936660011723,0.11272936660011723,9.45400000000005,11.6420000000001,-0.4026078355210405,-0.9623107097509465,-0.559702874229906,-0.559702874229906,-0.4396748817909432,-0.4299861591964243,0.009688722594518917,1.6900000000000492,1.6800000000000492,0.0700000000000722,1.68600000000009,1.75000000000007
R049N,20A,0.050,late_settling,1.9391535433499474,2.0087985000400987,0.06964495669015136,-0.06964495669015136,12.7160000000001,12.1820000000001,-0.8909491406640102,-0.8993926266289698,-0.008443485964959585,-0.008443485964959585,-0.4396748817909432,-0.4299861591964243,0.009688722594518917,1.6900000000000492,1.6800000000000492,0.0700000000000722,1.68600000000009,1.75000000000007
R049N,20A,0.105,early_local_peak,1.9439226308799462,1.9439226308799462,0.0,0.0,0.429000000000033,0.429000000000033,0.09497206043995732,-0.48257401535101163,-0.577546075790969,-0.577546075790969,-0.43436215648255927,-0.4347046167785062,-0.0003424602959469225,1.6899999999999875,1.6640000000000177,0.0710000000000337,1.68500000000002,1.735
R049N,20A,0.105,recovery_peak,2.093564751320054,1.9730948729899112,-0.12046987833014278,0.12046987833014278,8.38900000000003,11.041,-0.0030137685369524547,-1.4459534551279907,-1.4429396865910382,-1.4429396865910382,-0.43436215648255927,-0.4347046167785062,-0.0003424602959469225,1.6899999999999875,1.6640000000000177,0.0710000000000337,1.68500000000002,1.735
R049N,20A,0.105,late_settling,2.0093183535299097,2.024144043069942,0.014825689540032272,-0.014825689540032272,12.209,12.121,-0.8991337973940361,-0.9294257373130277,-0.030291939918991595,-0.030291939918991595,-0.43436215648255927,-0.4347046167785062,-0.0003424602959469225,1.6899999999999875,1.6640000000000177,0.0710000000000337,1.68500000000002,1.735
