case_id,controller,target_label,objective,role,trigger_mode,base_load_A,target_load_A,load_drop_A,load_step_offset_us,tau_ai_us,selected_ref_slew_us,tton_trunc_min_ns,tton_trunc_window_us,post_inhibit_delay_us,post_inhibit_window_us,delta_v_allow_mV
r049l_repair_20A_off0p050_a0,A0_no_inhibit,20A,r049l_repair_controlled_reentry_proxy,baseline_same_model,disabled_negative_window,40,20,20,0.05,1.25,60,196.5,-0.001,0.07,-0.001,10
r049l_repair_20A_off0p050_a2_one_shot,A2_one_shot_reentry,20A,r049l_repair_controlled_reentry_proxy,one_shot_phase_boundary_reentry,one_shot_phase_boundary_reentry,40,20,20,0.05,1.25,60,196.5,-0.001,0.07,1.69,10
r049l_repair_20A_off0p105_a0,A0_no_inhibit,20A,r049l_repair_controlled_reentry_proxy,baseline_same_model,disabled_negative_window,40,20,20,0.105,1.25,60,196.5,-0.001,0.07,-0.001,10
r049l_repair_20A_off0p105_a2_one_shot,A2_one_shot_reentry,20A,r049l_repair_controlled_reentry_proxy,one_shot_phase_boundary_reentry,one_shot_phase_boundary_reentry,40,20,20,0.105,1.25,60,196.5,-0.001,0.07,1.69,10
