load_step_offset_us,a0_peak_mV,a2_peak_mV,a2_minus_a0_peak_mV,peak_improvement_mV,a0_t_peak_us,a2_t_peak_us,a0_secondary_undershoot_mV,a2_secondary_undershoot_mV,a2_minus_a0_undershoot_mV,a0_final_error_mV,a2_final_error_mV,a2_minus_a0_final_error_mV,a0_remaining_ton4_ns,a2_remaining_ton4_ns,remaining_ton4_reduction_ns,a2_trunc_duration1_us,a2_trunc_duration2_us,a2_trunc_duration3_us,a2_trunc_duration4_us,a2_total_trunc_edges,a2_total_ton_min_hits
0.05,2.11033004942607,2.38790668899447,0.2775766395684,-0.2775766395684,9.45400000000005,0.898000000000045,-0.89094914066401,-0.856151326459886,0.0347978142041239,-0.439674881791308,-0.435080526611453,0.0045943551798544,52.0000000000598,2.0000000000857,49.9999999999741,0,0,0,0.00400000000000877,1,2
0.105,2.0935647513205,2.0935647513205,0,0,8.38900000000003,8.38900000000003,-0.899133797393703,-0.899133797393703,0,-0.434362156482515,-0.434362156482515,0,0,0,0,0,0,0,0,0,0
