load_step_offset_us,a0_peak_mV,a2_peak_mV,a2_minus_a0_peak_mV,peak_improvement_mV,a0_t_peak_us,a2_t_peak_us,a0_secondary_undershoot_mV,a2_secondary_undershoot_mV,a2_minus_a0_undershoot_mV,a0_final_error_mV,a2_final_error_mV,a2_minus_a0_final_error_mV,a0_remaining_ton4_ns,a2_remaining_ton4_ns,remaining_ton4_reduction_ns,a2_trunc_duration_us,a2_trunc_edge_count,a2_first_trunc_us,a2_last_trunc_us,a2_qh4_at_first_trunc,a2_total_ton_min_hits
0.05,2.11033004942607,-184.103012322487,-186.213342371913,186.213342371913,9.45400000000005,80,-0.89094914066401,-184.103012322487,-183.212063181823,-0.439674881791308,-239.172334465497,-238.732659583705,52.0000000000598,0,52.0000000000598,0.0800000000000128,1,5.42101086242752e-14,0.0780000000000897,0,160
0.105,2.0935647513205,-189.30886767725,-191.40243242857,191.40243242857,8.38900000000003,79.999,-0.899133797393703,-189.30886767725,-188.409733879856,-0.434362156482515,-241.947274134523,-241.512911978041,0,0,0,0.0800000000000128,1,0.00100000000001575,0.078999999999997,0,160
