success,error_message,case_id,controller,target_label,objective,role,trigger_mode,base_load_A,target_load_A,load_drop_A,load_step_offset_us,t_load_step_us,selected_ref_slew_us,tau_ai_us,tton_trunc_min_ns,tton_trunc_window_us,delta_v_allow_mV,vout0_V,il1_0_A,il2_0_A,il3_0_A,il4_0_A,qh1_at_step,qh2_at_step,qh3_at_step,qh4_at_step,remaining_ton1_ns,remaining_ton2_ns,remaining_ton3_ns,remaining_ton4_ns,delta_v_actual_peak_mV,t_peak_actual_us,secondary_undershoot_mV,secondary_pp_mV,final_error_mV,trunc_duration_us,trunc_edge_count,first_trunc_us,last_trunc_us,qh4_at_first_trunc,qh1_edge_count,qh2_edge_count,qh3_edge_count,qh4_edge_count,ton_min_hits1,ton_min_hits2,ton_min_hits3,ton_min_hits4,wave_csv
1,,r049f_20A_off0p050_a0,A0_no_trunc,20A,r049f_trigger_timing_diagnostic,baseline_same_model,disabled_negative_window,40,20,20,0.05,450.05,60,1.25,196.5,-0.001,10,0.999515539655166,7.10937874789653,9.81763658166987,12.6433908646578,12.3538573604537,0,0,0,1,0,0,0,52.0000000000598,2.11033004942607,9.45400000000005,-0.89094914066401,3.00127919009008,-0.439674881791308,0,0,NaN,NaN,NaN,37,37,37,38,40001,40001,40001,40001,E:\Desktop\codex\output\data\r049f_20A_off0p050_a0_r049f_early_tontrunc_wave.csv
1,,r049f_20A_off0p050_a2_early,A2_early_ton_trunc,20A,r049f_trigger_timing_diagnostic,early_trigger_ton_truncation,load_step_sync_80ns,40,20,20,0.05,450.05,60,1.25,5,0.08,10,-0.119171570976751,9.97146629217157,10.037967078495,10.0163948243739,9.99421312135612,0,0,0,0,0,0,0,0,-184.103012322487,80,-184.103012322487,0,-239.172334465497,0.0800000000000128,1,5.42101086242752e-14,0.0780000000000897,0,25,25,25,25,40,40,40,40,E:\Desktop\codex\output\data\r049f_20A_off0p050_a2_early_r049f_early_tontrunc_wave.csv
1,,r049f_20A_off0p105_a0,A0_no_trunc,20A,r049f_trigger_timing_diagnostic,baseline_same_model,disabled_negative_window,40,20,20,0.105,450.105,60,1.25,196.5,-0.001,10,0.999516954726827,6.80802735888066,9.50796408429991,12.3250362516588,15.2898326239098,0,0,0,0,0,0,0,0,2.0935647513205,8.38900000000003,-0.899133797393703,2.9926985487142,-0.434362156482515,0,0,NaN,NaN,NaN,37,37,37,36,40000,40000,40000,40000,E:\Desktop\codex\output\data\r049f_20A_off0p105_a0_r049f_early_tontrunc_wave.csv
1,,r049f_20A_off0p105_a2_early,A2_early_ton_trunc,20A,r049f_trigger_timing_diagnostic,early_trigger_ton_truncation,load_step_sync_80ns,40,20,20,0.105,450.105,60,1.25,5,0.08,10,-0.119171509876522,9.97414511355088,10.0404415763484,10.018935602937,9.99682205315247,0,0,0,0,0,0,0,0,-189.30886767725,79.999,-189.30886767725,0,-241.947274134523,0.0800000000000128,1,0.00100000000001575,0.078999999999997,0,25,25,25,25,40,40,40,40,E:\Desktop\codex\output\data\r049f_20A_off0p105_a2_early_r049f_early_tontrunc_wave.csv
