success,error_message,case_id,controller,target_label,objective,role,base_load_A,target_load_A,load_drop_A,load_step_offset_us,t_load_step_us,selected_ref_slew_us,tau_ai_us,vton_trunc_ov_mV,tton_trunc_min_ns,tton_trunc_window_us,delta_v_allow_mV,vout0_V,il1_0_A,il2_0_A,il3_0_A,il4_0_A,qh1_at_step,qh2_at_step,qh3_at_step,qh4_at_step,remaining_ton1_ns,remaining_ton2_ns,remaining_ton3_ns,remaining_ton4_ns,delta_v_actual_peak_mV,t_peak_actual_us,secondary_undershoot_mV,secondary_pp_mV,final_error_mV,trunc_duration_us,trunc_edge_count,qh1_edge_count,qh2_edge_count,qh3_edge_count,qh4_edge_count,ton_min_hits1,ton_min_hits2,ton_min_hits3,ton_min_hits4,wave_csv
1,,r049c_near0_off0p050_a0,A0_no_trunc,near0,r049c_minimal_tontrunc,baseline_same_model,40,1,39,0.05,450.05,60,1.25,1000,196.5,2,10,0.999515539655166,7.10937874789653,9.81763658166987,12.6433908646578,12.3538573604537,0,0,0,1,0,0,0,52.0000000000598,6.2585990731614,1.40000000000009,-8.2934465172827,14.5520455904441,-0.53964233049919,0,0,33,33,33,33,40001,40001,40001,40001,E:\Desktop\codex\output\data\r049c_near0_off0p050_a0_r049c_tontrunc_wave.csv
1,,r049c_near0_off0p050_a2_tontrunc,A2_ton_trunc,near0,r049c_minimal_tontrunc,minimal_ton_truncation,40,1,39,0.05,450.05,60,1.25,2,5,2,10,0.999515539655166,7.10937874789653,9.81763658166987,12.6433908646578,12.3538573604537,0,0,0,1,0,0,0,2.0000000000857,5.49255515024183,1.26800000000007,-1.16689572074191,6.65945087098374,-0.576750501842027,1.99999999999999,1,33,33,33,34,1000,1000,1000,1000,E:\Desktop\codex\output\data\r049c_near0_off0p050_a2_tontrunc_r049c_tontrunc_wave.csv
1,,r049c_near0_off0p105_a0,A0_no_trunc,near0,r049c_minimal_tontrunc,baseline_same_model,40,1,39,0.105,450.105,60,1.25,1000,196.5,2,10,0.999516954726827,6.80802735888066,9.50796408429991,12.3250362516588,15.2898326239098,0,0,0,0,0,0,0,0,5.96028771560264,1.34500000000004,-7.24819216680173,13.2084798824044,-0.569460168004077,0,0,33,33,33,33,40000,40000,40000,40000,E:\Desktop\codex\output\data\r049c_near0_off0p105_a0_r049c_tontrunc_wave.csv
1,,r049c_near0_off0p105_a2_tontrunc,A2_ton_trunc,near0,r049c_minimal_tontrunc,minimal_ton_truncation,40,1,39,0.105,450.105,60,1.25,2,5,2,10,0.999516954726827,6.80802735888066,9.50796408429991,12.3250362516588,15.2898326239098,0,0,0,0,0,0,0,0,5.96028771560264,1.34500000000004,-7.24819216680173,13.2084798824044,-0.569460168004077,1.99999999999999,1,33,33,33,33,1000,1000,1000,1000,E:\Desktop\codex\output\data\r049c_near0_off0p105_a2_tontrunc_r049c_tontrunc_wave.csv
