case_id,controller,target_label,objective,role,trigger_mode,base_load_A,target_load_A,load_drop_A,load_step_offset_us,tau_ai_us,selected_ref_slew_us,tton_trunc_min_ns,tton_trunc_window_us,post_inhibit_delay_us,post_inhibit_window_us,delta_v_allow_mV
r049j_20A_off0p050_a0,A0_no_inhibit,20A,r049j_deferred_post_active_inhibit,baseline_same_model,disabled_negative_window,40,20,20,0.05,1.25,60,196.5,-0.001,0.07,-0.001,10
r049j_20A_off0p050_a2_post_active_inhibit,A2_deferred_post_active_inhibit,20A,r049j_deferred_post_active_inhibit,deferred_post_active_request_inhibit,post_active_request_inhibit,40,20,20,0.05,1.25,60,196.5,-0.001,0.07,1.93,10
r049j_20A_off0p105_a0,A0_no_inhibit,20A,r049j_deferred_post_active_inhibit,baseline_same_model,disabled_negative_window,40,20,20,0.105,1.25,60,196.5,-0.001,0.07,-0.001,10
r049j_20A_off0p105_a2_post_active_inhibit,A2_deferred_post_active_inhibit,20A,r049j_deferred_post_active_inhibit,deferred_post_active_request_inhibit,post_active_request_inhibit,40,20,20,0.105,1.25,60,196.5,-0.001,0.07,1.93,10
