success,error_message,case_id,controller,target_label,objective,role,trigger_mode,base_load_A,target_load_A,load_drop_A,load_step_offset_us,t_load_step_us,selected_ref_slew_us,tau_ai_us,tton_trunc_min_ns,tton_trunc_window_us,post_inhibit_delay_us,post_inhibit_window_us,delta_v_allow_mV,vout0_V,il1_0_A,il2_0_A,il3_0_A,il4_0_A,qh1_at_step,qh2_at_step,qh3_at_step,qh4_at_step,remaining_ton1_ns,remaining_ton2_ns,remaining_ton3_ns,remaining_ton4_ns,delta_v_actual_peak_mV,t_peak_actual_us,secondary_undershoot_mV,secondary_pp_mV,final_error_mV,global_trunc_duration_us,trunc_duration1_us,trunc_duration2_us,trunc_duration3_us,trunc_duration4_us,trunc_edges1,trunc_edges2,trunc_edges3,trunc_edges4,first_trunc1_us,first_trunc2_us,first_trunc3_us,first_trunc4_us,inhibit_duration_us,inhibit_edge_count,req_edges_during_inhibit,allow_edge_count,first_inhibit_us,pulse_inhibit_duration1_us,pulse_inhibit_duration2_us,pulse_inhibit_duration3_us,pulse_inhibit_duration4_us,pulse_inhibit_edges1,pulse_inhibit_edges2,pulse_inhibit_edges3,pulse_inhibit_edges4,qh1_edge_count,qh2_edge_count,qh3_edge_count,qh4_edge_count,ton_min_hits1,ton_min_hits2,ton_min_hits3,ton_min_hits4,wave_csv
1,,r049j_20A_off0p050_a0,A0_no_inhibit,20A,r049j_deferred_post_active_inhibit,baseline_same_model,disabled_negative_window,40,20,20,0.05,450.05,60,1.25,196.5,-0.001,0.07,-0.001,10,0.999515539655166,7.10937874789653,9.81763658166987,12.6433908646578,12.3538573604537,0,0,0,1,0,0,0,52.0000000000598,2.11033004942607,9.45400000000005,-0.89094914066401,3.00127919009008,-0.439674881791308,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,37,37,37,38,40001,40001,40001,40001,E:\Desktop\codex\output\data\r049j_20A_off0p050_a0_r049j_post_active_inhibit_wave.csv
1,,r049j_20A_off0p050_a2_post_active_inhibit,A2_deferred_post_active_inhibit,20A,r049j_deferred_post_active_inhibit,deferred_post_active_request_inhibit,post_active_request_inhibit,40,20,20,0.05,450.05,60,1.25,196.5,-0.001,0.07,1.93,10,0.999515539655166,7.10937874789653,9.81763658166987,12.6433908646578,12.3538573604537,0,0,0,1,0,0,0,52.0000000000598,2.09772173716449,0.484000000000085,-3.39274669226586,5.49046842943035,-0.436280761663466,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1.92999999999998,1,1,5,0.0700000000000722,1.92999999999998,1.92999999999998,1.92999999999998,1.92999999999998,1,1,1,1,37,37,37,38,40001,40001,40001,40001,E:\Desktop\codex\output\data\r049j_20A_off0p050_a2_post_active_inhibit_r049j_post_active_inhibit_wave.csv
1,,r049j_20A_off0p105_a0,A0_no_inhibit,20A,r049j_deferred_post_active_inhibit,baseline_same_model,disabled_negative_window,40,20,20,0.105,450.105,60,1.25,196.5,-0.001,0.07,-0.001,10,0.999516954726827,6.80802735888066,9.50796408429991,12.3250362516588,15.2898326239098,0,0,0,0,0,0,0,0,2.0935647513205,8.38900000000003,-0.899133797393703,2.9926985487142,-0.434362156482515,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,11,NaN,0,0,0,0,0,0,0,0,37,37,37,36,40000,40000,40000,40000,E:\Desktop\codex\output\data\r049j_20A_off0p105_a0_r049j_post_active_inhibit_wave.csv
1,,r049j_20A_off0p105_a2_post_active_inhibit,A2_deferred_post_active_inhibit,20A,r049j_deferred_post_active_inhibit,deferred_post_active_request_inhibit,post_active_request_inhibit,40,20,20,0.105,450.105,60,1.25,196.5,-0.001,0.07,1.93,10,0.999516954726827,6.80802735888066,9.50796408429991,12.3250362516588,15.2898326239098,0,0,0,0,0,0,0,0,1.94392263087573,0.429000000000033,-4.16015147200299,6.10407410287872,-0.441710599330736,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1.92999999999998,1,1,25,0.0710000000000337,1.92999999999998,1.92999999999998,1.92999999999998,1.92999999999998,1,1,1,1,37,37,37,36,40000,40000,40000,40000,E:\Desktop\codex\output\data\r049j_20A_off0p105_a2_post_active_inhibit_r049j_post_active_inhibit_wave.csv
