run,offset_us,controller,window,a0_max_mV,a2_max_mV,peak_improvement_mV,a2_minus_a0_max_mV,a0_min_mV,a2_min_mV,undershoot_improvement_mV,a2_release_clock_time_us,a2_oneshot_time_us,a2_inhibit_raw_duration_us
R049O,0.050,A2_1p250,early_local_peak,2.097721737160052,2.097721737160052,0.0,0.0,0.07040286945003693,0.07040286945003693,0.0,1.25000000000006,1.31000000000008,1.6900000000000492
R049O,0.050,A2_1p250,recovery_peak,2.1103300494300647,2.1103300494300647,0.0,0.0,-0.4026078355210405,-0.4026078355210405,0.0,1.25000000000006,1.31000000000008,1.6900000000000492
R049O,0.050,A2_1p250,late_settling,1.9391535433499474,1.9391535433499474,0.0,0.0,-0.8909491406640102,-0.8909491406640102,0.0,1.25000000000006,1.31000000000008,1.6900000000000492
R049O,0.050,A2_1p450,early_local_peak,2.097721737160052,2.097721737160052,0.0,0.0,0.07040286945003693,0.07040286945003693,0.0,1.45000000000006,1.51000000000009,1.6900000000000492
R049O,0.050,A2_1p450,recovery_peak,2.1103300494300647,2.1103300494300647,0.0,0.0,-0.4026078355210405,-0.4026078355210405,0.0,1.45000000000006,1.51000000000009,1.6900000000000492
R049O,0.050,A2_1p450,late_settling,1.9391535433499474,1.9391535433499474,0.0,0.0,-0.8909491406640102,-0.8909491406640102,0.0,1.45000000000006,1.51000000000009,1.6900000000000492
R049O,0.105,A2_1p250,early_local_peak,1.9439226308799462,1.9439226308799462,0.0,0.0,0.09497206043995732,0.09497206043995732,0.0,1.25100000000002,1.29500000000001,1.6899999999999875
R049O,0.105,A2_1p250,recovery_peak,2.093564751320054,2.093564751320054,0.0,0.0,-0.0030137685369524547,-0.0030137685369524547,0.0,1.25100000000002,1.29500000000001,1.6899999999999875
R049O,0.105,A2_1p250,late_settling,2.0093183535299097,2.0093183535299097,0.0,0.0,-0.8991337973940361,-0.8991337973940361,0.0,1.25100000000002,1.29500000000001,1.6899999999999875
R049O,0.105,A2_1p450,early_local_peak,1.9439226308799462,1.9439226308799462,0.0,0.0,0.09497206043995732,0.09497206043995732,0.0,1.45100000000002,1.49500000000001,1.6899999999999875
R049O,0.105,A2_1p450,recovery_peak,2.093564751320054,2.093564751320054,0.0,0.0,-0.0030137685369524547,-0.0030137685369524547,0.0,1.45100000000002,1.49500000000001,1.6899999999999875
R049O,0.105,A2_1p450,late_settling,2.0093183535299097,2.0093183535299097,0.0,0.0,-0.8991337973940361,-0.8991337973940361,0.0,1.45100000000002,1.49500000000001,1.6899999999999875
