case_id,controller,target_label,objective,role,trigger_mode,base_load_A,target_load_A,load_drop_A,load_step_offset_us,tau_ai_us,selected_ref_slew_us,tton_trunc_min_ns,tton_trunc_window_us,delta_v_allow_mV
r049i_20A_off0p050_a0,A0_no_trunc,20A,r049i_gentle_phase_selective_tontrim,baseline_same_model,disabled_negative_window,40,20,20,0.05,1.25,60,196.5,-0.001,10
r049i_20A_off0p050_a2_gentle_trim,A2_gentle_phase_selective_ton_trim,20A,r049i_gentle_phase_selective_tontrim,gentle_phase_selective_active_hs_ton_trim,early_window_and_qh_i,40,20,20,0.05,1.25,60,120,0.08,10
r049i_20A_off0p105_a0,A0_no_trunc,20A,r049i_gentle_phase_selective_tontrim,baseline_same_model,disabled_negative_window,40,20,20,0.105,1.25,60,196.5,-0.001,10
r049i_20A_off0p105_a2_gentle_trim,A2_gentle_phase_selective_ton_trim,20A,r049i_gentle_phase_selective_tontrim,gentle_phase_selective_active_hs_ton_trim,early_window_and_qh_i,40,20,20,0.105,1.25,60,120,0.08,10
