event_index,event_time,phase_idx,A_before_tr,Lambda_i,A_minus_Lambda,h_mean_since_last_event,period
33.0,1.735e-05,3.0,1.63881575223183e-08,3e-10,1.60881575223183e-08,0.037588611601985886,4.820000000000032e-07
34.0,1.78320000000002e-05,0.0,1.63714231629842e-08,3e-10,1.60714231629842e-08,0.037575571858405384,4.820000000001997e-07
35.0,1.83140000000002e-05,1.0,1.57523903350969e-08,3e-10,1.54523903350969e-08,0.036172956837084116,4.819999999999998e-07
36.0,1.87960000000002e-05,2.0,1.56938570428794e-08,3e-10,1.53938570428794e-08,0.03601957512113877,4.819999999999998e-07
37.0,1.92780000000002e-05,3.0,1.56437873204511e-08,3e-10,1.53437873204511e-08,0.03592326861015141,4.819999999999998e-07
38.0,1.97600000000002e-05,0.0,1.69529237546837e-08,3e-10,1.66529237546837e-08,0.035688636892723585,4.819999999999998e-07
39.0,2.02420000000002e-05,1.0,1.47669931147021e-08,3e-10,1.44669931147021e-08,0.0340019098405116,4.819999999999998e-07
40.0,2.07240000000002e-05,2.0,1.4605560775409e-08,3e-10,1.4305560775409e-08,0.03354462358679065,4.819999999999998e-07
41.0,2.12060000000002e-05,3.0,1.44748565072512e-08,3e-10,1.4174856507251201e-08,0.033222712462597385,4.819999999999998e-07
42.0,2.16880000000002e-05,0.0,1.43012553154258e-08,3e-10,1.4001255315425801e-08,0.032862170708807585,4.819999999999998e-07
43.0,2.217e-05,1.0,1.36520795053332e-08,3e-10,1.33520795053332e-08,0.031444948807568714,4.819999999997999e-07
44.0,2.2652e-05,2.0,1.34210647563099e-08,3e-10,1.3121064756309901e-08,0.03087055405246824,4.819999999999998e-07
45.0,2.3134e-05,3.0,1.32180071049788e-08,3e-10,1.2918007104978801e-08,0.030437082921204166,4.819999999999998e-07
46.0,2.4098e-05,1.0,1.2314024730288e-08,3e-10,1.2014024730288001e-08,0.029134736724153107,9.639999999999996e-07
47.0,2.45800000000002e-05,2.0,1.20595173954531e-08,3e-10,1.1759517395453101e-08,0.02780322626193708,4.820000000001997e-07
48.0,2.50620000000002e-05,3.0,1.18066789510951e-08,3e-10,1.15066789510951e-08,0.02719715300869825,4.820000000000032e-07
49.0,2.55440000000002e-05,0.0,1.15270121153836e-08,3e-10,1.1227012115383601e-08,0.026579784782405018,4.819999999999998e-07
50.0,2.60260000000002e-05,1.0,1.08752342970657e-08,3e-10,1.05752342970657e-08,0.025148424565867335,4.819999999999998e-07
51.0,2.65080000000002e-05,2.0,1.05850069388193e-08,3e-10,1.0285006938819301e-08,0.024435247005697526,4.819999999999998e-07
52.0,2.69900000000002e-05,3.0,1.02978026907445e-08,3e-10,9.9978026907445e-09,0.023828204332329645,4.819999999999998e-07
53.0,2.74720000000002e-05,0.0,9.9544285510359e-09,3e-10,9.6544285510359e-09,0.023030387307702502,4.819999999999998e-07
54.0,2.79540000000002e-05,1.0,9.30361065974176e-09,3e-10,9.00361065974176e-09,0.021548844899189686,4.819999999999998e-07
55.0,2.84360000000002e-05,2.0,8.96995785411402e-09,3e-10,8.66995785411402e-09,0.020801905628138686,4.819999999999998e-07
56.0,2.8918e-05,3.0,8.63839823348007e-09,3e-10,8.33839823348007e-09,0.019995337475807735,4.819999999997999e-07
57.0,2.94e-05,0.0,8.99109968579109e-09,3e-10,8.69109968579109e-09,0.019143568436211993,4.819999999999998e-07
58.0,2.9882e-05,1.0,7.43713894255496e-09,3e-10,7.13713894255496e-09,0.017372556579174716,4.819999999999998e-07
59.0,3.0364e-05,2.0,7.06824563909301e-09,3e-10,6.76824563909301e-09,0.01645464058597239,4.819999999999998e-07
60.0,3.0846e-05,3.0,6.70439124597202e-09,3e-10,6.40439124597202e-09,0.015640144651689468,4.820000000000032e-07
61.0,3.1328e-05,0.0,6.30083022041969e-09,3e-10,6.0008302204196895e-09,0.014721008071093283,4.819999999999998e-07
62.0,3.181e-05,1.0,5.65584901741628e-09,3e-10,5.3558490174162795e-09,0.013321547098622042,4.819999999999998e-07
63.0,3.2774e-05,3.0,4.87565142937186e-09,3e-10,4.57565142937186e-09,0.011913793201218182,9.639999999999996e-07
64.0,3.3256e-05,0.0,4.45434372541442e-09,3e-10,4.1543437254144194e-09,0.010547189237871114,4.819999999999998e-07
65.0,3.3738e-05,1.0,3.81921445059971e-09,3e-10,3.5192144505997097e-09,0.009095418565289873,4.819999999999998e-07
66.0,3.422e-05,2.0,3.40990181003238e-09,3e-10,3.10990181003238e-09,0.008142359059776248,4.819999999999998e-07
67.0,3.47020000000004e-05,3.0,3.04171994107689e-09,3e-10,2.74171994107689e-09,0.0073265091508995794,4.820000000003996e-07
68.0,3.51840000000004e-05,0.0,2.61999858919439e-09,3e-10,2.3199985891943898e-09,0.00634688717384109,4.819999999999998e-07
69.0,3.56660000000004e-05,1.0,2.0157884680492e-09,3e-10,1.7157884680492001e-09,0.0049763130279374115,4.819999999999998e-07
70.0,3.61480000000004e-05,2.0,1.61503082658042e-09,3e-10,1.31503082658042e-09,0.004078137686060839,4.819999999999998e-07
71.0,3.66300000000004e-05,3.0,1.24955253362436e-09,3e-10,9.4955253362436e-10,0.003257952915543042,4.819999999999998e-07
72.0,3.71120000000004e-05,0.0,8.37766901270275e-10,3e-10,5.37766901270275e-10,0.0022971664788958416,4.819999999999998e-07
73.0,3.772e-05,1.0,3.22668026668724e-10,3e-10,2.2668026668724003e-11,0.0008539897937039203,6.079999999995984e-07
74.0,3.864e-05,2.0,3.07043769750291e-10,3e-10,7.043769750291028e-12,0.0003616812838898216,9.200000000000047e-07
75.0,3.9604e-05,0.0,4.59885806648557e-10,3e-10,1.5988580664855698e-10,0.0014578772485443559,9.639999999999996e-07
76.0,4.02e-05,1.0,3.4623181147796e-10,3e-10,4.623181147796e-11,0.0008391251987015382,5.95999999999999e-07
77.0,4.06820000000004e-05,2.0,3.81414194734244e-10,3e-10,8.141419473424399e-11,0.0011651769349697353,4.820000000003996e-07
78.0,4.11640000000004e-05,3.0,3.28949992544538e-10,3e-10,2.8949992544537995e-11,0.001059911115547569,4.819999999999998e-07
79.0,4.168e-05,0.0,3.26318588732716e-10,3e-10,2.6318588732716023e-11,0.0009794389752367867,5.159999999996e-07
80.0,4.232e-05,1.0,3.45418226038772e-10,3e-10,4.5418226038772004e-11,0.0007508906825871812,6.400000000000006e-07
81.0,4.28020000000004e-05,2.0,5.04201341196688e-10,3e-10,2.0420134119668804e-10,0.0014289363698065762,4.820000000003996e-07
82.0,4.32840000000004e-05,3.0,5.33589218897281e-10,3e-10,2.3358921889728103e-10,0.0014991336495262708,4.819999999999998e-07
83.0,4.37660000000004e-05,0.0,5.68784651674866e-10,3e-10,2.68784651674866e-10,0.00161422611545825,4.819999999999998e-07
84.0,4.42480000000004e-05,1.0,4.76397063508316e-10,3e-10,1.7639706350831603e-10,0.0013730157774933653,4.819999999999998e-07
85.0,4.47300000000004e-05,2.0,4.47684798481984e-10,3e-10,1.4768479848198402e-10,0.0013222570040158253,4.819999999999998e-07
86.0,4.52120000000004e-05,3.0,4.36298788601099e-10,3e-10,1.36298788601099e-10,0.0013277806855579086,4.819999999999998e-07
87.0,4.56940000000004e-05,0.0,3.95331147528242e-10,3e-10,9.533114752824198e-11,0.0011939028328284609,4.819999999999998e-07
88.0,4.624e-05,1.0,3.36320002510392e-10,3e-10,3.632000251039202e-11,0.0009166235129551824,5.45999999999598e-07
89.0,4.676e-05,2.0,3.27806820545829e-10,3e-10,2.7806820545829013e-11,0.0009502925843682881,5.200000000000018e-07
90.0,4.7242e-05,3.0,3.45897020912181e-10,3e-10,4.5897020912181e-11,0.0011124091304710953,4.819999999999998e-07
