variant,success,peak_overshoot_mV,peak_undershoot_mV,recovery_peak_2_12us_mV,recovery_peak_12_40us_mV,settling_time_us,final_Vout_error_mV,Vout_ripple_pp_mV,Ton_trunc_count,Ton_trunc_min_ns,Ton_saved_ns,Tton_trunc_window_us,pulse_inhibit_count,inhibit_time_us,REQ_reject_count,REQ_reject_reason,area_hold_count,area_reset_count,area_bleed_count,area_int_max,area_int_at_reentry,first_reentry_time_us,first_reentry_phase,first_reentry_Ton_ns,burst_pulse_count_after_reentry,REQ_count,accepted_REQ_count,dropped_REQ_count,phase_order_error_rate,real_max_current_imbalance_A,real_rms_current_imbalance_A,current_limit_hit,undershoot_budget_violation,late_settling_guard_violation,fallback_count,fallback_reason,logging_complete,postprocess_complete,audit_hint,classification_hint,error_message,derived_model
A5-C0,1,4.06085039477899,0,3.61172256292042,3.59863494243551,NaN,2.97792718436692,1.01145403542935,0,0,0,0,0,0,0,0,0,0,0,8.36864119559783e-10,NaN,NaN,NaN,NaN,0,149,149,0,0,0.1241687110781,0.0896981295350865,0,0,0,0,0,1,1,baseline_reproduction_metrics_computable,MODEL_CONFIRMED,,E:/Desktop/codex/models/derived/E010A5_C0_baseline_40A_1A_20260630.slx
A5-C4,1,4.06085039477899,0,3.61172256292042,3.59863494243551,NaN,2.97792718436692,1.01145403542935,0,80,116.5,2,0,1.8,0,0,0,0,0,8.36864119559783e-10,NaN,NaN,NaN,NaN,0,149,149,0,0,0.1241687110781,0.0896981295350865,0,0,0,0,0,1,1,previous_A4_no_harm_boundary_reproduced_pending_pairwise_check,MODEL_CONFIRMED,,E:/Desktop/codex/models/derived/E010A5_C4_previous_A4_40A_1A_20260630.slx
