variant,event_index,time_us,REQ_phase,REQ_accept_phase,phase_idx,REQ_reject_reason,phase_order_error,active_HS_phase
A5-C0,120,72.44,2,2,1,0,0,0
A5-C0,121,72.9220000000069,3,3,2,0,0,0
A5-C0,122,73.5200000000001,4,4,3,0,1,0
A5-C0,123,74.1600000000001,1,1,0,0,0,0
A5-C0,124,74.76,2,2,1,0,0,0
A5-C0,125,75.2800000000001,3,3,2,0,0,0
A5-C0,126,75.8800000000001,4,4,3,0,0,0
A5-C0,127,76.5200000000001,1,1,0,0,0,0
A5-C0,128,77.1200000000001,2,2,1,0,0,0
A5-C0,129,77.64,3,3,2,0,0,0
A5-C0,130,78.28,4,4,3,0,0,0
A5-C0,131,78.84,1,1,0,0,0,0
A5-C0,132,79.52,2,2,1,0,0,0
A5-C0,133,80.002000000007,3,3,2,0,0,0
A5-C0,134,80.6,4,4,3,0,1,0
A5-C0,135,81.24,1,1,0,0,0,0
A5-C0,136,81.84,2,2,1,0,0,0
A5-C0,137,82.4,3,3,2,0,0,0
A5-C0,138,82.92,4,4,3,0,0,0
A5-C0,139,83.6400000000001,1,1,0,0,0,0
A5-C0,140,84.16,2,2,1,0,0,0
A5-C0,141,84.8,3,3,2,0,0,0
A5-C0,142,85.2820000000069,4,4,3,0,0,0
A5-C0,143,86,1,1,0,0,1,0
A5-C0,144,86.5200000000001,2,2,1,0,0,0
A5-C0,145,87.1600000000001,3,3,2,0,0,0
A5-C0,146,87.6420000000001,4,4,3,0,0,0
A5-C0,147,88.36,1,1,0,0,1,0
A5-C0,148,88.8800000000001,2,2,1,0,0,0
A5-C0,149,89.5200000000001,3,3,2,0,0,0
A5-C4,1,2.24000000000003,3,3,2,0,0,0
A5-C4,2,2.84000000000005,4,4,3,0,0,0
A5-C4,3,3.32200000000005,1,1,0,0,0,0
A5-C4,4,3.80400000000005,2,2,1,0,0,0
A5-C4,5,4.40000000000005,3,3,2,0,1,0
A5-C4,6,5.28000000000003,4,4,3,0,0,0
A5-C4,7,5.7620000000035,1,1,0,0,0,0
A5-C4,8,6.2440000000035,2,2,1,0,0,0
A5-C4,9,6.7260000000035,3,3,2,0,0,0
A5-C4,10,7.56000000000004,4,4,3,0,1,0
A5-C4,11,8.04200000000004,1,1,0,0,0,0
A5-C4,12,8.52400000000004,2,2,1,0,0,0
A5-C4,13,9.00600000000004,3,3,2,0,0,0
A5-C4,14,9.96000000000005,4,4,3,0,1,0
A5-C4,15,10.442,1,1,0,0,0,0
A5-C4,16,10.924,2,2,1,0,0,0
A5-C4,17,11.406,3,3,2,0,0,0
A5-C4,18,12.28,4,4,3,0,1,0
A5-C4,19,12.762,1,1,0,0,0,0
A5-C4,20,13.244,2,2,1,0,0,0
A5-C4,21,13.84,3,3,2,0,1,0
A5-C4,22,14.6400000000001,4,4,3,0,0,0
A5-C4,23,15.1220000000001,1,1,0,0,0,0
A5-C4,24,15.6040000000001,2,2,1,0,0,0
A5-C4,25,16.24,3,3,2,0,1,0
A5-C4,26,16.92,4,4,3,0,0,0
A5-C4,27,17.52,1,1,0,0,0,0
A5-C4,28,18.0020000000035,2,2,1,0,0,0
A5-C4,29,18.56,3,3,2,0,1,0
A5-C4,30,19.3600000000001,4,4,3,0,0,0
A5-C4,31,19.8420000000001,1,1,0,0,0,0
A5-C4,32,20.3240000000001,2,2,1,0,0,0
A5-C4,33,20.96,3,3,2,0,1,0
A5-C4,34,21.64,4,4,3,0,0,0
A5-C4,35,22.24,1,1,0,0,0,0
A5-C4,36,22.7220000000035,2,2,1,0,0,0
A5-C4,37,23.3200000000001,3,3,2,0,1,0
A5-C4,38,24,4,4,3,0,0,0
A5-C4,39,24.6000000000001,1,1,0,0,0,0
A5-C4,40,25.0820000000001,2,2,1,0,0,0
A5-C4,41,25.68,3,3,2,0,1,0
A5-C4,42,26.3600000000001,4,4,3,0,0,0
A5-C4,43,26.96,1,1,0,0,0,0
A5-C4,44,27.4420000000035,2,2,1,0,0,0
A5-C4,45,28.0400000000001,3,3,2,0,1,0
A5-C4,46,28.72,4,4,3,0,0,0
A5-C4,47,29.3200000000001,1,1,0,0,0,0
A5-C4,48,29.802,2,2,1,0,0,0
A5-C4,49,30.4400000000001,3,3,2,0,1,0
A5-C4,50,31.04,4,4,3,0,0,0
A5-C4,51,31.7200000000001,1,1,0,0,0,0
A5-C4,52,32.2020000000001,2,2,1,0,0,0
A5-C4,53,32.6840000000001,3,3,2,0,0,0
A5-C4,54,33.52,4,4,3,0,1,0
A5-C4,55,34.002,1,1,0,0,0,0
A5-C4,56,34.5600000000001,2,2,1,0,1,0
A5-C4,57,35.08,3,3,2,0,0,0
A5-C4,58,35.84,4,4,3,0,0,0
A5-C4,59,36.36,1,1,0,0,0,0
A5-C4,60,36.9600000000001,2,2,1,0,0,0
A5-C4,61,37.442,3,3,2,0,0,0
A5-C4,62,38.2000000000001,4,4,3,0,1,0
A5-C4,63,38.72,1,1,0,0,0,0
A5-C4,64,39.32,2,2,1,0,0,0
