time_from_load_step_us,vout_V,qh4,req_global,allow_controlled_reentry,inhibit_raw,release_clock,one_shot_done
0.00100000000001575,1.00168023286385,0,0,0,0,0,0
0.00299999999999303,1.00168140800489,0,0,0,0,0,0
0.00500000000002452,1.00168256959441,0,0,0,0,0,0
0.0070000000000018,1.00168371763863,0,0,0,0,0,0
0.00900000000003329,1.00168485214374,0,0,0,0,0,0
0.0110000000000106,1.00168698507896,0,0,0,0,0,0
0.0129999999999878,1.0016891080746,0,0,0,0,0,0
0.0150000000000193,1.00169155752759,0,0,0,0,0,0
0.0169999999999966,1.0016939950598,0,0,0,0,0,0
0.0190000000000281,1.00169642067256,0,0,0,0,0,0
0.0210000000000054,1.0016988343672,0,0,0,0,0,0
0.0230000000000369,1.00170123614504,0,0,0,0,0,0
0.0250000000000142,1.0017036260074,0,0,0,0,0,0
0.0269999999999914,1.00170600395563,0,0,0,0,0,0
0.0290000000000229,1.00170836999103,0,0,0,0,0,0
0.0310000000000002,1.00171072411494,0,0,0,0,0,0
0.0330000000000317,1.00171306632868,0,0,0,0,0,0
0.035000000000009,1.00171539663357,0,0,0,0,0,0
0.0370000000000405,1.00171771503096,0,0,0,0,0,0
0.0390000000000178,1.00172002152215,0,0,0,0,0,0
0.040999999999995,1.00172231610848,0,0,0,0,0,0
0.0430000000000265,1.00172459879126,0,0,0,0,0,0
0.0450000000000038,1.00172686957184,0,0,0,0,0,0
0.0470000000000353,1.00172912845153,0,0,0,0,0,0
0.0490000000000126,1.00173137543166,0,0,0,0,0,0
0.0509999999999899,1.00173361051355,0,0,0,0,0,0
0.0530000000000213,1.00173583369854,0,0,0,0,0,0
0.0549999999999986,1.00173804498794,0,0,0,0,0,0
0.0570000000000301,1.00174024438308,0,0,0,0,0,0
0.0590000000000074,1.00174243188529,0,0,0,0,0,0
0.0610000000000389,1.00174460749589,0,0,0,0,0,0
0.0630000000000162,1.00174677121621,0,0,0,0,0,0
0.0649999999999935,1.00174892304758,0,0,0,0,0,0
0.0670000000000249,1.00175106299132,0,0,0,0,0,0
0.0690000000000022,1.00175319104875,0,0,0,0,0,0
0.0710000000000337,1.0017553072212,0,0,0,1,0,0
0.073000000000011,1.00175741151,0,0,0,1,0,0
0.0749999999999883,1.00175950391648,0,0,0,1,0,0
0.0770000000000198,1.00176158444195,0,0,0,1,0,0
0.078999999999997,1.00176365308774,0,0,0,1,0,0
0.0810000000000285,1.00176570985519,0,0,0,1,0,0
0.0830000000000058,1.00176775474561,0,0,0,1,0,0
0.0850000000000373,1.00176978776033,0,0,0,1,0,0
0.0870000000000146,1.00177180890067,0,0,0,1,0,0
0.0889999999999919,1.00177381816796,0,0,0,1,0,0
0.0910000000000234,1.00177581556354,0,0,0,1,0,0
0.0930000000000006,1.00177780108871,0,0,0,1,0,0
0.0950000000000321,1.00177977474481,0,0,0,1,0,0
0.0970000000000094,1.00178173653316,0,0,0,1,0,0
0.0989999999999867,1.00178368645509,0,0,0,1,0,0
0.101000000000018,1.00178562451192,0,0,0,1,0,0
0.102999999999995,1.00178755070498,0,0,0,1,0,0
0.105000000000027,1.0017894650356,0,0,0,1,0,0
0.107000000000004,1.00179136750509,0,0,0,1,0,0
0.109000000000036,1.00179325811479,0,0,0,1,0,0
0.111000000000013,1.00179513686601,0,0,0,1,0,0
0.11299999999999,1.00179700376009,0,0,0,1,0,0
0.115000000000022,1.00179885879835,0,0,0,1,0,0
0.116999999999999,1.00180070198211,0,0,0,1,0,0
0.119000000000031,1.0018025333127,0,0,0,1,0,0
0.121000000000008,1.00180435279145,0,0,0,1,0,0
0.123000000000039,1.00180616041968,0,0,0,1,0,0
0.125000000000017,1.00180795619871,0,0,0,1,0,0
0.126999999999994,1.00180974012987,0,0,0,1,0,0
0.129000000000025,1.00181151221449,0,0,0,1,0,0
0.131000000000003,1.00181327245388,0,0,0,1,0,0
0.133000000000034,1.00181502084938,0,0,0,1,0,0
0.135000000000011,1.00181675740231,0,0,0,1,0,0
0.136999999999989,1.001818482114,0,0,0,1,0,0
0.13900000000002,1.00182019498576,0,0,0,1,0,0
0.140999999999997,1.00182189601893,0,0,0,1,0,0
0.143000000000029,1.00182358521483,0,0,0,1,0,0
0.145000000000006,1.00182526257479,0,0,0,1,0,0
0.147000000000038,1.00182692810012,0,0,0,1,0,0
0.149000000000015,1.00182858179215,0,0,0,1,0,0
0.150999999999992,1.00183022365222,0,0,0,1,0,0
0.153000000000024,1.00183185368163,0,0,0,1,0,0
0.155000000000001,1.00183347188173,0,0,0,1,0,0
0.157000000000033,1.00183507825383,0,0,0,1,0,0
0.15900000000001,1.00183667279926,0,0,0,1,0,0
0.160999999999987,1.00183825551933,0,0,0,1,0,0
0.163000000000019,1.00183982641539,0,0,0,1,0,0
0.164999999999996,1.00184138548875,0,0,0,1,0,0
0.167000000000027,1.00184293274073,0,0,0,1,0,0
0.169000000000005,1.00184446817266,0,0,0,1,0,0
0.171000000000036,1.00184599178587,0,0,0,1,0,0
0.173000000000013,1.00184750358168,0,0,0,1,0,0
0.174999999999991,1.00184900356142,0,0,0,1,0,0
0.177000000000022,1.0018504917264,0,0,0,1,0,0
0.178999999999999,1.00185196807796,0,0,0,1,0,0
0.181000000000031,1.00185343261741,0,0,0,1,0,0
0.183000000000008,1.00185488534609,0,0,0,1,0,0
0.18500000000004,1.00185632626532,0,0,0,1,0,0
0.187000000000017,1.00185775537641,0,0,0,1,0,0
0.188999999999994,1.0018591726807,0,0,0,1,0,0
0.191000000000026,1.00186057817952,0,0,0,1,0,0
0.193000000000003,1.00186197187417,0,0,0,1,0,0
0.195000000000035,1.001863353766,0,0,0,1,0,0
0.197000000000012,1.00186472385632,0,0,0,1,0,0
0.198999999999989,1.00186608214646,0,0,0,1,0,0
0.201000000000021,1.00186742863774,0,0,0,1,0,0
0.202999999999998,1.00186876333148,0,0,0,1,0,0
0.205000000000029,1.00187008622902,0,0,0,1,0,0
0.207000000000007,1.00187139733167,0,0,0,1,0,0
0.209000000000038,1.00187269664076,0,0,0,1,0,0
0.211000000000015,1.00187398415761,0,0,0,1,0,0
0.212999999999993,1.00187525988355,0,0,0,1,0,0
0.215000000000024,1.0018765238199,0,0,0,1,0,0
0.217000000000001,1.00187777596798,0,0,0,1,0,0
0.219000000000033,1.00187901632913,0,0,0,1,0,0
0.22100000000001,1.00188024490466,0,0,0,1,0,0
0.222999999999988,1.0018814616959,0,0,0,1,0,0
0.225000000000019,1.00188266670417,0,0,0,1,0,0
0.226999999999996,1.00188385993079,0,0,0,1,0,0
0.229000000000028,1.0018850413771,0,0,0,1,0,0
0.231000000000005,1.00188621104441,0,0,0,1,0,0
0.233000000000037,1.00188736893404,0,0,0,1,0,0
0.235000000000014,1.00188851504733,0,0,0,1,0,0
0.236999999999991,1.00188964938559,0,0,0,1,0,0
0.239000000000023,1.00189077195016,0,0,0,1,0,0
0.241,1.00189188274235,0,0,0,1,0,0
0.243000000000031,1.00189298176348,0,0,0,1,0,0
0.245000000000009,1.00189406901489,0,0,0,1,0,0
0.24700000000004,1.00189514449789,0,0,0,1,0,0
0.249000000000017,1.00189620821381,0,0,0,1,0,0
0.250999999999995,1.00189726016397,0,0,0,1,0,0
0.253000000000026,1.0018983003497,0,0,0,1,0,0
0.255000000000004,1.00189932877231,0,0,0,1,0,0
0.257000000000035,1.00190034543314,0,0,0,1,0,0
0.259000000000012,1.00190135033351,0,0,0,1,0,0
0.26099999999999,1.00190234347474,0,0,0,1,0,0
0.263000000000021,1.00190332485816,0,0,0,1,0,0
0.264999999999998,1.00190429448508,0,0,0,1,0,0
0.26700000000003,1.00190525235684,0,0,0,1,0,0
0.269000000000007,1.00190619847475,0,0,0,1,0,0
0.271000000000039,1.00190713284014,0,0,0,1,0,0
0.273000000000016,1.00190805545433,0,0,0,1,0,0
0.274999999999993,1.00190896631865,0,0,0,1,0,0
0.277000000000025,1.00190986543442,0,0,0,1,0,0
0.279000000000002,1.00191075280297,0,0,0,1,0,0
0.281000000000033,1.00191162842561,0,0,0,1,0,0
0.283000000000011,1.00191249230366,0,0,0,1,0,0
0.284999999999988,1.00191334443847,0,0,0,1,0,0
0.287000000000019,1.00191418483134,0,0,0,1,0,0
0.288999999999997,1.0019150134836,0,0,0,1,0,0
0.291000000000028,1.00191583039657,0,0,0,1,0,0
0.293000000000005,1.00191663557158,0,0,0,1,0,0
0.295000000000037,1.00191742900996,0,0,0,1,0,0
0.297000000000014,1.00191821071301,0,0,0,1,0,0
0.298999999999992,1.00191898068208,0,0,0,1,0,0
0.301000000000023,1.00191973891847,0,0,0,1,0,0
0.303,1.00192048542351,0,0,0,1,0,0
0.305000000000032,1.00192122019854,0,0,0,1,0,0
0.307000000000009,1.00192194324486,0,0,0,1,0,0
0.308999999999986,1.00192265456381,0,0,0,1,0,0
0.311000000000018,1.0019233541567,0,0,0,1,0,0
0.312999999999995,1.00192404202486,0,0,0,1,0,0
0.315000000000027,1.00192471816962,0,0,0,1,0,0
0.317000000000004,1.00192538259229,0,0,0,1,0,0
0.319000000000035,1.0019260352942,0,0,0,1,0,0
0.321000000000013,1.00192667627667,0,0,0,1,0,0
0.32299999999999,1.00192730554102,0,0,0,1,0,0
0.325000000000021,1.00192792308859,0,0,0,1,0,0
0.326999999999999,1.00192852892068,0,0,0,1,0,0
0.32900000000003,1.00192912303863,0,0,0,1,0,0
0.331000000000008,1.00192970544375,0,0,0,1,0,0
0.333000000000039,1.00193027613738,0,0,0,1,0,0
0.335000000000016,1.00193083512082,0,0,0,1,0,0
0.336999999999994,1.00193138239541,0,0,0,1,0,0
0.339000000000025,1.00193191796247,0,0,0,1,0,0
0.341000000000002,1.00193244182333,0,0,0,1,0,0
0.343000000000034,1.00193295397929,0,0,0,1,0,0
0.345000000000011,1.00193345443169,0,0,0,1,0,0
0.346999999999988,1.00193394318185,0,0,0,1,0,0
0.34900000000002,1.0019344202311,0,0,0,1,0,0
0.350999999999997,1.00193488558075,0,0,0,1,0,0
0.353000000000029,1.00193533923212,0,0,0,1,0,0
0.355000000000006,1.00193578118655,0,0,0,1,0,0
0.357000000000037,1.00193621144535,0,0,0,1,0,0
0.359000000000015,1.00193663000984,0,0,0,1,0,0
0.360999999999992,1.00193703688136,0,0,0,1,0,0
0.363000000000023,1.00193743206121,0,0,0,1,0,0
0.365000000000001,1.00193781555073,0,0,0,1,0,0
0.367000000000032,1.00193818735123,0,0,0,1,0,0
0.369000000000009,1.00193854746405,0,0,0,1,0,0
0.370999999999987,1.00193889589049,0,0,0,1,0,0
0.373000000000018,1.00193923263189,0,0,0,1,0,0
0.374999999999996,1.00193955768956,0,0,0,1,0,0
0.377000000000027,1.00193987106483,0,0,0,1,0,0
0.379000000000004,1.00194017275903,0,0,0,1,0,0
0.381000000000036,1.00194046277346,0,0,0,1,0,0
0.383000000000013,1.00194074110947,0,0,0,1,0,0
0.38499999999999,1.00194100776836,0,0,0,1,0,0
0.387000000000022,1.00194126275146,0,0,0,1,0,0
0.388999999999999,1.00194150606009,0,0,0,1,0,0
0.391000000000031,1.00194173769558,0,0,0,1,0,0
0.393000000000008,1.00194195765925,0,0,0,1,0,0
0.395000000000039,1.00194216595242,0,0,0,1,0,0
0.397000000000017,1.0019423625764,0,0,0,1,0,0
0.398999999999994,1.00194254753254,0,0,0,1,0,0
0.401000000000025,1.00194272082214,0,0,0,1,0,0
0.403000000000003,1.00194288244652,0,0,0,1,0,0
0.405000000000034,1.00194303240702,0,0,0,1,0,0
0.407000000000012,1.00194317070495,0,0,0,1,0,0
0.408999999999989,1.00194329734164,0,0,0,1,0,0
0.41100000000002,1.0019434123184,0,0,0,1,0,0
0.412999999999998,1.00194351563657,0,0,0,1,0,0
0.415000000000029,1.00194360729745,0,0,0,1,0,0
0.417000000000006,1.00194368730238,0,0,0,1,0,0
