time_from_load_step_us,vout_V,iload_A,qh4,req_global,allow_controlled_reentry,inhibit_raw,release_clock,one_shot_done,ton_trunc_global
5.42101086242752e-14,1.00148527614717,20,1,0,0,0,0,0,0
0.0020000000000857,1.00149812574914,20,1,0,0,0,0,0,0
0.00400000000006298,1.00151099530678,20,1,0,0,0,0,0,0
0.00600000000004026,1.00152388481766,20,1,0,0,0,0,0,0
0.00800000000007175,1.00153679427938,20,1,0,0,0,0,0,0
0.010000000000049,1.00154972368954,20,1,0,0,0,0,0,0
0.0120000000000805,1.00156267304571,20,1,0,0,0,0,0,0
0.0140000000000578,1.0015756423455,20,1,0,0,0,0,0,0
0.0160000000000893,1.00158863158649,20,1,0,0,0,0,0,0
0.0180000000000666,1.00160164076627,20,1,0,0,0,0,0,0
0.0200000000000439,1.00161466988244,20,1,0,0,0,0,0,0
0.0220000000000753,1.00162771893258,20,1,0,0,0,0,0,0
0.0240000000000526,1.00164078791429,20,1,0,0,0,0,0,0
0.0260000000000841,1.00165387682516,20,1,0,0,0,0,0,0
0.0280000000000614,1.00166698566277,20,1,0,0,0,0,0,0
0.0300000000000929,1.00168011442472,20,1,0,0,0,0,0,0
0.0320000000000702,1.00169326310861,20,1,0,0,0,0,0,0
0.0340000000000475,1.00170643171202,20,1,0,0,0,0,0,0
0.0360000000000789,1.00171962023254,20,1,0,0,0,0,0,0
0.0380000000000562,1.00173282866776,20,1,0,0,0,0,0,0
0.0400000000000877,1.00174605701528,20,1,0,0,0,0,0,0
0.042000000000065,1.00175930527269,20,1,0,0,0,0,0,0
0.0440000000000423,1.00177257343758,20,1,0,0,0,0,0,0
0.0460000000000738,1.00178586150754,20,1,0,0,0,0,0,0
0.048000000000051,1.00179916948016,20,1,0,0,0,0,0,0
0.0500000000000825,1.00181249735303,20,1,0,0,0,0,0,0
0.0520000000000598,1.00182584512375,20,0,0,0,0,0,0,0
0.0540000000000913,1.0018300773885,20,0,0,0,0,0,0,0
0.0560000000000686,1.00183430543188,20,0,0,0,0,0,0,0
0.0580000000000459,1.00183547950625,20,0,0,0,0,0,0,0
0.0600000000000774,1.00183664002775,20,0,0,0,0,0,0,0
0.0620000000000546,1.0018377870026,20,0,0,0,0,0,0,0
0.0640000000000861,1.001838920437,20,0,0,0,0,0,0,0
0.0660000000000634,1.00184105226436,20,0,0,0,0,0,0,0
0.0680000000000407,1.001843174151,20,0,0,0,0,0,0,0
0.0700000000000722,1.00184562248164,20,0,0,0,1,0,0,0
0.0720000000000495,1.00184805888994,20,0,0,0,1,0,0,0
0.0740000000000809,1.00185048337721,20,0,0,0,1,0,0,0
0.0760000000000582,1.00185289594479,20,0,0,0,1,0,0,0
0.0780000000000897,1.001855296594,20,0,0,0,1,0,0,0
0.080000000000067,1.00185768532618,20,0,0,0,1,0,0,0
0.0820000000000443,1.00186006214263,20,0,0,0,1,0,0,0
0.0840000000000758,1.0018624270447,20,0,0,0,1,0,0,0
0.086000000000053,1.00186478003371,20,0,0,0,1,0,0,0
0.0880000000000845,1.00186712111097,20,0,0,0,1,0,0,0
0.0900000000000618,1.00186945027783,20,0,0,0,1,0,0,0
0.0920000000000933,1.00187176753561,20,0,0,0,1,0,0,0
0.0940000000000706,1.00187407288562,20,0,0,0,1,0,0,0
0.0960000000000479,1.0018763663292,20,0,0,0,1,0,0,0
0.0980000000000794,1.00187864786768,20,0,0,0,1,0,0,0
0.100000000000057,1.00188091750238,20,0,0,0,1,0,0,0
0.102000000000088,1.00188317523462,20,0,0,0,1,0,0,0
0.104000000000065,1.00188542106574,20,0,0,0,1,0,0,0
0.106000000000043,1.00188765499705,20,0,0,0,1,0,0,0
0.108000000000074,1.00188987702988,20,0,0,0,1,0,0,0
0.110000000000051,1.00189208716557,20,0,0,0,1,0,0,0
0.112000000000083,1.00189428540543,20,0,0,0,1,0,0,0
0.11400000000006,1.00189647175079,20,0,0,0,1,0,0,0
0.116000000000092,1.00189864620298,20,0,0,0,1,0,0,0
0.118000000000069,1.00190080876332,20,0,0,0,1,0,0,0
0.120000000000046,1.00190295943315,20,0,0,0,1,0,0,0
0.122000000000078,1.00190509821377,20,0,0,0,1,0,0,0
0.124000000000055,1.00190722510653,20,0,0,0,1,0,0,0
0.126000000000087,1.00190934011274,20,0,0,0,1,0,0,0
0.128000000000064,1.00191144323374,20,0,0,0,1,0,0,0
0.130000000000041,1.00191353447084,20,0,0,0,1,0,0,0
0.132000000000073,1.00191561382538,20,0,0,0,1,0,0,0
0.13400000000005,1.00191768129868,20,0,0,0,1,0,0,0
0.136000000000081,1.00191973689206,20,0,0,0,1,0,0,0
0.138000000000059,1.00192178060685,20,0,0,0,1,0,0,0
0.14000000000009,1.00192381244438,20,0,0,0,1,0,0,0
0.142000000000067,1.00192583240597,20,0,0,0,1,0,0,0
0.144000000000045,1.00192784049295,20,0,0,0,1,0,0,0
0.146000000000076,1.00192983670664,20,0,0,0,1,0,0,0
0.148000000000053,1.00193182104837,20,0,0,0,1,0,0,0
0.150000000000085,1.00193379351946,20,0,0,0,1,0,0,0
0.152000000000062,1.00193575412125,20,0,0,0,1,0,0,0
