time_from_load_step_us,vout_V,iload_A,qh4,req_global,allow_controlled_reentry,inhibit_raw,release_clock,one_shot_done,ton_trunc_global
0.00100000000001575,1.00168023286385,20,0,0,0,0,0,0,0
0.00299999999999303,1.00168140800489,20,0,0,0,0,0,0,0
0.00500000000002452,1.00168256959441,20,0,0,0,0,0,0,0
0.0070000000000018,1.00168371763863,20,0,0,0,0,0,0,0
0.00900000000003329,1.00168485214374,20,0,0,0,0,0,0,0
0.0110000000000106,1.00168698507896,20,0,0,0,0,0,0,0
0.0129999999999878,1.0016891080746,20,0,0,0,0,0,0,0
0.0150000000000193,1.00169155752759,20,0,0,0,0,0,0,0
0.0169999999999966,1.0016939950598,20,0,0,0,0,0,0,0
0.0190000000000281,1.00169642067256,20,0,0,0,0,0,0,0
0.0210000000000054,1.0016988343672,20,0,0,0,0,0,0,0
0.0230000000000369,1.00170123614504,20,0,0,0,0,0,0,0
0.0250000000000142,1.0017036260074,20,0,0,0,0,0,0,0
0.0269999999999914,1.00170600395563,20,0,0,0,0,0,0,0
0.0290000000000229,1.00170836999103,20,0,0,0,0,0,0,0
0.0310000000000002,1.00171072411494,20,0,0,0,0,0,0,0
0.0330000000000317,1.00171306632868,20,0,0,0,0,0,0,0
0.035000000000009,1.00171539663357,20,0,0,0,0,0,0,0
0.0370000000000405,1.00171771503096,20,0,0,0,0,0,0,0
0.0390000000000178,1.00172002152215,20,0,0,0,0,0,0,0
0.040999999999995,1.00172231610848,20,0,0,0,0,0,0,0
0.0430000000000265,1.00172459879126,20,0,0,0,0,0,0,0
0.0450000000000038,1.00172686957184,20,0,0,0,0,0,0,0
0.0470000000000353,1.00172912845153,20,0,0,0,0,0,0,0
0.0490000000000126,1.00173137543166,20,0,0,0,0,0,0,0
0.0509999999999899,1.00173361051355,20,0,0,0,0,0,0,0
0.0530000000000213,1.00173583369854,20,0,0,0,0,0,0,0
0.0549999999999986,1.00173804498794,20,0,0,0,0,0,0,0
0.0570000000000301,1.00174024438308,20,0,0,0,0,0,0,0
0.0590000000000074,1.00174243188529,20,0,0,0,0,0,0,0
0.0610000000000389,1.00174460749589,20,0,0,0,0,0,0,0
0.0630000000000162,1.00174677121621,20,0,0,0,0,0,0,0
0.0649999999999935,1.00174892304758,20,0,0,0,0,0,0,0
0.0670000000000249,1.00175106299132,20,0,0,0,0,0,0,0
0.0690000000000022,1.00175319104875,20,0,0,0,0,0,0,0
0.0710000000000337,1.0017553072212,20,0,0,0,0,0,0,0
0.073000000000011,1.00175741151,20,0,0,0,0,0,0,0
0.0749999999999883,1.00175950391648,20,0,0,0,0,0,0,0
0.0770000000000198,1.00176158444195,20,0,0,0,0,0,0,0
0.078999999999997,1.00176365308774,20,0,0,0,0,0,0,0
0.0810000000000285,1.00176570985519,20,0,0,0,0,0,0,0
0.0830000000000058,1.00176775474561,20,0,0,0,0,0,0,0
0.0850000000000373,1.00176978776033,20,0,0,0,0,0,0,0
0.0870000000000146,1.00177180890067,20,0,0,0,0,0,0,0
0.0889999999999919,1.00177381816796,20,0,0,0,0,0,0,0
0.0910000000000234,1.00177581556354,20,0,0,0,0,0,0,0
0.0930000000000006,1.00177780108871,20,0,0,0,0,0,0,0
0.0950000000000321,1.00177977474481,20,0,0,0,0,0,0,0
0.0970000000000094,1.00178173653316,20,0,0,0,0,0,0,0
0.0989999999999867,1.00178368645509,20,0,0,0,0,0,0,0
0.101000000000018,1.00178562451192,20,0,0,0,0,0,0,0
0.102999999999995,1.00178755070498,20,0,0,0,0,0,0,0
0.105000000000027,1.0017894650356,20,0,0,0,0,0,0,0
0.107000000000004,1.00179136750509,20,0,0,0,0,0,0,0
0.109000000000036,1.00179325811479,20,0,0,0,0,0,0,0
0.111000000000013,1.00179513686601,20,0,0,0,0,0,0,0
