target_load_A,best_ref_slew_us,undershoot_mV,final_vout_error_mV,skip_count_est,settle_time_us,final_phase_spacing_std_ns,tradeoff_score
20,80,1.0943598016524,-0.435550987461508,0,14.41,37.1400221295455,2.27271123170482
10,80,4.63087064829415,-0.550516960481362,1,34.286,82.1829076099372,8.82504576097426
0.001,60,10.4520288239951,-0.543378455996946,2,35.33,90.2632695423331,16.8006726708387
