success,error_message,case_id,target_label,objective,role,base_load_A,target_load_A,load_drop_A,load_step_offset_us,t_load_step_us,selected_ref_slew_us,tau_ai_us,delta_v_allow_mV,vout0_V,il1_0_A,il2_0_A,il3_0_A,il4_0_A,qh1_at_step,qh2_at_step,qh3_at_step,qh4_at_step,remaining_ton1_ns,remaining_ton2_ns,remaining_ton3_ns,remaining_ton4_ns,energy_surplus_uJ,delta_v_energy_mV,delta_v_charge_mV,delta_v_esr_mV,delta_v_charge_esr_mV,t_peak_pred_us,delta_v_actual_peak_mV,t_peak_actual_us,r_E,wave_csv
1,,r042_near0_off0p050,near0,pr_ecb_phase_dense,pre_turnoff_probe,40,1,39,0.05,450.05,60,1.25,10,0.999515539655166,7.10937874789653,9.81763658166987,12.6433908646578,12.3538573604537,0,0,0,1,0,0,0,52.0000000000598,45.9152378469734,6.30757593987663,6.14278739784759,3.68318371992101,9.8259711177686,2.06600000000006,6.2585990731614,1.40000000000009,0.98259711177686,E:\Desktop\codex\output\data\r042_near0_off0p050_r042_pr_ecb_wave.csv
1,,r042_near0_off0p090,near0,pr_ecb_phase_dense,pre_turnoff_probe,40,1,39,0.09,450.09,60,1.25,10,0.999516548964341,6.89403901848408,9.59635058533043,12.4159006254669,14.52434050068,0,0,0,1,0,0,0,12.0000000000263,50.4478773866116,6.92809359527335,5.91467888618854,3.81875676569653,9.73343565188507,2.02600000000002,6.04553132105612,1.36000000000005,0.973343565188507,E:\Desktop\codex\output\data\r042_near0_off0p090_r042_pr_ecb_wave.csv
1,,r042_near0_off0p105,near0,pr_ecb_phase_dense,turnoff_boundary_probe,40,1,39,0.105,450.105,60,1.25,10,0.999516954726827,6.80802735888066,9.50796408429991,12.3250362516588,15.2898326239098,0,0,0,0,0,0,0,0,52.2186117819484,7.17040254369339,5.82115280672216,3.86377742868742,9.68493023540958,2.01100000000001,5.96028771560264,1.34500000000004,0.968493023540958,E:\Desktop\codex\output\data\r042_near0_off0p105_r042_pr_ecb_wave.csv
1,,r042_near0_off0p125,near0,pr_ecb_phase_dense,post_turnoff_probe,40,1,39,0.125,450.125,60,1.25,10,0.999516985424308,6.70061847489882,9.39758958120377,12.2115674674928,15.1238720682992,0,0,0,0,0,0,0,0,51.0816864234314,7.01482931157349,5.70465317622877,3.81902828327051,9.52368145949928,1.99100000000002,5.85372044131005,1.32500000000005,0.952368145949928,E:\Desktop\codex\output\data\r042_near0_off0p125_r042_pr_ecb_wave.csv
