success,error_message,controller_mode,base_load_A,target_load_A,target_Rload_ohm,Iph_initial_A,Iph_final_A,ref_slew_us,vout_initial_V,vout_peak_V,vout_min_V,overshoot_mV,undershoot_mV,t_peak_us,settle_time_us,first_gate_edge_us,max_gate_gap_us,skip_count_est,final_vout_error_mV,final_il1_mean_A,final_il2_mean_A,final_il3_mean_A,final_il4_mean_A,final_il_total_mean_A,final_load_error_A,final_il_phase_imbalance_A,final_il_m2_projection_A,final_phase_spacing_mean_ns,final_phase_spacing_std_ns,final_phase_sequence_error_fraction,tradeoff_score
1,,dynamic_refslew,40,20,0.05,10,5,32,0.99951236273925,1.00223500775282,0.998746607340566,2.23500775282348,1.25339265943403,0.53400000000006,0.938000000000024,1.86200000000351,0.77399999999999,1,-0.487745089793656,5.08422595192048,4.91313184239649,4.94434629745692,5.04208881028237,19.9837929020563,-0.0162070979437381,0.171094109523989,0.0183378991746341,540.722222222222,75.2643384023023,0,5.24642451727373
1,,dynamic_refslew,40,20,0.05,10,5,34,0.99951236273925,1.00223500775282,0.998746607340566,2.23500775282348,1.25339265943403,0.53400000000006,0.938000000000024,1.86200000000351,0.718000000000029,0,-0.433988952916242,5.12145848727377,5.03751910801503,4.88039531643742,4.96196718259675,20.001340094323,0.00134009432297688,0.241063170836354,0.000591878274853963,531.394423831149,36.6473855647572,0,2.42032932364541
1,,dynamic_refslew,40,20,0.05,10,5,35,0.99951236273925,1.00223500775282,0.998772461122266,2.23500775282348,1.22753887773386,0.53400000000006,0.938000000000024,1.86000000000007,0.930000000003422,1,-0.42840688391621,5.13587544768429,4.96414185612383,4.90454526966074,5.03010339828749,20.0346659717563,0.0346659717563469,0.231330178023551,0.0115438657334239,532.722222222223,29.4072219417808,0,4.24409020048568
1,,dynamic_refslew,40,20,0.05,10,5,36,0.99951236273925,1.00223500775282,0.998772461122266,2.23500775282348,1.22753887773386,0.53400000000006,0.938000000000024,1.86000000000007,0.922000000003458,1,-0.44406894423632,5.05021985234165,4.908175566282,4.93518470917426,5.08910962621581,19.9826897540137,-0.0173102459862733,0.180934059933816,-0.00297015774547549,535.888888889081,40.8032056024008,0,4.48767193401819
1,,dynamic_refslew,40,20,0.05,10,5,38,0.99951236273925,1.00223500775282,0.998789318915451,2.23500775282348,1.21068108454891,0.53400000000006,0.938000000000024,1.8580000000035,0.670000000000033,0,-0.432664777242242,5.12255123088112,4.96412096880869,4.88437735308702,5.02284134494934,19.9938908977262,-0.00610910227382888,0.238173877794098,0.00499156755253005,534.444444444445,36.3447339051344,0,2.37024053989385
1,,dynamic_refslew,40,20,0.05,10,5,62,0.99951236273925,1.00223500775282,0.998874176809859,2.23500775282348,1.12582319014076,0.53400000000006,10.0880000000001,1.84800000000351,0.78999999999997,1,-0.431991539624477,5.11684320426577,4.93769697872419,4.93070256488477,5.0468432284216,20.0320859762963,0.0320859762963295,0.186140639381001,0.015751390501191,534.388888888888,35.9008776475458,0,4.27583228271616
1,,dynamic_refslew,40,20,0.05,10,5,64,0.99951236273925,1.00223500775282,0.998874176809859,2.23500775282348,1.12582319014076,0.53400000000006,10.0880000000001,1.84800000000351,0.755999999999977,1,-0.440134472450837,5.0774433896312,5.02615749323495,4.93130930048957,4.97263560548744,20.0075457888432,0.00754578884315649,0.146134089141624,0.00248989784959575,533.722222222413,37.8563112255317,0,4.32308388710223
1,,dynamic_refslew,40,20,0.05,10,5,66,0.99951236273925,1.00223500775282,0.998887128927058,2.23500775282348,1.11287107294222,0.53400000000006,0.938000000000024,1.84600000000006,0.668000000000001,0,-0.438293838860404,5.12266672579952,4.99473000516101,4.87756263428826,5.00618089724361,20.0011402624924,0.00114026249240595,0.245104091511259,-0.000170385579208343,533.055555555365,40.007102545006,0,2.35130696270275
1,,dynamic_refslew,40,20,0.05,10,5,68,0.99951236273925,1.00223500775282,0.998887128927058,2.23500775282348,1.11287107294222,0.53400000000006,12.2440000000001,1.84600000000006,0.666000000006909,0,-0.456637987924613,5.15739170479665,5.04105020525136,4.80819518000167,4.98166799124807,19.9883050812977,-0.0116949187022541,0.349196524794988,-0.0142828279252774,536.270270270456,52.0238557241504,0,2.60998617534984
1,,dynamic_refslew,40,20,0.05,10,5,70,0.99951236273925,1.00223500775282,0.998887128927058,2.23500775282348,1.11287107294222,0.53400000000006,14.372,1.84600000000006,0.698000000003455,0,-0.430205692594554,5.1282560813972,5.0127620207951,4.91935082201413,4.96538480656034,20.0257537307668,0.0257537307667661,0.208905259383068,0.0173650190139734,531.22222222203,36.8765824996862,0,2.2806084155305
