success,error_message,controller_mode,base_load_A,target_load_A,target_Rload_ohm,Iph_initial_A,Iph_final_A,ref_slew_us,vout_initial_V,vout_peak_V,vout_min_V,overshoot_mV,undershoot_mV,t_peak_us,settle_time_us,first_gate_edge_us,max_gate_gap_us,skip_count_est,final_vout_error_mV,final_il1_mean_A,final_il2_mean_A,final_il3_mean_A,final_il4_mean_A,final_il_total_mean_A,final_load_error_A,final_il_phase_imbalance_A,final_il_m2_projection_A,final_phase_spacing_mean_ns,final_phase_spacing_std_ns,final_phase_sequence_error_fraction,tradeoff_score
1,,dynamic_refslew,40,20,0.05,10,5,0,0.99951236273925,1.00223500775282,0.986533823720883,2.23500775282348,13.4661762791167,0.53400000000006,18.256,2.75400000000352,1.01399999999997,1,-0.442856711808215,5.08793809748125,5.06000807533882,4.86474268607728,4.96716919319048,19.9798580520878,-0.0201419479121725,0.223195411403965,-0.018624121242693,532.648648648649,41.1766147244013,0,16.732565285413
1,,dynamic_refslew,40,20,0.05,10,5,5,0.99951236273925,1.00223500775282,0.996952592233589,2.23500775282348,3.04740776641099,0.53400000000006,7.40000000000002,2.04400000000351,0.668000000000001,0,-0.440604354595031,5.05027649840416,5.0314069801657,4.90823340261675,5.00709560761106,19.9970124887977,-0.00298751120232765,0.142043095787404,-0.019998171688961,534.388888888888,38.0099819813761,0,4.24821176063355
1,,dynamic_refslew,40,20,0.05,10,5,10,0.99951236273925,1.00223500775282,0.99809789567074,2.23500775282348,1.90210432926019,0.53400000000006,0.938000000000024,1.93400000000351,0.769999999996566,1,-0.437140682005732,5.11387149157638,5.06579114565127,4.88254890694624,4.93512794548454,19.9973394896584,-0.00266051034156689,0.231322584630141,-0.00112467315329412,533.675675675862,38.0832815872293,0,5.10091064301051
1,,dynamic_refslew,40,20,0.05,10,5,20,0.99951236273925,1.00223500775282,0.998566000955882,2.23500775282348,1.43399904411767,0.53400000000006,0.938000000000024,1.8820000000035,0.797999999999988,1,-0.434811266497692,5.08645895136418,5.08075334567616,4.88645369201142,4.93101801148388,19.9846840005356,-0.0153159994643524,0.200005259352756,-0.00971467844610996,532.432432432432,31.9413877640801,0,4.50763806589697
1,,dynamic_refslew,40,20,0.05,10,5,40,0.99951236273925,1.00223500775282,0.998800598872398,2.23500775282348,1.19940112760242,0.53400000000006,0.938000000000024,1.85600000000353,0.681149476930226,0,-0.43379596481008,5.12857813688934,5.00379908000915,4.91231335493636,4.99757266060818,20.042263232443,0.0422632324430268,0.216264781952987,0.00987993780209306,533.444444444254,43.3359485758766,0,2.49991606393003
1,,dynamic_refslew,40,10,0.1,10,2.5,0,0.99951236273925,1.00419623534961,0.976170144277371,4.19623534961322,23.829855722629,1.01000000000002,22.384,4.09600000000351,1.38999999999657,2,-0.546654166845295,2.39497942805645,2.2990524687516,2.63909319447491,2.65065919058967,9.98378428187263,-0.0162157181273699,0.351606721838066,0.0210902407975229,580.181818181609,75.1654236261334,0,29.8798183619969
1,,dynamic_refslew,40,10,0.1,10,2.5,5,0.99951236273925,1.00419623534961,0.988960459320028,4.19623534961322,11.039540679972,1.01000000000002,17.31,3.31200000000352,1.45799999999997,2,-0.546709575664717,2.39636449064424,2.43811995959012,2.55324283665048,2.59079521217364,9.97852249905847,-0.0214775009415327,0.194430721529399,-0.0198269611172587,573.529411764705,68.6370494942623,0,16.958991245522
1,,dynamic_refslew,40,10,0.1,10,2.5,10,0.99951236273925,1.00419623534961,0.992653127671275,4.19623534961322,7.34687232872533,1.01000000000002,11.874,3.07400000000351,1.05800000000002,1,-0.548058216488734,2.34209054059135,2.39253586312083,2.61533845857712,2.70418113984653,10.0541460021358,0.054146002135818,0.362090599255181,-0.0348220009497235,578.60606060606,81.7974111681151,0,11.5308787685764
1,,dynamic_refslew,40,10,0.1,10,2.5,20,0.99951236273925,1.00419623534961,0.994253664767622,4.19623534961322,5.74633523237844,1.01000000000002,10.676,2.96200000000349,1.09400000000346,1,-0.54830282670304,2.43153811586669,2.49658633721908,2.57618015823803,2.52576163812702,10.0300662494508,0.0300662494508188,0.144642042371341,-0.00365742531034452,573.588235294118,83.5119725209874,0,9.96487750950123
1,,dynamic_refslew,40,10,0.1,10,2.5,40,0.99951236273925,1.00419623534961,0.99498971363329,4.19623534961322,5.01028636671008,1.01000000000002,17.534,2.9080000000035,1.03199999999999,1,-0.54894246574877,2.37466604348003,2.45483291477991,2.69493044113661,2.4994972774893,10.0239266768859,0.0239266768858588,0.320264397656583,0.0288165730868561,576.666666666458,91.29556151628,0,9.38514006278445
