policy_family,n_cases,mean_switching_regret,max_switching_regret,mean_selected_objective,mean_undershoot_mV,mean_settle_time_us,mean_skip,mean_phase_std_ns,best_context_count,zero_regret_context_count
guarded_candidate,3,0.041296660098300464,0.12388998029490139,12.853558172593802,6.559081778744594,17.654000000000067,1.3333333333333333,93.21786737252064,2,2
fixed_probe,3,0.10462728405734723,0.20451133467336113,9.56777460217468,4.342517670525403,19.700666666666702,1.0,84.22866395185673,1,1
heldout_probe,6,0.17957058447084565,0.5531616276998008,18.393537042245658,9.785311730525343,19.590333333333383,2.1666666666666665,94.63131284829143,2,2
dense_anchor,6,0.2418999632759761,0.6609377574727304,14.917735399816593,7.780327734741178,19.2506666666667,1.6666666666666667,96.16715145495101,1,1
old_proxy_failure_probe,3,0.805905416847534,1.235564789576511,10.269052734964866,4.326589617393736,29.887333333333363,1.0,94.15584616010456,0,0
