t_s,vout_V,iL_A,iload_A,vc_V,on,area_acc
0.0,1.0,10.10985,10.0,0.0088375,1.0,0.0
1.0000000000000001e-07,1.00015558237428,15.600224224484244,10.0,0.00882554018010233,1.0,0.0
2.0000000000000002e-07,1.0006020709373458,19.286519319205325,10.0,0.008790150572383214,0.0,-2.6654122400696827e-11
3.0000000000000004e-07,1.0011039767499983,18.771818397377338,10.0,0.008749931096270466,0.0,-1.0142444078062247e-10
4.0000000000000003e-07,1.0015772918676087,18.257259502074692,10.0,0.00871198669096758,0.0,-1.5436905333353483e-10
5.000000000000001e-07,1.0020220245666616,17.742856814917424,10.0,0.008676317410283992,0.0,-1.8526789854487205e-10
6.000000000000001e-07,1.002438183911106,17.228624502563612,10.0,0.008642923244814136,0.0,-1.9390162145950555e-10
7.000000000000001e-07,1.0028257797515119,16.714576716327247,10.0,0.008611804121985213,0.0,-1.8005157924336494e-10
8.000000000000001e-07,1.0031848227242044,16.200727591796753,10.0,0.00858295990610664,0.0,-1.4349984672109263e-10
9.000000000000001e-07,1.003515324250384,15.687091248454246,10.0,0.008556390398420885,0.0,-8.402922188964001e-11
1.0000000000000002e-06,1.0038172965352221,15.173681789295575,10.0,0.008532095337156187,0.0,-1.4232314076537501e-12
1.1e-06,1.0040907525669283,14.66051330045103,10.0,0.008510074397581417,0.0,1.0453386393948744e-10
1.2000000000000002e-06,1.0043357061158087,14.147599850806854,10.0,0.008490327192061992,0.0,2.340570637991329e-10
1.3e-06,1.0045521717332984,13.634955491627542,10.0,0.008472853270117564,0.0,3.873606228353984e-10
1.4000000000000001e-06,1.004740164750968,13.122594256178802,10.0,0.008457652118482007,0.0,5.646580453379636e-10
1.5e-06,1.0048997012795158,12.610530159351432,10.0,0.008444723161164545,0.0,7.661620798557553e-10
1.6000000000000001e-06,1.0050307982077367,12.098777197285884,10.0,0.008434065759512641,0.0,9.920847138556229e-10
1.7e-06,1.00513347320147,11.58734934699771,10.0,0.008425679212276833,0.0,1.242637168406155e-09
1.8000000000000001e-06,1.0052077447025278,11.076260566003754,10.0,0.008419562755676931,0.0,1.5180298928867457e-09
1.9e-06,1.005253631927598,10.565524791949196,10.0,0.008415715563470337,0.0,1.818472559722081e-09
2.0000000000000003e-06,1.0052711548671363,10.055155942235455,10.0,0.008414136747021387,0.0,2.1441740591421177e-09
2.1000000000000002e-06,1.0052603342842237,9.545167913648877,10.0,0.008414825355373268,0.0,2.4953424939677136e-09
2.2e-06,1.005221191713419,9.035574581990295,10.0,0.008417780375320634,0.0,2.87218517442205e-09
2.3e-06,1.0051537494595777,8.526389801705482,10.0,0.008423000731484633,0.0,3.2749086129679096e-09
