"target_load_A","ref_slew_us","undershoot_mV","final_vout_error_mV","skip_count_est","settle_time_us","final_phase_spacing_std_ns","tradeoff_score","score_settle005","score_settle010"
"0.001","20","12.6631113910947","-0.583366113840356","2","22.272","122.687426191699","19.700226028769","20.813826028769","21.927426028769"
"0.001","30","11.5919004786901","-0.560538190342741","2","14.796","107.601256046834","18.3044637899695","19.0442637899695","19.7840637899695"
"0.001","40","10.8973455449204","-0.569288775414734","2","21.8220000000001","110.846160114824","17.6835575226316","18.7746575226316","19.8657575226316"
"0.001","50","10.5724213755286","-0.576715565457575","2","27.03","107.871170356059","17.3065603481074","18.6580603481074","20.0095603481074"
"0.001","60","10.4520288239951","-0.543378455996946","2","35.33","90.2632695423331","16.8006726708387","18.5671726708387","20.3336726708387"
"0.001","80","10.1510195226028","-0.584402077264512","2","47.812","123.524411768886","17.205909835245","19.596509835245","21.987109835245"
"0.001","100","10.2483240192142","-0.553843695309086","2","59.0160000000001","102.831700280812","16.8588017201395","19.8096017201395","22.7604017201395"
"0.001","120","9.89225790458803","-0.574122594113269","2","71.408","118.430103411982","16.8349825669409","20.4053825669409","23.9757825669409"
"10","20","5.74633523237844","-0.54830282670304","1","10.676","83.5119725209874","9.96487750950123","10.4986775095012","11.0324775095012"
"10","30","5.25500364116427","-0.570905468897598","1","10.186","108.860001837568","10.0031091468132","10.5124091468132","11.0217091468132"
"10","40","5.01028636671008","-0.54894246574877","1","17.534","91.29556151628","9.38514006278445","10.2618400627844","11.1385400627845"
"10","50","4.84748739227403","-0.538008058053707","1","20.5380000000001","79.7841311007952","8.98117807234364","10.0080780723436","11.0349780723436"
"10","60","4.76620200153932","-0.574047025575397","1","29.034","105.137663265574","9.44300229242621","10.8947022924262","12.3464022924262"
"10","80","4.63087064829415","-0.550516960481362","1","34.286","82.1829076099372","8.82504576097426","10.5393457609743","12.2536457609743"
"10","100","4.57679637764241","-0.574748610088882","1","45.676","101.157860079421","9.17470218931971","11.4585021893197","13.7423021893197"
"10","120","4.53410803498733","-0.563962023550801","1","53.222","90.7097302281097","8.91226466310032","11.5733646631003","14.2344646631003"
"20","20","1.43399904411767","-0.434811266497692","1","0.938000000000024","31.9413877640801","4.50763806589697","4.55453806589697","4.60143806589697"
"20","30","1.26719882798709","-0.436764941712187","0","0.938000000000024","37.0921617490197","2.44580700467967","2.49270700467967","2.53960700467967"
"20","40","1.19940112760242","-0.43379596481008","0","0.938000000000024","43.3359485758766","2.49991606393003","2.54681606393003","2.59371606393003"
"20","50","1.16345388449934","-0.432349776644747","1","0.938000000000024","36.4937986024832","4.32567963319376","4.37257963319376","4.41947963319376"
"20","60","1.12582319014076","-0.437496606727428","1","10.062","36.9127241807925","4.30157428048404","4.80467428048404","5.30777428048404"
"20","80","1.0943598016524","-0.435550987461508","0","14.41","37.1400221295455","2.27271123170482","2.99321123170482","3.71371123170482"
"20","100","1.07689752922169","-0.45566298416666","0","16.556","53.2237613167088","2.59703573972252","3.42483573972252","4.25263573972252"
"20","120","1.05841728359568","-0.438165390661327","1","19.2260000000001","43.2618953778815","4.36182058181464","5.32312058181464","6.28442058181465"
