t_s,vout_V,iL_A,iload_A,vc_V,on,area_acc
1.56e-05,1.0019273103788806,13.099992762167203,10.0,0.008670899705295092,0.0,4.962922205539951e-10
1.5700000000000002e-05,1.0020856300124819,12.589351822039944,10.0,0.008658138562507899,0.0,7.202248301811663e-10
1.58e-05,1.0022155890971838,12.079021538559028,10.0,0.008647642680683576,0.0,9.685213534280996e-10
1.59e-05,1.0023172052711973,11.569015849593914,10.0,0.008639411358803488,0.0,1.241392406768462e-09
1.6000000000000003e-05,1.0023904969465316,11.059348673559088,10.0,0.00863344383349296,0.0,1.539047836974962e-09
1.6100000000000002e-05,1.002435483307904,10.55003390904212,10.0,0.00862973927908912,0.0,1.8616967158690629e-09
1.62e-05,1.0024521843116276,10.041085434432585,10.0,0.008628296807710614,0.0,2.2095473350961344e-09
1.63e-05,1.0024406206844791,9.532517107551842,10.0,0.008629115469328756,0.0,2.5828072009262016e-09
1.6400000000000002e-05,1.002400813922545,9.024342765283622,10.0,0.008632194251840645,0.0,2.9816830290803853e-09
1.65e-05,1.002332786290049,8.516576223205531,10.0,0.008637532081143758,0.0,3.406380739583193e-09
1.66e-05,1.0022365608181578,8.009231275221369,10.0,0.008645127821212103,0.0,3.857105451640733e-09
1.67e-05,1.0021121613037702,7.502321693194328,10.0,0.008654980274174058,0.0,4.33406147854502e-09
1.6800000000000002e-05,1.0019596123082803,6.995861226581133,10.0,0.008667088180392102,0.0,4.837452322604441e-09
1.69e-05,1.0017789391563199,6.489863602067011,10.0,0.008681450218544266,0.0,5.367480670100591e-09
1.7e-05,1.0015701679344882,5.984342523201607,10.0,0.008698065005706674,0.0,5.9243483862715225e-09
1.7100000000000002e-05,1.0013333254900558,5.479311670035791,10.0,0.008716931097438171,0.0,6.508256510321533e-09
1.72e-05,1.0010824385176642,6.774595104431837,10.0,0.00873707634922444,1.0,0.0
1.73e-05,1.0010527831088873,12.266974207622315,10.0,0.008739910938452522,1.0,0.0
1.74e-05,1.0012740208474755,14.275911213198933,10.0,0.008722372346995959,0.0,8.776425040623066e-11
1.7500000000000002e-05,1.0014976538867393,13.764699183755859,10.0,0.008704401613132602,0.0,2.5779636245666634e-10
1.76e-05,1.0016928937729415,13.25376560232596,10.0,0.008688697113262566,0.0,4.517008211903107e-10
1.77e-05,1.0018597563560336,12.743124447660525,10.0,0.008675258290268622,0.0,6.696899571576377e-10
1.7800000000000002e-05,1.0019982582620606,12.232789679918426,10.0,0.00866408452453862,0.0,9.119753435260226e-10
1.79e-05,1.0021084168921175,11.722775240292409,10.0,0.008655175134029596,0.0,1.178767790772287e-09
1.8e-05,1.0021902504212854,11.213095050636184,10.0,0.008648529374333452,0.0,1.4702773414003983e-09
1.81e-05,1.002243777797545,10.70376301309236,10.0,0.00864414643874454,0.0,1.786713264684454e-09
1.8200000000000002e-05,1.002269018740675,10.194793009721156,10.0,0.008642025458328406,0.0,2.128284051437086e-09
1.83e-05,1.0022659937411234,9.686198902129995,10.0,0.008642165501992842,0.0,2.4951974088033704e-09
1.84e-05,1.002234724058865,9.177994531103911,10.0,0.00864456557655991,0.0,2.887660255080432e-09
1.8500000000000002e-05,1.0021752317222294,8.670193716236836,10.0,0.008649224626840502,0.0,3.3058787145627957e-09
1.86e-05,1.0020875395267173,8.162810255563729,10.0,0.008656141535709818,0.0,3.750058112413688e-09
1.87e-05,1.0019716710337916,7.655857925193602,10.0,0.008665315124184845,0.0,4.220402969562346e-09
1.88e-05,1.001827650569649,7.149350478943412,10.0,0.008676744151503457,0.0,4.7171169976274866e-09
1.8900000000000002e-05,1.0016555032239716,6.64330164797285,10.0,0.008690427315205215,0.0,5.2404030938670575e-09
1.9e-05,1.0014552548486606,6.137725140420039,10.0,0.0087063632512135,0.0,5.790463336154371e-09
1.91e-05,1.001226932056544,5.63263464103813,10.0,0.008724550533919859,0.0,6.3674989779807626e-09
1.9200000000000003e-05,1.0009709622180678,5.488038409526513,10.0,0.0087449770095363,1.0,0.0
1.93e-05,1.0008698595264016,10.981455296170608,10.0,0.008753531135837558,1.0,0.0
1.94e-05,1.0010557026085298,14.430975119203671,10.0,0.00873895742007143,0.0,5.03421421446579e-11
1.95e-05,1.0012879500774368,13.919753843523333,10.0,0.008720302883450501,0.0,2.1424490234017485e-10
1.9600000000000002e-05,1.0014918037625684,13.408806717300557,10.0,0.0087039144155444,0.0,4.01952187995876e-10
1.97e-05,1.0016672792751664,12.898147722883065,10.0,0.00868979147835167,0.0,6.136765289495279e-10
1.98e-05,1.0018143930027679,12.387790824142751,10.0,0.008677933471365806,0.0,8.496296993841857e-10
1.9900000000000003e-05,1.001933162108168,11.877749966101755,10.0,0.008668339731638748,0.0,1.1100227125138618e-09
2e-05,1.0020236045283646,11.368039074559364,10.0,0.008661009533845992,0.0,1.3950658152943217e-09
2.01e-05,1.0020857389734799,10.858672055719742,10.0,0.00865594209035346,0.0,1.704968483159095e-09
2.02e-05,1.0021195849256592,10.349662795820464,10.0,0.00865313655128623,0.0,2.0399394147808673e-09
2.0300000000000002e-05,1.002125162637955,9.841025160761868,10.0,0.00865259200459847,0.0,2.4001865268583633e-09
2.04e-05,1.0021024931331854,9.332772995737301,10.0,0.008654307476145545,0.0,2.785916948928855e-09
2.05e-05,1.0020515982027742,8.82492012486416,10.0,0.008658281929757447,0.0,3.197337018206385e-09
2.0600000000000003e-05,1.0019725004055686,8.317480350815858,10.0,0.00866451426731427,0.0,3.634652274445895e-09
2.0700000000000002e-05,1.0018652230666407,7.810467454454563,10.0,0.008673003328822775,0.0,4.098067454833334e-09
2.08e-05,1.0017297902760627,7.303895194464934,10.0,0.00868374789249524,0.0,4.587786488901852e-09
2.09e-05,1.0015662268876664,6.79777730698866,10.0,0.008696746674829569,0.0,5.104012493474279e-09
2.1000000000000002e-05,1.0013745585177802,6.292127505259934,10.0,0.008711998330691228,0.0,5.646947767631919e-09
2.11e-05,1.0011548115439486,5.786959479241846,10.0,0.008729501453396578,0.0,6.216793787709832e-09
2.12e-05,1.0009070131036262,5.282286895263672,10.0,0.008749254574798315,0.0,6.813751202318729e-09
2.1300000000000003e-05,1.000729972695497,9.4567776603435,10.0,0.008763758247850969,1.0,0.0
2.1400000000000002e-05,1.0008488768301262,14.58729094452666,10.0,0.008754693560973893,0.0,8.707385529633052e-12
2.15e-05,1.0010898080975048,14.07605372288874,10.0,0.008735349383331606,0.0,1.6633317072161007e-10
2.16e-05,1.0013023445773843,13.56508632259532,10.0,0.008718271137234158,0.0,3.47695413467775e-10
2.1700000000000002e-05,1.0014865016406576,13.054402729799575,10.0,0.008703458303936358,0.0,5.530068471839588e-10
2.18e-05,1.001642295434728,12.54401691229608,10.0,0.008690910302176797,0.0,7.824794513632014e-10
2.19e-05,1.0017697428824808,12.033942819146676,10.0,0.00868062648824062,0.0,1.036324446254412e-09
2.2000000000000003e-05,1.001868861681227,11.52419438030718,10.0,0.00867260615602469,0.0,1.3147522875661173e-09
2.2100000000000002e-05,1.0019396703016388,11.014785506254908,10.0,0.008666848537103334,0.0,1.6179726611954034e-09
2.22e-05,1.0019821879866542,10.505730087617001,10.0,0.0086633528007966,0.0,1.946194477982163e-09
2.23e-05,1.0019964347503616,9.997041994799593,10.0,0.008662118054240189,0.0,2.299625868488827e-09
2.2400000000000002e-05,1.0019824313768695,9.488735077617816,10.0,0.008663143342456575,0.0,2.6784741778056443e-09
2.25e-05,1.0019401994191535,8.98082316492663,10.0,0.008666427648428007,0.0,3.0829459603816787e-09
2.26e-05,1.001869761197878,8.47332006425255,10.0,0.008671969893171464,0.0,3.513246974881634e-09
2.2700000000000003e-05,1.0017711398002043,7.966239561426231,10.0,0.008679768935814843,0.0,3.969582179068609e-09
2.2800000000000002e-05,1.0016443590785726,7.459595420215916,10.0,0.008689823573675254,0.0,4.45215572471296e-09
2.29e-05,1.0014894436494708,6.95340138196177,10.0,0.008702132542338292,0.0,4.961170952527341e-09
2.3e-05,1.0013064188921736,6.447671165211133,10.0,0.008716694515739812,0.0,5.496830387128034e-09
2.3100000000000002e-05,1.0010953109474696,5.942418465354659,10.0,0.008733508106248695,0.0,6.059335732022753e-09
2.32e-05,1.000856146716364,5.437656954263376,10.0,0.008752571864751603,0.0,6.648887864624977e-09
2.33e-05,1.0006322819703963,8.05281188405287,10.0,0.008770684476889725,1.0,0.0
2.3400000000000003e-05,1.0006736183307283,13.544440281914339,10.0,0.008767850042099538,1.0,0.0
2.3500000000000002e-05,1.0009159510655212,14.23327300305435,10.0,0.00874851553150404,0.0,1.2277500561279173e-10
2.36e-05,1.0011372210685159,13.722272488925178,10.0,0.008730742840057962,0.0,2.975582762574411e-10
2.37e-05,1.0013301096970864,13.211551442432292,10.0,0.0087152354993366,0.0,4.962230520463649e-10
2.3800000000000003e-05,1.0014946328576486,12.701123835661551,10.0,0.008701992947409807,0.0,7.189815241395329e-10
2.39e-05,1.0016308072323425,12.191003622083253,10.0,0.008691014559880693,0.0,9.660451261677992e-10
2.4e-05,1.0017386502779828,11.681204736178644,10.0,0.008682299649950148,0.0,1.2376245289294379e-09
2.4100000000000003e-05,1.0018181802249984,11.17174109306721,10.0,0.008675847468482305,0.0,1.5339296351118353e-09
2.4200000000000002e-05,1.001869416076344,10.66262658813479,10.0,0.008671657204072243,0.0,1.8551695740384522e-09
2.43e-05,1.0018923776063957,10.153875096662544,10.0,0.00866972798311506,0.0,2.2015526964412003e-09
2.44e-05,1.0018870853598212,9.6455004734567,10.0,0.008670058869876847,0.0,2.5732865692583653e-09
2.4500000000000003e-05,1.0018535606504348,9.137516552479214,10.0,0.008672648866567104,0.0,2.9705779704581834e-09
2.46e-05,1.0017918255600298,8.629937146479213,10.0,0.008677496913412908,0.0,3.39363288388819e-09
2.47e-05,1.001701902937187,8.122776046625372,10.0,0.008684601888734917,0.0,3.842656494150504e-09
2.4800000000000003e-05,1.0015838163960682,7.6160470221391225,10.0,0.008693962609024787,0.0,4.317853181503115e-09
2.4900000000000002e-05,1.0014375903151849,7.1097638199287525,10.0,0.008705577829024485,0.0,4.819426516787369e-09
2.5e-05,1.0012632498361516,6.603940164224417,10.0,0.008719446241806952,0.0,5.347579256381686e-09
2.51e-05,1.001060820862414,6.0985897562140305,10.0,0.008735566478858625,0.0,5.902513337181681e-09
2.5200000000000003e-05,1.00083033005796,5.593726273680091,10.0,0.008753937110163703,0.0,6.484429871606823e-09
2.5300000000000002e-05,1.0005822042729704,6.649222597054406,10.0,0.008773852660481326,1.0,0.0
2.54e-05,1.0005455931213918,12.141947424851946,10.0,0.008777256330962869,1.0,0.0
2.5500000000000003e-05,1.000767226277947,14.391133415641509,10.0,0.008759720178022536,0.0,8.08802629591756e-11
2.5600000000000002e-05,1.0009972650672876,13.880086736831077,10.0,0.008741249590269706,0.0,2.48856497954192e-10
2.57e-05,1.00119891979913,13.369315178132565,10.0,0.008725044348313768,0.0,4.406468628175426e-10
