actuator,pattern,amplitude,amplitude_display,amplitude_unit,pattern_vector,avg_phase_current_A,phase_current_pkpk_mA,phase_current_rms_mA,mean_wait_phase_pkpk_ns,event_wait_pkpk_ns,event_wait_rms_ns,phase_period_pkpk_ns,avg_vout_event_V,vout_event_pkpk_mV,mean_wait_by_phase_ns,gain_current_pkpk_mA_per_norm_amp,gain_wait_phase_pkpk_ns_per_norm_amp,gain_event_wait_rms_ns_per_norm_amp
lambda_diff,m1_cos,5e-14,5e-14,area,1 9.184851e-17 -1 -1.530808e-16,9.999998 9.999997 10 10,0.006667515235037058,0.0026589663070023667,0.06628370207662893,0.06668327685093019,0.023440118719423426,0.06668327685098312,0.9999874219943552,4.8985704714787914e-05,0.03314021 -0.0003748722 -0.03314349 0.0003680837,0.013335030470074116,0.13256740415325785,0.04688023743884685
lambda_diff,m1_cos,1e-13,1e-13,area,1 9.184851e-17 -1 -1.530808e-16,9.999996 9.999993 10 10.00001,0.013335029807493015,0.0053179333673483405,0.13256740326834074,0.1333665588530383,0.046880237187217136,0.13336655885298535,0.9999874258451296,9.901027464565004e-05,0.06628187 -0.0007500708 -0.06628554 0.0007358411,0.013335029807493015,0.13256740326834074,0.046880237187217136
lambda_diff,m1_cos,2e-13,2e-13,area,1 9.184851e-17 -1 -1.530808e-16,9.999993 9.999987 10.00001 10.00001,0.026670058213440484,0.010635870136413043,0.26513480382800847,0.26673313779616287,0.09376047375208602,0.2667331377961099,0.9999874301671751,0.00020220419716387994,0.1325695 -0.001501451 -0.1325653 0.001470373,0.013335029106720242,0.13256740191400423,0.04688023687604301
lambda_diff,m1_cos,4e-13,4e-13,area,1 9.184851e-17 -1 -1.530808e-16,9.999986 9.999973 10.00001 10.00003,0.05334013868107945,0.021271761664348045,0.5302696037640193,0.5334663789724322,0.18752094831027313,0.5334663789724852,0.9999874252768061,0.00042108229458825974,0.265162 -0.003008144 -0.2651076 0.002935509,0.013335034670269863,0.13256740094100483,0.04688023707756828
lambda_diff,m1_cos,8e-13,8e-13,area,1 9.184851e-17 -1 -1.530808e-16,9.999971 9.999946 10.00003 10.00005,0.10668033936589438,0.04254360241963396,1.0605392421620967,1.0669333115757103,0.37504192426256533,1.0669333115756572,0.9999873613495094,0.0009088240300325623,0.5304161 -0.006037238 -0.5301232 0.005850078,0.013335042420736798,0.1325674052702621,0.046880240532820666
lambda_diff,m1_cos,1.6e-12,1.6e-12,area,1 9.184851e-17 -1 -1.530808e-16,9.999942 9.999892 10.00005 10.00011,0.21336093091406383,0.08508756249148539,2.121079006973576,2.1338699694578342,0.7500841484596247,2.1338699694577814,0.9999870169094269,0.0020842875129156724,1.061201 -0.01215825 -1.059878 0.01161641,0.01333505818212899,0.1325674379358485,0.04688025927872654
lambda_diff,m2_alt,5e-14,5e-14,area,1 -1 1 -1,9.999997 10 9.999997 10,0.004979006611449677,0.002479285960226595,0.06612157177365835,0.06665924436601786,0.03306223411801023,0.06665924436601786,0.999987421450716,2.707582347216686e-05,0.03305905 -0.03306252 0.03305715 -0.03306077,0.009958013222899353,0.1322431435473167,0.06612446823602046
lambda_diff,m2_alt,1e-13,1e-13,area,1 -1 1 -1,9.999995 10 9.999995 10,0.009958003154508788,0.004958570805000781,0.13224314255110997,0.1333184891354881,0.06612446779614682,0.13331848913554106,0.9999874236779245,5.6241969526027447e-05,0.06611919 -0.06612395 0.06611538 -0.06612046,0.009958003154508788,0.13224314255110997,0.06612446779614682
lambda_diff,m2_alt,2e-13,2e-13,area,1 -1 1 -1,9.99999 10.00001 9.99999 10.00001,0.01991599419426393,0.009917140265456576,0.2644862821098787,0.2666369787995777,0.1322489331377912,0.26663697879963066,0.9999874215045251,0.00012084522305055856,0.1322427 -0.1322435 0.1322351 -0.1322366,0.009957997097131965,0.13224314105493934,0.0661244665688956
lambda_diff,m2_alt,4e-13,4e-13,area,1 -1 1 -1,9.99998 10.00002 9.99998 10.00002,0.039831909342424865,0.019834277283594638,0.5289725422732354,0.5332739595928063,0.2644978534706938,0.5332739595928593,0.9999873906464334,0.0002751354801766581,0.2645029 -0.2644696 0.2644876 -0.2644557,0.009957977335606216,0.13224313556830886,0.06612446336767346
lambda_diff,m2_alt,8e-13,8e-13,area,1 -1 1 -1,9.999959 10.00004 9.999959 10.00004,0.07966348240806553,0.039668520828907594,1.057944958087605,1.0665479401370255,0.5289956359438377,1.0665479401370785,0.9999872228852785,0.000684050763255506,0.5290755 -0.5288695 0.5290449 -0.5288416,0.009957935301008192,0.13224311976095063,0.06612445449297971
lambda_diff,m2_alt,1.6e-12,1.6e-12,area,1 -1 1 -1,9.999918 10.00008 9.999918 10.00008,0.15932541850105508,0.07933680625357206,2.1158890682835914,2.133096032176175,1.0579908225239114,2.133096032176175,0.9999864631848886,0.0019032178085742757,1.058429 -1.05746 1.058368 -1.057404,0.009957838656315943,0.13224306676772446,0.06612442640774446
lambda_diff,one_phase,5e-14,5e-14,area,1 -0.3333333 -0.3333333 -0.3333333,9.999998 9.999999 10 10,0.005048969681453741,0.001961034958232061,0.04438410336175441,0.04517579479951998,0.019122719263993653,0.04517579479957293,0.9999874221819445,3.866403552876818e-05,0.03311327 -0.01127083 -0.01107728 -0.01077496,0.010097939362907482,0.08876820672350882,0.038245438527987306
lambda_diff,one_phase,1e-13,1e-13,area,1 -0.3333333 -0.3333333 -0.3333333,9.999996 9.999997 10 10.00001,0.010098434021443836,0.003922235311317905,0.0887697584170892,0.09035337723555244,0.03824611450865052,0.0903533772354995,0.9999874266088981,7.804298496338902e-05,0.06622807 -0.02254169 -0.02215458 -0.02154995,0.010098434021443836,0.0887697584170892,0.03824611450865052
