target_label,objective,n_contexts,proxy_win_count,dense_win_count,tie_count,mean_proxy_minus_dense_score,max_abs_proxy_minus_dense_score,mean_dense_regret,mean_proxy_regret,ranking_preserved_count
10A,score_settle010,5,3,2,0,0.009299498631224168,0.6917584474484197,0.1606739468999397,0.16997344553116384,3
20A,base,5,2,3,0,0.08244248120835596,0.27942019908592997,0.040195882943890024,0.12263836415224598,2
20A,score_settle005,5,2,3,0,1.0734743661216881,2.79295188584671,0.356528173906734,1.430002540028422,2
