area_bits,detect_clock_ns,ton_resolution_ps,sigma_common_wait_ns_rss,sigma_phase_spacing_ns_rss,sigma_current_mA_rss
10,0.5,5,0.19386268718717983,1.3259061179891525,11.042896364767044
10,0.5,10,0.19386268718717983,2.4971760592308607,22.085716244705456
10,0.5,20,0.19386268718717983,4.9139936120323355,44.17139424691382
10,0.5,50,0.19386268718717983,12.228141635472921,110.42845884752175
10,1.0,5,0.31635856473854845,1.372234321725362,11.043049333099967
10,1.0,10,0.31635856473854845,2.522080147575761,22.085792729534088
10,1.0,20,0.31635856473854845,4.926695973884993,44.17143248941091
10,1.0,50,0.31635856473854845,12.23325172867731,110.42847414452986
10,2.0,5,0.5916779034943205,1.5437056175712598,11.043661185243655
10,2.0,10,0.5916779034943205,2.6193297369357245,22.086098666199934
10,2.0,20,0.5916779034943205,4.977181252385189,44.171585459068176
10,2.0,50,0.5916779034943205,12.25367079112159,110.4285353325411
10,5.0,5,1.4491662228617652,2.4254952141204207,11.047943201460669
10,5.0,10,1.4491662228617652,3.2188333710827237,22.08824010421297
10,5.0,20,1.4491662228617652,5.317173423830992,44.172656231836534
10,5.0,50,1.4491662228617652,12.395662461409087,110.42896364767044
12,0.5,5,0.14791947587358012,1.2442953130962973,11.042896364767044
12,0.5,10,0.14791947587358012,2.4548181324220577,22.085716244705456
12,0.5,20,0.14791947587358012,4.892604317903396,44.17139424691382
12,0.5,50,0.14791947587358012,12.219561843603833,110.42845884752175
12,1.0,5,0.29048265239548243,1.2935496999317082,11.043049333099967
12,1.0,10,0.29048265239548243,2.4801475890091944,22.085792729534088
12,1.0,20,0.29048265239548243,4.905362067326625,44.17143248941091
12,1.0,50,0.29048265239548243,12.224675523287262,110.42847414452986
12,2.0,5,0.5782561468265727,1.4742017589846421,11.043661185243655
12,2.0,10,0.5782561468265727,2.5789788799577478,22.086098666199934
12,2.0,20,0.5782561468265727,4.956064669833006,44.171585459068176
12,2.0,50,0.5782561468265727,12.245108886802873,110.4285353325411
12,5.0,5,1.4437382627549618,2.38186288988124,11.047943201460669
12,5.0,10,1.4437382627549618,3.1860841268347135,22.08824010421297
12,5.0,20,1.4437382627549618,5.297412293900385,44.172656231836534
12,5.0,50,1.4437382627549618,12.387198700661047,110.42896364767044
14,0.5,5,0.14456403670664317,1.2390161674582516,11.042896364767044
14,0.5,10,0.14456403670664317,2.4521464679536664,22.085716244705456
14,0.5,20,0.14456403670664317,4.891264381384068,44.17139424691382
14,0.5,50,0.14456403670664317,12.219025406581666,110.42845884752175
14,1.0,5,0.2887884358988768,1.2884723758090175,11.043049333099967
14,1.0,10,0.2887884358988768,2.4775032392103227,22.085792729534088
14,1.0,20,0.2887884358988768,4.904025616633387,44.17143248941091
14,1.0,50,0.2887884358988768,12.224139310670845,110.42847414452986
14,2.0,5,0.5774069281788362,1.4697486394696662,11.043661185243655
14,2.0,10,0.5774069281788362,2.5764359686003533,22.086098666199934
14,2.0,20,0.5774069281788362,4.954741895255137,44.171585459068176
14,2.0,50,0.5774069281788362,12.244573569001423,110.4285353325411
14,5.0,5,1.4433983375038646,2.379109300394359,11.047943201460669
14,5.0,10,1.4433983375038646,3.184026114889393,22.08824010421297
14,5.0,20,1.4433983375038646,5.2961747751180255,44.172656231836534
14,5.0,50,1.4433983375038646,12.386669523592218,110.42896364767044
16,0.5,5,0.14435173204470905,1.2386854738137842,11.042896364767044
16,0.5,10,0.14435173204470905,2.4519793922690267,22.085716244705456
16,0.5,20,0.14435173204470905,4.891180623163574,44.17139424691382
16,0.5,50,0.14435173204470905,12.218991878485827,110.42845884752175
16,1.0,5,0.2886822172290969,1.2881543785731893,11.043049333099967
16,1.0,10,0.2886822172290969,2.477337873628058,22.085792729534088
16,1.0,20,0.2886822172290969,4.903942076371907,44.17143248941091
16,1.0,50,0.2886822172290969,12.224105796601345,110.42847414452986
16,2.0,5,0.57735381053935,1.4694698714289038,11.043661185243655
16,2.0,10,0.57735381053935,2.5762769533014085,22.086098666199934
16,2.0,20,0.57735381053935,4.954659210118372,44.171585459068176
16,2.0,50,0.57735381053935,12.244540110861763,110.4285353325411
16,5.0,5,1.4433770895176037,2.378937095224941,11.047943201460669
16,5.0,10,1.4433770895176037,3.1838974449740034,22.08824010421297
16,5.0,20,1.4433770895176037,5.296097420592904,44.172656231836534
16,5.0,50,1.4433770895176037,12.386636449274782,110.42896364767044
