target_label,objective,tau_ai_us,proxy_minus_dense_score,proxy_regret,dense_regret
10A,score_settle005,0.0,0.3550054799489999,0.3550054799489999,0.0
10A,score_settle005,0.5,0.1909108814084597,0.1909108814084597,0.0
10A,score_settle005,1.0,0.6068066772335001,0.6068066772335001,0.0
10A,score_settle005,2.0,0.912298712558341,1.0012697058709001,0.08897099331255909
near0A,score_settle010,0.0,0.0,0.11086731569420039,0.11086731569420039
near0A,score_settle010,0.5,0.0,0.0,0.0
near0A,score_settle010,1.0,0.0,0.0,0.0
near0A,score_settle010,2.0,0.0,0.0,0.0
