case,rho,detection_delay_ns,sigma_area,v_min_after_mV,v_max_after_mV,v_pp_high_mV,v_mean_pre_V,v_mean_high_V,v_mean_post_V,period_mean_us,period_std_ns,pre_period_mean_us,pre_period_std_ns,high_period_mean_us,high_period_std_ns,post_period_mean_us,post_period_std_ns,duty_mean,duty_std,event_count
nominal,0.0,0.0,0.0,-28.43493831774535,17.313550850827532,16.36142127062856,1.0006029274385397,0.9804916371720738,1.014401960018007,2.0350592105263154,30.839084384795715,2.0322758620689654,0.6896551724143707,2.0554318181818183,6.0674156819724905,2.0082318840579716,3.149165647657495,0.08359122992062878,0.0011187748657235457,392
rho_plus_2pct,0.02,0.0,0.0,-28.825008630265604,17.153200695908755,16.578624251927575,1.0000912619271374,0.9802254681130576,1.0142590456471547,2.035546052631579,30.91612992729589,2.033310344827586,0.9506240518687482,2.0559090909090916,6.141580274202159,2.0084927536231887,3.109700523378745,0.08356567561896375,0.0011215863353956149,392
rho_minus_2pct,-0.02,0.0,0.0,-28.043021389470233,17.485930501760507,16.122813872162855,1.0010937149337151,0.9807565233471297,1.014545213179388,2.03458552631579,30.740198283557845,2.0313103448275864,0.9506240518662394,2.054954545454545,5.99224705710544,2.0080285714285715,3.2512477981365393,0.08361637023489547,0.001115534993063036,392
delay_40ns,0.0,40.0,0.0,-29.12538632118189,17.006257960839655,16.749828775703634,0.9996932240498008,0.980026140571268,1.0141229929994406,2.035934210526316,30.947678905531507,2.0341379310344827,0.5067909812632894,2.0563908045977017,6.1464059619556375,2.00872463768116,3.101584718706421,0.08354533773800311,0.0011225867370166427,392
area_noise,0.0,0.0,8e-12,-28.42516960798813,17.306299164861592,16.337648673344198,1.0005984864650677,0.9804895929749068,1.014401408282769,2.035065789473684,30.87574227802168,2.0324137931034483,1.9211570037512966,2.055431818181818,6.395658070031936,2.0082318840579716,3.57991550193866,0.0835912919939496,0.0011210887809430777,392
noise_delay,0.0,40.0,8e-12,-29.115199516479784,17.000332631679438,16.7287150799158,0.9997018105108052,0.9800229641627175,1.0141235001822495,2.035934210526316,31.020297059182095,2.034206896551724,1.9186796887232231,2.0563908045977013,6.438669673830396,2.00872463768116,3.505209613411257,0.0835454321524095,0.0011261076025359832,392
