case,tau_ai_us,delay_events,update_us,update_events,policy,reward_mean,reward_std,max_abs_v_mV_p95,max_abs_phase_ns_p95,max_abs_i_mA_p95,violations_mean,violation_rate,skip_events_mean,projected_mean,settle_us_median,control_energy_mean,tail_state_cost_mean,tail_abs_phase_ns_mean,tail_abs_i_mA_mean,final_abs_phase_ns_mean,final_abs_i_mA_mean,baseline_reward_mean,baseline_violations_mean,baseline_phase_p95,reward_delta_vs_zero_delay,violation_delta_vs_zero_delay,phase_p95_delta_vs_zero_delay_ns
40A_to_10A,0.0,0,2.0,4,delay_aware,-28.266519849030804,2.5218177915566895,6.190649814879259,112.45733466610818,470.28397296202445,0.0,0.0,0.0,0.0,12.0,810.136623035122,0.06195377459984378,4.780763932874038,23.593611931984277,0.3750761688443647,3.0560985144387485,-28.266519849030804,0.0,112.45733466610818,0.0,0.0,0.0
40A_to_10A,0.0,0,2.0,4,delay_aware_projected,-28.266519849030804,2.5218177915566895,6.190649814879259,112.45733466610818,470.28397296202445,0.0,0.0,0.0,0.0,12.0,810.136623035122,0.06195377459984378,4.780763932874038,23.593611931984277,0.3750761688443647,3.0560985144387485,-28.266519849030804,0.0,112.45733466610818,0.0,0.0,0.0
40A_to_10A,0.0,0,2.0,4,no_ai,-62.62409995884354,6.803171002326622,7.448408614687718,112.45733466610818,367.67474689052244,0.0,0.0,0.046875,0.0,46.5,0.0,0.22915642099940453,10.269328285197403,12.349330526536967,0.5995956266753868,3.5555665952731097,-28.266519849030804,0.0,112.45733466610818,-34.35758010981273,0.0,0.0
40A_to_10A,0.0,0,2.0,4,zero_delay_trained,-28.266519849030804,2.5218177915566895,6.190649814879259,112.45733466610818,470.28397296202445,0.0,0.0,0.0,0.0,12.0,810.136623035122,0.06195377459984378,4.780763932874038,23.593611931984277,0.3750761688443647,3.0560985144387485,-28.266519849030804,0.0,112.45733466610818,0.0,0.0,0.0
40A_to_10A,0.0,0,5.0,10,delay_aware,-694.07003751643,2.4565814082455324,6.190649814879259,112.45733466610818,1358.6617344045856,27.765625,1.0,0.0,0.0,7.0,5457.894009691996,1.7455056894590033,10.559710735272278,507.9490983603028,2.8847204039260896,988.8199690818673,-694.07003751643,27.765625,112.45733466610818,0.0,0.0,0.0
40A_to_10A,0.0,0,5.0,10,delay_aware_projected,-721.0071659779013,3.1557181253998707,6.190649814879259,112.45733466610818,1358.6617344045856,32.59375,1.0,0.0,1.0,17.0,5499.215543352042,1.899045444369999,11.049386369052602,528.3103442033089,3.0330326105919805,990.7336310009777,-694.07003751643,27.765625,112.45733466610818,-26.937128461471275,4.828125,0.0
40A_to_10A,0.0,0,5.0,10,no_ai,-62.62409995884354,6.803171002326622,7.448408614687718,112.45733466610818,367.67474689052244,0.0,0.0,0.046875,0.0,46.5,0.0,0.190205913821803,8.37582685861646,8.497265004673904,0.5995956266753868,3.5555665952731097,-694.07003751643,27.765625,112.45733466610818,631.4459375575865,-27.765625,0.0
40A_to_10A,0.0,0,5.0,10,zero_delay_trained,-694.07003751643,2.4565814082455324,6.190649814879259,112.45733466610818,1358.6617344045856,27.765625,1.0,0.0,0.0,7.0,5457.894009691996,1.7455056894590033,10.559710735272278,507.9490983603028,2.8847204039260896,988.8199690818673,-694.07003751643,27.765625,112.45733466610818,0.0,0.0,0.0
40A_to_10A,0.0,0,10.0,20,delay_aware,-2038.6601172273065,11.654478163230765,14.663054931957296,113.82442334560648,2244.290232435412,130.234375,1.0,3.625,0.0,,19438.764580389627,6.863824017702277,40.52008748211848,947.3636199078863,34.18278857535592,1821.0037162802262,-2038.6601172273065,130.234375,113.82442334560648,0.0,0.0,0.0
40A_to_10A,0.0,0,10.0,20,delay_aware_projected,-2532.9192200958346,44.716473391654326,22.056877061817747,188.61564688748868,2244.290232435412,148.953125,1.0,29.09375,8.0,,13725.388670605216,9.882918380839769,104.34173275123419,771.7212928502734,62.406091597693894,49.903801364209016,-2038.6601172273065,130.234375,113.82442334560648,-494.2591028685281,18.71875,74.7912235418822
40A_to_10A,0.0,0,10.0,20,no_ai,-62.62409995884354,6.803171002326622,7.448408614687718,112.45733466610818,367.67474689052244,0.0,0.0,0.046875,0.0,46.5,0.0,0.1382347056044609,5.8093669675413055,5.3243207492582885,0.5995956266753868,3.5555665952731097,-2038.6601172273065,130.234375,113.82442334560648,1976.036017268463,-130.234375,-1.3670886794982948
40A_to_10A,0.0,0,10.0,20,zero_delay_trained,-2038.6601172273065,11.654478163230765,14.663054931957296,113.82442334560648,2244.290232435412,130.234375,1.0,3.625,0.0,,19438.764580389627,6.863824017702277,40.52008748211848,947.3636199078863,34.18278857535592,1821.0037162802262,-2038.6601172273065,130.234375,113.82442334560648,0.0,0.0,0.0
40A_to_10A,0.0,0,20.0,40,delay_aware,-5686.192189449312,22.122689648660767,38.926033482797294,320.5904927762506,2428.0728088799306,228.765625,1.0,32.0,0.0,,108764.63503698651,20.402277508705232,143.10887299360044,1352.7134113662166,228.1662757693723,1989.853958190749,-5686.192189449312,228.765625,320.5904927762506,0.0,0.0,0.0
40A_to_10A,0.0,0,20.0,40,delay_aware_projected,-4847.497982083486,88.93705775851237,41.9111393495728,323.38484877625064,2428.0728088799306,163.28125,1.0,34.0,3.0,,19190.929512594827,17.88913438384046,126.7694618419942,763.8325544285351,305.92381302783576,2049.5488656374578,-5686.192189449312,228.765625,320.5904927762506,838.6942073658256,-65.484375,2.7943560000000502
40A_to_10A,0.0,0,20.0,40,no_ai,-62.62409995884354,6.803171002326622,7.448408614687718,112.45733466610818,367.67474689052244,0.0,0.0,0.046875,0.0,46.5,0.0,0.06971196929604553,2.604175215452138,4.371047574547668,0.5995956266753868,3.5555665952731097,-5686.192189449312,228.765625,320.5904927762506,5623.568089490468,-228.765625,-208.1331581101424
40A_to_10A,0.0,0,20.0,40,zero_delay_trained,-5686.192189449312,22.122689648660767,38.926033482797294,320.5904927762506,2428.0728088799306,228.765625,1.0,32.0,0.0,,108764.63503698651,20.402277508705232,143.10887299360044,1352.7134113662166,228.1662757693723,1989.853958190749,-5686.192189449312,228.765625,320.5904927762506,0.0,0.0,0.0
40A_to_10A,0.5,1,2.0,4,delay_aware,-31.074778028327717,2.68575736811551,6.181517784550554,112.45733466610818,515.3488989996007,0.0,0.0,0.0,0.0,13.0,857.7972515977465,0.06239661556289317,4.663303041263869,23.892862809842626,0.3821592564295182,2.8799053462845063,-31.923929723033975,0.0,112.45733466610818,0.8491516947062578,0.0,0.0
40A_to_10A,0.5,1,2.0,4,delay_aware_projected,-31.074778028327717,2.68575736811551,6.181517784550554,112.45733466610818,515.3488989996007,0.0,0.0,0.0,0.0,13.0,857.7972515977465,0.06239661556289317,4.663303041263869,23.892862809842626,0.3821592564295182,2.8799053462845063,-31.923929723033975,0.0,112.45733466610818,0.8491516947062578,0.0,0.0
40A_to_10A,0.5,1,2.0,4,no_ai,-62.62409995884354,6.803171002326622,7.448408614687718,112.45733466610818,367.67474689052244,0.0,0.0,0.046875,0.0,46.5,0.0,0.22212354479917776,9.934892652481414,11.566959683435572,0.5995956266753868,3.5555665952731097,-31.923929723033975,0.0,112.45733466610818,-30.700170235809562,0.0,0.0
40A_to_10A,0.5,1,2.0,4,zero_delay_trained,-31.923929723033975,2.804251804804885,6.181517784550554,112.45733466610818,515.3467491529252,0.0,0.0,0.0,0.0,12.5,832.8663970824374,0.06584666617977841,4.467426803064655,25.15889375739206,0.37617612495012887,3.416407800637327,-31.923929723033975,0.0,112.45733466610818,0.0,0.0,0.0
40A_to_10A,0.5,1,5.0,10,delay_aware,-693.7560613882756,2.8320407861012153,6.181517784550554,112.45733466610818,1391.2990290264543,27.0,1.0,0.0,0.0,8.0,5549.131220006686,1.7359710369105663,10.465278590641626,506.1278503256833,2.4413222234963152,841.6723631551575,-692.4699693828401,27.0,112.45733466610818,-1.2860920054355347,0.0,0.0
40A_to_10A,0.5,1,5.0,10,delay_aware_projected,-722.4306799173559,3.467683043285049,6.181517784550554,112.45733466610818,1391.2990290264543,32.0625,1.0,0.0,1.0,17.5,5611.758995287748,1.897320463927003,11.158643371180942,527.1540941387815,2.2994531733317287,843.5960640414721,-692.4699693828401,27.0,112.45733466610818,-29.960710534515783,5.0625,0.0
40A_to_10A,0.5,1,5.0,10,no_ai,-62.62409995884354,6.803171002326622,7.448408614687718,112.45733466610818,367.67474689052244,0.0,0.0,0.046875,0.0,46.5,0.0,0.1843632819803768,8.086525535159302,8.02610443294136,0.5995956266753868,3.5555665952731097,-692.4699693828401,27.0,112.45733466610818,629.8458694239965,-27.0,0.0
40A_to_10A,0.5,1,5.0,10,zero_delay_trained,-692.4699693828401,2.42444003775781,6.181517784550554,112.45733466610818,1391.3164508383352,27.0,1.0,0.0,0.0,8.0,4906.1451761051685,1.7357630618433095,10.450026156989964,506.0930316570452,2.601826040038285,841.6535089543355,-692.4699693828401,27.0,112.45733466610818,0.0,0.0,0.0
40A_to_10A,0.5,1,10.0,20,delay_aware,-2037.98196934081,14.762251635318576,14.962162884170603,117.74120368258178,2262.887214095333,129.203125,1.0,3.859375,0.0,,20013.30040678796,6.851378805267502,40.87628445872726,942.4769219313164,24.413896590768434,1728.186601791564,-2029.6021244129536,129.078125,117.93444752441009,-8.379844927856539,0.125,-0.19324384182830556
40A_to_10A,0.5,1,10.0,20,delay_aware_projected,-2629.0489002637164,53.404631552886514,22.325022009309556,196.03634560078385,2262.887214095333,151.140625,1.0,29.734375,8.0,,14891.16616493777,10.298955559039133,107.51968047994478,786.1003733420075,67.86408997119992,56.07596479057548,-2029.6021244129536,129.078125,117.93444752441009,-599.4467758507628,22.0625,78.10189807637376
40A_to_10A,0.5,1,10.0,20,no_ai,-62.62409995884354,6.803171002326622,7.448408614687718,112.45733466610818,367.67474689052244,0.0,0.0,0.046875,0.0,46.5,0.0,0.13377261763582926,5.5919184268582836,5.1587946159489375,0.5995956266753868,3.5555665952731097,-2029.6021244129536,129.078125,117.93444752441009,1966.97802445411,-129.078125,-5.477112858301908
40A_to_10A,0.5,1,10.0,20,zero_delay_trained,-2029.6021244129536,12.005040147418411,14.911011322269177,117.93444752441009,2262.7354142300155,129.078125,1.0,3.875,0.0,,16158.229036082157,6.847830633705409,40.80497164452001,942.336218067819,23.84103599956891,1728.1818131668601,-2029.6021244129536,129.078125,117.93444752441009,0.0,0.0,0.0
40A_to_10A,0.5,1,20.0,40,delay_aware,-5698.35853793208,35.35216272617731,39.28874515598815,321.89267070381504,2441.0336204470905,227.890625,1.0,32.0,0.0,,113297.14452017989,20.440600267439233,142.91130108815835,1349.8392238297017,220.57275246101688,1981.8705350773903,-5666.404706885581,227.921875,322.07303653341216,-31.953831046499545,-0.03125,-0.18036582959712177
40A_to_10A,0.5,1,20.0,40,delay_aware_projected,-4853.360971349279,95.89951620302607,42.16654594627637,324.687026703815,2441.0336204470905,163.078125,1.0,34.0,3.0,,19697.478376922725,17.91965386305104,126.56870839464663,761.416423463233,306.19102547269966,2069.098228024419,-5666.404706885581,227.921875,322.07303653341216,813.0437355363019,-64.84375,2.613990170402815
40A_to_10A,0.5,1,20.0,40,no_ai,-62.62409995884354,6.803171002326622,7.448408614687718,112.45733466610818,367.67474689052244,0.0,0.0,0.046875,0.0,46.5,0.0,0.06727150630928773,2.4979761240170455,4.360265030009408,0.5995956266753868,3.5555665952731097,-5666.404706885581,227.921875,322.07303653341216,5603.780606926737,-227.921875,-209.61570186730398
40A_to_10A,0.5,1,20.0,40,zero_delay_trained,-5666.404706885581,21.80216560526212,39.1272821849542,322.07303653341216,2442.586298759501,227.921875,1.0,31.984375,0.0,,104334.99393984134,20.366101899359183,142.60496864119767,1350.2623107701454,220.54315420546814,1988.291192117807,-5666.404706885581,227.921875,322.07303653341216,0.0,0.0,0.0
40A_to_10A,1.0,2,2.0,4,delay_aware,-33.19351386750559,2.7648209449680445,6.225673313888507,112.45733466610818,545.7673908005277,0.0,0.0,0.046875,0.0,13.5,841.628411297664,0.06096477668303877,4.470448460364558,23.826958965277807,0.3918455598095041,2.8719326962629776,-40.591513761816806,0.0,112.45733466610818,7.397999894311219,0.0,0.0
40A_to_10A,1.0,2,2.0,4,delay_aware_projected,-33.19351386750559,2.7648209449680445,6.225673313888507,112.45733466610818,545.7673908005277,0.0,0.0,0.046875,0.0,13.5,841.628411297664,0.06096477668303877,4.470448460364558,23.826958965277807,0.3918455598095041,2.8719326962629776,-40.591513761816806,0.0,112.45733466610818,7.397999894311219,0.0,0.0
40A_to_10A,1.0,2,2.0,4,no_ai,-62.62409995884354,6.803171002326622,7.448408614687718,112.45733466610818,367.67474689052244,0.0,0.0,0.046875,0.0,46.5,0.0,0.21532347707240151,9.607871120386577,10.845175192110538,0.5995956266753868,3.5555665952731097,-40.591513761816806,0.0,112.45733466610818,-22.03258619702673,0.0,0.0
40A_to_10A,1.0,2,2.0,4,zero_delay_trained,-40.591513761816806,3.0591943948598885,6.22942804002021,112.45733466610818,688.5614447565044,0.0,0.0,0.046875,0.0,15.0,888.6950029049881,0.0822929918133865,4.097338030860388,31.266543661847663,0.3839357248382854,3.706520704626267,-40.591513761816806,0.0,112.45733466610818,0.0,0.0,0.0
40A_to_10A,1.0,2,5.0,10,delay_aware,-693.2565696428046,4.783530743899612,6.225673313888507,112.45733466610818,1410.2274814936259,26.9375,1.0,0.046875,0.0,8.5,5507.835190839253,1.731038276726588,10.398650761632556,504.7986859647839,7.008950268520136,684.922630975286,-637.8031540532052,22.75,112.45733466610818,-55.453415589599445,4.1875,0.0
40A_to_10A,1.0,2,5.0,10,delay_aware_projected,-734.923535346415,48.91093365339436,6.225673313888507,112.45733466610818,1410.2274814936259,34.78125,1.0,0.046875,1.515625,18.0,5624.384036549503,1.968011043915558,11.994450367320255,535.6805382489443,8.187758542177905,688.3367822589987,-637.8031540532052,22.75,112.45733466610818,-97.12038129320979,12.03125,0.0
40A_to_10A,1.0,2,5.0,10,no_ai,-62.62409995884354,6.803171002326622,7.448408614687718,112.45733466610818,367.67474689052244,0.0,0.0,0.046875,0.0,46.5,0.0,0.17867393267279705,7.804479252470738,7.595130661625996,0.5995956266753868,3.5555665952731097,-637.8031540532052,22.75,112.45733466610818,575.1790540943616,-22.75,0.0
40A_to_10A,1.0,2,5.0,10,zero_delay_trained,-637.8031540532052,15.918274713107047,6.22942804002021,112.45733466610818,1418.707770688125,22.75,1.0,0.046875,0.0,8.5,4354.906870828912,1.5802058348210624,9.855346506274765,479.95798430899447,7.274909958412131,684.918449819637,-637.8031540532052,22.75,112.45733466610818,0.0,0.0,0.0
40A_to_10A,1.0,2,10.0,20,delay_aware,-2032.4500141322223,22.637473299798717,14.901302604827505,120.45494846022662,2273.5796883720745,128.6875,1.0,3.921875,0.0,,20076.859548142012,6.837905400839765,41.19398972863654,939.1421729870588,14.830263993775713,1629.0388810210638,-2022.781712771567,128.625,120.97499656592078,-9.668301360655278,0.0625,-0.5200481056941584
