target_load_A,target_label,objective,ref_slew_us,interp_score,interp_undershoot_mV,interp_settle_time_us,interp_phase_spacing_std_ns,interp_skip_count_est
20.0,20A,base,20.0,4.50763806589697,1.43399904411767,0.938000000000024,31.9413877640801,1.0
20.0,20A,score_settle005,20.0,4.55453806589697,1.43399904411767,0.938000000000024,31.9413877640801,1.0
20.0,20A,score_settle010,20.0,4.60143806589697,1.43399904411767,0.938000000000024,31.9413877640801,1.0
20.0,20A,base,21.0,4.30145495977524,1.4173190225046122,0.938000000000024,32.45646516257406,0.9
20.0,20A,score_settle005,21.0,4.34835495977524,1.4173190225046122,0.938000000000024,32.45646516257406,0.9
20.0,20A,score_settle010,21.0,4.39525495977524,1.4173190225046122,0.938000000000024,32.45646516257406,0.9
20.0,20A,base,22.0,4.09527185365351,1.4006390008915541,0.9380000000000241,32.97154256106803,0.8
20.0,20A,score_settle005,22.0,4.14217185365351,1.4006390008915541,0.9380000000000241,32.97154256106803,0.8
20.0,20A,score_settle010,22.0,4.18907185365351,1.4006390008915541,0.9380000000000241,32.97154256106803,0.8
20.0,20A,base,23.0,3.8890887475317797,1.3839589792784959,0.938000000000024,33.48661995956198,0.7
20.0,20A,score_settle005,23.0,3.9359887475317796,1.3839589792784959,0.938000000000024,33.48661995956198,0.7
20.0,20A,score_settle010,23.0,3.9828887475317796,1.3839589792784959,0.938000000000024,33.48661995956198,0.7
20.0,20A,base,24.0,3.68290564141005,1.367278957665438,0.938000000000024,34.00169735805594,0.6
20.0,20A,score_settle005,24.0,3.7298056414100498,1.367278957665438,0.938000000000024,34.00169735805594,0.6
20.0,20A,score_settle010,24.0,3.7767056414100497,1.367278957665438,0.938000000000024,34.00169735805594,0.6
20.0,20A,base,25.0,3.47672253528832,1.35059893605238,0.938000000000024,34.5167747565499,0.5
20.0,20A,score_settle005,25.0,3.52362253528832,1.35059893605238,0.938000000000024,34.5167747565499,0.5
20.0,20A,score_settle010,25.0,3.57052253528832,1.35059893605238,0.938000000000024,34.5167747565499,0.5
20.0,20A,base,26.0,3.2705394291665897,1.333918914439322,0.938000000000024,35.031852155043865,0.4
20.0,20A,score_settle005,26.0,3.31743942916659,1.333918914439322,0.938000000000024,35.031852155043865,0.4
