success,error_message,r027_case_id,target_label,objective,policy,source_policy,policy_kind,policy_role,online_available_inputs_only,objective_alpha_settle,target_load_A,load_drop_A,selected_ref_slew_us,realized_ref_slew_us_in_offline_grid,tau_ai_us,delay_events,ref_start_delay_us,delay_mode,offline_objective_score,offline_regret_vs_oracle,offline_undershoot_mV,offline_settle_time_us,offline_skip_count_est,offline_phase_std_ns,vout_initial_V,vout_peak_V,vout_min_V,overshoot_mV,undershoot_mV,t_peak_us,settle_time_us,first_gate_edge_us,max_gate_gap_us,skip_count_est,final_vout_error_mV,final_il1_mean_A,final_il2_mean_A,final_il3_mean_A,final_il4_mean_A,final_il_total_mean_A,final_load_error_A,final_il_phase_imbalance_A,final_il_m2_projection_A,final_phase_spacing_mean_ns,final_phase_spacing_std_ns,final_phase_sequence_error_fraction,base_score,score_settle005,score_settle010,selected_objective_score,switching_regret_vs_best_in_run
1,,R027_0144,20A,score_settle005,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,1,0.05,20,20,66,66,0,0,0,commit_after_tau_ai,2.39820696270275,0,1.11287107294222,0.938000000000024,0,40.007102545006,0.99951236273925,1.00223500775282,0.998887128927058,2.23500775282348,1.11287107294222,0.53400000000006,0.938000000000024,1.84600000000006,0.668000000000001,0,-0.438293838860404,5.12266672579952,4.99473000516101,4.87756263428826,5.00618089724361,20.0011402624924,0.00114026249240595,0.245104091511259,-0.000170385579208343,533.055555555365,40.007102545006,0,2.35130696270275,2.39820696270275,2.44510696270275,2.39820696270275,0
1,,R027_0143,20A,score_settle005,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,1,0.05,20,20,30,30,0,0,0,commit_after_tau_ai,2.49270700467967,0.0945000419769184,1.26719882798709,0.938000000000024,0,37.0921617490197,0.99951236273925,1.00223500775282,0.998732801172013,2.23500775282348,1.26719882798709,0.53400000000006,0.938000000000024,1.86400000000349,0.708000000000035,0,-0.436764941712187,5.10945409803878,5.0289583156891,4.83777717995997,5.00738967789086,19.9835792715787,-0.0164207284212985,0.271676918078811,-0.0222791788953012,533.405405405218,37.0921617490197,0,2.44580700467967,2.49270700467968,2.53960700467968,2.49270700467968,0.0945000419769269
1,,R027_0151,20A,score_settle005,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,1,0.05,20,20,66,66,0.5,1,0.5,commit_after_tau_ai,2.39820696270275,0,1.11287107294222,0.938000000000024,0,40.007102545006,0.99951236273925,1.00223500775282,0.998941582716404,2.23500775282348,1.05841728359568,0.53400000000006,12.804,1.84000000000349,0.81000000000343,1,-0.433158174828918,5.11883853686688,4.9763733992592,4.90859167067729,5.00656207337319,20.0103656801765,0.0103656801765482,0.210246866189591,0.0111236837279445,532.61111111092,35.7285622272592,0,4.20614670296978,4.84634670296979,5.48654670296979,4.84634670296979,2.06159901108944
1,,R027_0150,20A,score_settle005,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,1,0.05,20,20,30,30,0.5,1,0.5,commit_after_tau_ai,2.49270700467967,0.0945000419769184,1.26719882798709,0.938000000000024,0,37.0921617490197,0.99951236273925,1.00223500775282,0.998854017551358,2.23500775282348,1.1459824486415,0.53400000000006,0.938000000000024,1.85000000000349,0.738000000000019,0,-0.451074094738213,5.17119943255869,4.9113193261191,4.9002261356614,5.05296518644718,20.0357100807864,0.0357100807863695,0.270973296897284,0.026785263913452,534.444444444445,57.0395574250314,0,2.73784769188034,2.78474769188034,2.83164769188035,2.78474769188034,0
1,,R027_0158,20A,score_settle005,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,1,0.05,20,20,66,66,1,2,1,commit_after_tau_ai,2.39820696270275,0,1.11287107294222,0.938000000000024,0,40.007102545006,0.99951236273925,1.00223500775282,0.998998926071214,2.23500775282348,1.00107392878601,0.53400000000006,11.69,1.83400000000351,0.673705114324539,0,-0.447164731780303,5.0770187759849,5.01485235386029,4.84454951246636,5.02937345416852,19.9657940964801,-0.0342059035199291,0.23246926351854,-0.0306643798943902,536.756756756757,41.9267916246662,0,2.28677449305964,2.87127449305964,3.45577449305964,2.87127449305964,0
1,,R027_0157,20A,score_settle005,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,1,0.05,20,20,30,30,1,2,1,commit_after_tau_ai,2.49270700467967,0.0945000419769184,1.26719882798709,0.938000000000024,0,37.0921617490197,0.99951236273925,1.00223500775282,0.998960053601315,2.23500775282348,1.03994639868477,0.53400000000006,0.938000000000024,1.83800000000352,0.790000000000025,1,-0.444729847543068,5.11171472059415,4.92849088133367,4.90312295289189,5.09534113038871,20.0386696852084,0.038669685208415,0.208591767702265,-0.00224858455908583,534.444444444252,51.3919537194274,0,4.51251532061638,4.55941532061638,4.60631532061638,4.55941532061638,1.68814082755674
1,,R027_0165,20A,score_settle005,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,1,0.05,20,20,66,66,2,4,2,commit_after_tau_ai,2.39820696270275,0,1.11287107294222,0.938000000000024,0,40.007102545006,0.99951236273925,1.00223500775282,0.999008220401759,2.23500775282348,0.991779598240816,0.53400000000006,14.384,1.83200000000353,0.759999999999986,1,-0.441824676541192,5.03310408493151,5.03266211855893,4.91918388035724,4.97417775778211,19.9591278416298,-0.0408721583702203,0.113920204574269,-0.0136379777630722,533.783783783969,36.6356953557532,0,4.16631818189707,4.88551818189707,5.60471818189708,4.88551818189707,2.79295188584672
1,,R027_0164,20A,score_settle005,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,1,0.05,20,20,30,30,2,4,2,commit_after_tau_ai,2.49270700467967,0.0945000419769184,1.26719882798709,0.938000000000024,0,37.0921617490197,0.99951236273925,1.00223500775282,0.999008220401759,2.23500775282348,0.991779598240816,0.53400000000006,0.938000000000024,1.83200000000353,0.74799999999996,0,-0.431220444681135,5.08049238066008,4.96539729785949,4.93020651427685,5.02707145472488,20.0031676475213,0.00316764752130538,0.150285866383228,0.00455753558814176,532.333333333334,31.1333126564203,0,2.04566629605036,2.09256629605036,2.13946629605036,2.09256629605036,0
1,,R027_0172,20A,score_settle005,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,1,0.05,20,20,66,66,5,10,5,commit_after_tau_ai,2.39820696270275,0,1.11287107294222,0.938000000000024,0,40.007102545006,0.99951236273925,1.00223500775282,0.999008220401759,2.23500775282348,0.991779598240816,0.53400000000006,16.532,1.83200000000353,0.754,1,-0.436372789957895,5.08773232110816,5.0740425174227,4.86158247687968,4.96103913198344,19.984396447394,-0.0156035526060236,0.226149844228481,-0.0214417128545727,530.888888888698,38.9769273030537,0,4.20769093425979,5.03429093425979,5.86089093425979,5.03429093425979,2.29546180320595
1,,R027_0171,20A,score_settle005,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,1,0.05,20,20,30,30,5,10,5,commit_after_tau_ai,2.49270700467967,0.0945000419769184,1.26719882798709,0.938000000000024,0,37.0921617490197,0.99951236273925,1.00223500775282,0.998968672257972,2.23500775282348,1.03132774202785,0.53400000000006,9.49800000000004,1.83200000000353,0.690000000006853,0,-0.441520477219237,5.1258784812238,4.9354873608775,4.9600593687998,4.98373743545112,20.0051626463522,0.00516264635222186,0.190391120346304,0.0416782634237456,531.243243243057,39.5540455903371,0,2.26392913105383,2.73882913105384,3.21372913105384,2.73882913105384,0
