split_type,model,n_contexts,mean_regret,median_regret,max_regret,zero_regret_rate,regret_le_0p5_rate,policy_accuracy,mean_slew_abs_error_us
leave_one_target,fixed_40us,36,1.13123848557359,0.8195732944606453,3.5966933830623997,0.16666666666666666,0.3333333333333333,0.16666666666666666,14.722222222222221
leave_one_target,fixed_80us,36,1.6464895450995871,1.1199951677747904,5.298266895198299,0.027777777777777776,0.2777777777777778,0.027777777777777776,33.05555555555556
leave_one_target,knn_score_supervisor,36,0.7760232046491438,0.4686437451759049,2.6977150391468996,0.3333333333333333,0.5,0.25,22.22222222222222
leave_one_target,ridge_score_supervisor,36,0.6201291032311397,0.32773245476370994,2.4428538657582006,0.2777777777777778,0.5833333333333334,0.2777777777777778,16.666666666666668
leave_one_target,trained_objective_mean_table,36,0.6678436184578639,0.2379316279503152,3.1190456956757995,0.3888888888888889,0.6388888888888888,0.3611111111111111,14.722222222222221
leave_one_target,trained_objective_nearest_tau_table,36,0.7178194913455692,0.2379316279503152,3.1769145825848994,0.3888888888888889,0.6111111111111112,0.3055555555555556,14.722222222222221
leave_one_target,zero_delay_objective_table,36,0.3163909108167419,0.0,2.01259925668635,0.5277777777777778,0.8333333333333334,0.4444444444444444,9.722222222222221
leave_one_tau,fixed_40us,36,1.1312384855735895,0.8195732944606453,3.5966933830623997,0.16666666666666666,0.3333333333333333,0.16666666666666666,14.722222222222221
leave_one_tau,fixed_80us,36,1.6464895450995878,1.1199951677747904,5.298266895198299,0.027777777777777776,0.2777777777777778,0.027777777777777776,33.05555555555556
leave_one_tau,knn_score_supervisor,36,0.48746987913365125,0.0921129782639154,2.4428538657582006,0.4722222222222222,0.6666666666666666,0.3888888888888889,13.333333333333334
leave_one_tau,ridge_score_supervisor,36,0.4156753118626148,0.19093596129650003,2.01259925668635,0.4166666666666667,0.75,0.4166666666666667,12.5
leave_one_tau,trained_objective_mean_table,36,0.4369611430949109,0.16898843984990997,2.2398040889115602,0.4444444444444444,0.75,0.3055555555555556,13.88888888888889
leave_one_tau,trained_objective_nearest_tau_table,36,0.3036069134336809,0.0,2.01259925668635,0.5833333333333334,0.8055555555555556,0.4444444444444444,7.5
leave_one_tau,zero_delay_objective_table,36,0.3163909108167419,0.0,2.01259925668635,0.5277777777777778,0.8333333333333334,0.4444444444444444,9.722222222222221
