context_id,tau_ai_us,delay_events,target_load_A,target_label,load_drop_A,load_drop_norm,objective,objective_alpha_settle,policy,policy_kind,selected_ref_slew_us,ref_start_delay_us,undershoot_mV,abs_final_vout_error_mV,final_vout_error_mV,skip_count_est,settle_time_us,final_phase_spacing_std_ns,base_score,objective_score,source_file,note
tau0.5_targetnear0A_score_settle010,0.5,1,0.001,near0A,39.999,0.9999750000000001,score_settle010,0.1,table_settle010,table,30.0,0.5,10.9298746859956,0.545887397149447,-0.545887397149447,2.0,14.3580000000001,93.4740778284929,17.3452436397149,18.7810436397149,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_base,0.5,1,10.0,10A,30.0,0.75,base,0.0,fixed_40us_precommitted,fixed,40.0,0.0,5.01028636671008,0.54894246574877,-0.54894246574877,1.0,17.534,91.29556151628,9.38514006278445,9.38514006278445,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_base,0.5,1,10.0,10A,30.0,0.75,base,0.0,fixed_80us_precommitted,fixed,80.0,0.0,4.63087064829415,0.550516960481362,-0.550516960481362,1.0,34.286,82.1829076099372,8.82504576097426,8.82504576097426,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_base,0.5,1,10.0,10A,30.0,0.75,base,0.0,oracle_base_table,table,80.0,0.5,4.53410803498733,0.558599437785579,-0.558599437785579,1.0,34.824,82.8116567303148,8.7489406073792,8.7489406073792,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_base,0.5,1,10.0,10A,30.0,0.75,base,0.0,table_settle005,table,50.0,0.5,4.67957001179586,0.54186817449775,-0.54186817449775,1.0,21.638,83.781022265811,8.89705863160983,8.89705863160983,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_base,0.5,1,10.0,10A,30.0,0.75,base,0.0,table_settle010,table,30.0,0.5,4.92885188349479,0.554207633428061,-0.554207633428061,1.0,9.75600000000003,90.9120129608897,9.30129977614065,9.30129977614065,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_score_settle005,0.5,1,10.0,10A,30.0,0.75,score_settle005,0.05,fixed_40us_precommitted,fixed,40.0,0.0,5.01028636671008,0.54894246574877,-0.54894246574877,1.0,17.534,91.29556151628,9.38514006278445,10.2618400627845,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_score_settle005,0.5,1,10.0,10A,30.0,0.75,score_settle005,0.05,fixed_80us_precommitted,fixed,80.0,0.0,4.63087064829415,0.550516960481362,-0.550516960481362,1.0,34.286,82.1829076099372,8.82504576097426,10.5393457609743,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_score_settle005,0.5,1,10.0,10A,30.0,0.75,score_settle005,0.05,oracle_base_table,table,80.0,0.5,4.53410803498733,0.558599437785579,-0.558599437785579,1.0,34.824,82.8116567303148,8.7489406073792,10.4901406073792,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_score_settle005,0.5,1,10.0,10A,30.0,0.75,score_settle005,0.05,table_settle005,table,50.0,0.5,4.67957001179586,0.54186817449775,-0.54186817449775,1.0,21.638,83.781022265811,8.89705863160983,9.97895863160984,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_score_settle005,0.5,1,10.0,10A,30.0,0.75,score_settle005,0.05,table_settle010,table,30.0,0.5,4.92885188349479,0.554207633428061,-0.554207633428061,1.0,9.75600000000003,90.9120129608897,9.30129977614065,9.78909977614065,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_score_settle010,0.5,1,10.0,10A,30.0,0.75,score_settle010,0.1,fixed_40us_precommitted,fixed,40.0,0.0,5.01028636671008,0.54894246574877,-0.54894246574877,1.0,17.534,91.29556151628,9.38514006278445,11.1385400627845,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_score_settle010,0.5,1,10.0,10A,30.0,0.75,score_settle010,0.1,fixed_80us_precommitted,fixed,80.0,0.0,4.63087064829415,0.550516960481362,-0.550516960481362,1.0,34.286,82.1829076099372,8.82504576097426,12.2536457609743,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_score_settle010,0.5,1,10.0,10A,30.0,0.75,score_settle010,0.1,oracle_base_table,table,80.0,0.5,4.53410803498733,0.558599437785579,-0.558599437785579,1.0,34.824,82.8116567303148,8.7489406073792,12.2313406073792,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_score_settle010,0.5,1,10.0,10A,30.0,0.75,score_settle010,0.1,table_settle005,table,50.0,0.5,4.67957001179586,0.54186817449775,-0.54186817449775,1.0,21.638,83.781022265811,8.89705863160983,11.0608586316098,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target10A_score_settle010,0.5,1,10.0,10A,30.0,0.75,score_settle010,0.1,table_settle010,table,30.0,0.5,4.92885188349479,0.554207633428061,-0.554207633428061,1.0,9.75600000000003,90.9120129608897,9.30129977614065,10.2768997761406,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target20A_base,0.5,1,20.0,20A,20.0,0.5,base,0.0,fixed_40us_precommitted,fixed,40.0,0.0,1.19940112760242,0.43379596481008,-0.43379596481008,0.0,0.938000000000024,43.3359485758766,2.49991606393003,2.49991606393003,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target20A_base,0.5,1,20.0,20A,20.0,0.5,base,0.0,fixed_80us_precommitted,fixed,80.0,0.0,1.0943598016524,0.435550987461508,-0.435550987461508,0.0,14.41,37.1400221295455,2.27271123170482,2.27271123170482,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
tau0.5_target20A_base,0.5,1,20.0,20A,20.0,0.5,base,0.0,oracle_base_table,table,80.0,0.5,1.03994639868477,0.43448443364591,-0.43448443364591,0.0,14.4020000000001,28.3602945386385,2.04163672310345,2.04163672310345,iqcot_table_supervisor_validation_results_tau0p5_1_2us.csv,candidate policy row from derived Simulink delayed-reference switching validation
