case,r_scale,trim_limit_ns,full_required_trim_ns,full_required_trim_pkpk_ns,applied_trim_ns,applied_trim_pkpk_ns,dc_vout_V,dc_current_A,no_trim_current_pkpk_A,trimmed_current_pkpk_A,current_pkpk_reduction_pct,nominal_event_phase_wait_pkpk_ns_cost,nominal_event_wait_rms_ns_cost,cost_per_reduction_ns_per_pct
one_high_pm5%,1.05 0.983333 0.983333 0.983333,0.2,0.125 -0.04166667 -0.04166667 -0.04166667,0.16666666666666674,0.125 -0.04166667 -0.04166667 -0.04166667,0.16666666666666674,1.0,10 10 10 10,0.6451612903225818,7.283063041541027e-14,99.9999999999887,75.34649083381221,32.25030533083591,0.7534649083382072
one_high_pm5%,1.05 0.983333 0.983333 0.983333,0.3,0.125 -0.04166667 -0.04166667 -0.04166667,0.16666666666666674,0.125 -0.04166667 -0.04166667 -0.04166667,0.16666666666666674,1.0,10 10 10 10,0.6451612903225818,7.283063041541027e-14,99.9999999999887,75.34649083381221,32.25030533083591,0.7534649083382072
one_high_pm5%,1.05 0.983333 0.983333 0.983333,0.5,0.125 -0.04166667 -0.04166667 -0.04166667,0.16666666666666674,0.125 -0.04166667 -0.04166667 -0.04166667,0.16666666666666674,1.0,10 10 10 10,0.6451612903225818,7.283063041541027e-14,99.9999999999887,75.34649083381221,32.25030533083591,0.7534649083382072
one_high_pm5%,1.05 0.983333 0.983333 0.983333,1.0,0.125 -0.04166667 -0.04166667 -0.04166667,0.16666666666666674,0.125 -0.04166667 -0.04166667 -0.04166667,0.16666666666666674,1.0,10 10 10 10,0.6451612903225818,7.283063041541027e-14,99.9999999999887,75.34649083381221,32.25030533083591,0.7534649083382072
one_low_pm5%,0.95 1.01667 1.01667 1.01667,0.0,-0.125 0.04166667 0.04166667 0.04166667,0.16666666666666638,0 0 0 0,0.0,1.0000129310344827,10.51724 9.827586 9.827586 9.827586,0.6896551724137883,0.6896551724137883,0.0,0.0,0.0,
one_low_pm5%,0.95 1.01667 1.01667 1.01667,0.05,-0.125 0.04166667 0.04166667 0.04166667,0.16666666666666638,-0.06875 0.02291667 0.02291667 0.02291667,0.09166666666666641,1.0000058189655172,10.23276 9.922414 9.922414 9.922414,0.6896551724137883,0.31034482758617266,55.00000000000465,34.361003617183435,14.608350153378614,0.6247455203123733
one_low_pm5%,0.95 1.01667 1.01667 1.01667,0.1,-0.125 0.04166667 0.04166667 0.04166667,0.16666666666666638,-0.10625 0.03541667 0.03541667 0.03541667,0.1416666666666664,1.0000019396551725,10.07759 9.974138 9.974138 9.974138,0.6896551724137883,0.10344827586190064,85.0000000000243,51.4396451915802,21.851294804526912,0.6051722963713587
one_low_pm5%,0.95 1.01667 1.01667 1.01667,0.2,-0.125 0.04166667 0.04166667 0.04166667,0.16666666666666638,-0.125 0.04166667 0.04166667 0.04166667,0.16666666666666638,1.0,10 10 10 10,0.6896551724137883,7.638334409421077e-14,99.99999999998892,59.5914643463314,25.30489841351625,0.5959146434633801
one_low_pm5%,0.95 1.01667 1.01667 1.01667,0.3,-0.125 0.04166667 0.04166667 0.04166667,0.16666666666666638,-0.125 0.04166667 0.04166667 0.04166667,0.16666666666666638,1.0,10 10 10 10,0.6896551724137883,7.638334409421077e-14,99.99999999998892,59.5914643463314,25.30489841351625,0.5959146434633801
one_low_pm5%,0.95 1.01667 1.01667 1.01667,0.5,-0.125 0.04166667 0.04166667 0.04166667,0.16666666666666638,-0.125 0.04166667 0.04166667 0.04166667,0.16666666666666638,1.0,10 10 10 10,0.6896551724137883,7.638334409421077e-14,99.99999999998892,59.5914643463314,25.30489841351625,0.5959146434633801
one_low_pm5%,0.95 1.01667 1.01667 1.01667,1.0,-0.125 0.04166667 0.04166667 0.04166667,0.16666666666666638,-0.125 0.04166667 0.04166667 0.04166667,0.16666666666666638,1.0,10 10 10 10,0.6896551724137883,7.638334409421077e-14,99.99999999998892,59.5914643463314,25.30489841351625,0.5959146434633801
monotonic_pm10%,0.9 0.966667 1.03333 1.1,0.0,-0.25 -0.08333333 0.08333333 0.25,0.5000000000000001,0 0 0 0,0.0,1.0000836312849162,11.04916 10.28715 9.623464 9.040223,2.008938547486025,2.008938547486025,0.0,0.0,0.0,
monotonic_pm10%,0.9 0.966667 1.03333 1.1,0.05,-0.25 -0.08333333 0.08333333 0.25,0.5000000000000001,-0.05 -0.05 0.05 0.05,0.1,1.0000635865921788,10.84179 10.09408 9.829944 9.23419,2.008938547486025,1.6075977653631632,19.97775305895233,40.85866662142319,19.61144401518739,2.045208312509089
monotonic_pm10%,0.9 0.966667 1.03333 1.1,0.1,-0.25 -0.08333333 0.08333333 0.25,0.5000000000000001,-0.1 -0.08333333 0.08333333 0.1,0.2,1.0000452011173184,10.63318 9.968827 9.970838 9.427151,2.008938547486025,1.2060335195531504,39.96662958842747,76.97954548657528,36.03955487828825,1.9260955021552548
monotonic_pm10%,0.9 0.966667 1.03333 1.1,0.2,-0.25 -0.08333333 0.08333333 0.25,0.5000000000000001,-0.2 -0.08333333 0.08333333 0.2,0.4,1.0000150670391061,10.21106 9.989609 9.990279 9.80905,2.008938547486025,0.40201117318422597,79.98887652948366,158.8882277605359,61.74269072725688,1.9863790398652514
monotonic_pm10%,0.9 0.966667 1.03333 1.1,0.3,-0.25 -0.08333333 0.08333333 0.25,0.5000000000000001,-0.25 -0.08333333 0.08333333 0.25,0.5000000000000001,0.9999999999999998,10 10 10 10,2.008938547486025,1.687538997430238e-13,99.9999999999916,203.303639708063,77.56100260226013,2.0330363970808008
monotonic_pm10%,0.9 0.966667 1.03333 1.1,0.5,-0.25 -0.08333333 0.08333333 0.25,0.5000000000000001,-0.25 -0.08333333 0.08333333 0.25,0.5000000000000001,0.9999999999999998,10 10 10 10,2.008938547486025,1.687538997430238e-13,99.9999999999916,203.303639708063,77.56100260226013,2.0330363970808008
monotonic_pm10%,0.9 0.966667 1.03333 1.1,1.0,-0.25 -0.08333333 0.08333333 0.25,0.5000000000000001,-0.25 -0.08333333 0.08333333 0.25,0.5000000000000001,0.9999999999999998,10 10 10 10,2.008938547486025,1.687538997430238e-13,99.9999999999916,203.303639708063,77.56100260226013,2.0330363970808008
alternating_pm10%,0.9 1.1 0.9 1.1,0.0,-0.25 0.25 -0.25 0.25,0.5000000000000001,0 0 0 0,0.0,1.0001499999999999,11 9 11 9,2.0000000000000036,2.0000000000000036,0.0,0.0,0.0,
alternating_pm10%,0.9 1.1 0.9 1.1,0.05,-0.25 0.25 -0.25 0.25,0.5000000000000001,-0.05 0.05 -0.05 0.05,0.1,1.00012,10.8 9.2 10.8 9.2,2.0000000000000036,1.6000000000000458,19.999999999997854,38.837975337879385,19.556060319484928,1.9418987668941776
alternating_pm10%,0.9 1.1 0.9 1.1,0.1,-0.25 0.25 -0.25 0.25,0.5000000000000001,-0.1 0.1 -0.1 0.1,0.2,1.0000900000000001,10.6 9.4 10.6 9.4,2.0000000000000036,1.2000000000000561,39.99999999999731,77.53346384193252,39.063367544388264,1.9383365960484433
alternating_pm10%,0.9 1.1 0.9 1.1,0.2,-0.25 0.25 -0.25 0.25,0.5000000000000001,-0.2 0.2 -0.2 0.2,0.4,1.00003,10.2 9.8 10.2 9.8,2.0000000000000036,0.3999999999998707,80.0000000000065,154.12184087450706,77.82463388597708,1.9265230109311817
alternating_pm10%,0.9 1.1 0.9 1.1,0.3,-0.25 0.25 -0.25 0.25,0.5000000000000001,-0.25 0.25 -0.25 0.25,0.5000000000000001,1.0,10 10 10 10,2.0000000000000036,7.638334409421077e-14,99.99999999999618,191.966693158283,97.0949980952311,1.9196669315829034
alternating_pm10%,0.9 1.1 0.9 1.1,0.5,-0.25 0.25 -0.25 0.25,0.5000000000000001,-0.25 0.25 -0.25 0.25,0.5000000000000001,1.0,10 10 10 10,2.0000000000000036,7.638334409421077e-14,99.99999999999618,191.966693158283,97.0949980952311,1.9196669315829034
alternating_pm10%,0.9 1.1 0.9 1.1,1.0,-0.25 0.25 -0.25 0.25,0.5000000000000001,-0.25 0.25 -0.25 0.25,0.5000000000000001,1.0,10 10 10 10,2.0000000000000036,7.638334409421077e-14,99.99999999999618,191.966693158283,97.0949980952311,1.9196669315829034
one_high_pm10%,1.1 0.966667 0.966667 0.966667,0.0,0.25 -0.08333333 -0.08333333 -0.08333333,0.3333333333333335,0 0 0 0,0.0,1.000046875,9.0625 10.3125 10.3125 10.3125,1.249999999999993,1.249999999999993,0.0,0.0,0.0,
one_high_pm10%,1.1 0.966667 0.966667 0.966667,0.05,0.25 -0.08333333 -0.08333333 -0.08333333,0.3333333333333335,0.075 -0.025 -0.025 -0.025,0.1,1.0000328125,9.34375 10.21875 10.21875 10.21875,1.249999999999993,0.8750000000000444,29.999999999996053,42.91052594775868,18.32579176008906,1.4303508649254775
one_high_pm10%,1.1 0.966667 0.966667 0.966667,0.1,0.25 -0.08333333 -0.08333333 -0.08333333,0.3333333333333335,0.1375 -0.04583333 -0.04583333 -0.04583333,0.18333333333333318,1.00002109375,9.578125 10.14062 10.14062 10.14062,1.249999999999993,0.5624999999999272,55.00000000000558,84.00393946105288,35.978467724490045,1.5273443538371703
one_high_pm10%,1.1 0.966667 0.966667 0.966667,0.2,0.25 -0.08333333 -0.08333333 -0.08333333,0.3333333333333335,0.2125 -0.07083333 -0.07083333 -0.07083333,0.28333333333333316,1.0000070312499998,9.859375 10.04688 10.04688 10.04688,1.249999999999993,0.18749999999999645,85.0000000000002,141.21612591144827,60.750034208526806,1.6613661871935053
one_high_pm10%,1.1 0.966667 0.966667 0.966667,0.3,0.25 -0.08333333 -0.08333333 -0.08333333,0.3333333333333335,0.25 -0.08333333 -0.08333333 -0.08333333,0.3333333333333335,1.0,10 10 10 10,1.249999999999993,3.552713678800501e-15,99.99999999999972,173.62033781835189,74.89130152634094,1.7362033781835238
one_high_pm10%,1.1 0.966667 0.966667 0.966667,0.5,0.25 -0.08333333 -0.08333333 -0.08333333,0.3333333333333335,0.25 -0.08333333 -0.08333333 -0.08333333,0.3333333333333335,1.0,10 10 10 10,1.249999999999993,3.552713678800501e-15,99.99999999999972,173.62033781835189,74.89130152634094,1.7362033781835238
one_high_pm10%,1.1 0.966667 0.966667 0.966667,1.0,0.25 -0.08333333 -0.08333333 -0.08333333,0.3333333333333335,0.25 -0.08333333 -0.08333333 -0.08333333,0.3333333333333335,1.0,10 10 10 10,1.249999999999993,3.552713678800501e-15,99.99999999999972,173.62033781835189,74.89130152634094,1.7362033781835238
one_low_pm10%,0.9 1.03333 1.03333 1.03333,0.0,-0.25 0.08333333 0.08333333 0.08333333,0.3333333333333335,0 0 0 0,0.0,1.0000535714285714,11.07143 9.642857 9.642857 9.642857,1.42857142857142,1.42857142857142,0.0,0.0,0.0,
one_low_pm10%,0.9 1.03333 1.03333 1.03333,0.05,-0.25 0.08333333 0.08333333 0.08333333,0.3333333333333335,-0.075 0.025 0.025 0.025,0.1,1.0000375000000001,10.75 9.75 9.75 9.75,1.42857142857142,1.0000000000000373,29.999999999996962,37.28287969460708,15.848262169043515,1.2427626564870287
one_low_pm10%,0.9 1.03333 1.03333 1.03333,0.1,-0.25 0.08333333 0.08333333 0.08333333,0.3333333333333335,-0.1375 0.04583333 0.04583333 0.04583333,0.18333333333333354,1.000024107142857,10.48214 9.839286 9.839286 9.839286,1.42857142857142,0.6428571428570713,55.00000000000473,64.89209117742104,27.54946845012951,1.1798562032257356
