success,error_message,r029_case_id,target_label,objective,policy,policy_family,online_available_inputs_only,objective_alpha_settle,target_load_A,load_drop_A,selected_ref_slew_us,tau_ai_us,delay_events_at_0p5us,ref_start_delay_us,selection_basis,heldout_reason,vout_initial_V,vout_peak_V,vout_min_V,overshoot_mV,undershoot_mV,t_peak_us,settle_time_us,first_gate_edge_us,max_gate_gap_us,skip_count_est,final_vout_error_mV,final_il1_mean_A,final_il2_mean_A,final_il3_mean_A,final_il4_mean_A,final_il_total_mean_A,final_load_error_A,final_il_phase_imbalance_A,final_il_m2_projection_A,final_phase_spacing_mean_ns,final_phase_spacing_std_ns,final_phase_sequence_error_fraction,base_score,score_settle005,score_settle010,selected_objective_score,switching_regret_vs_best_in_context,chunk_file,chunk_order,switching_regret_combined
1,,R029_0001,10A,score_settle005,short_slew_probe_34us,heldout_probe,1,0.05,10.0,30.0,34,1.5,3,1.5,short-slew probe below the R028 delay threshold,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,0.99951236273925,1.00419623534961,0.995531259933209,4.19623534961322,4.46874006679066,1.01000000000002,15.8580000000001,2.86800000000352,1.13799999999997,1,-0.561905302514432,2.39732438279377,2.5189637454803,2.58988560611643,2.49480118188311,10.0009749162736,0.0009749162736092,0.192561223322663,-0.0066387346132997,575.27272727252,90.3022622134234,0,8.83669061357356,9.62959061357356,10.4224906135736,9.62959061357356,0.127626702727666,iqcot_r029_heldout_guard_results_heldout_rows001_006.csv,0,0.12762670272767096
1,,R029_0002,10A,score_settle005,fixed_40us_probe,fixed_probe,1,0.05,10.0,30.0,40,1.5,3,1.5,intermediate fixed-slew comparator,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,0.99951236273925,1.00419623534961,0.995557071866907,4.19623534961322,4.44292813309333,1.01000000000002,18.718,2.86600000000349,1.06600000000003,1,-0.539876768362979,2.50263210769713,2.50775764451799,2.59915492427443,2.44163325583734,10.0511779323269,0.0511779323268922,0.157521668437095,0.03809903290406,575.090909090909,79.1629504694792,0,8.56606391084589,9.50196391084589,10.4378639108459,9.50196391084589,0.0,iqcot_r029_heldout_guard_results_heldout_rows001_006.csv,0,0.0
1,,R029_0003,10A,score_settle005,r028_dense_anchor,dense_anchor,1,0.05,10.0,30.0,50,1.5,3,1.5,conservative dense-anchor action,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,0.99951236273925,1.00419623534961,0.995582199078924,4.19623534961322,4.41780092107569,1.01000000000002,21.752,2.86400000000352,0.978000000000003,1,-0.554162820553206,2.37083398856593,2.45394036262403,2.61837364112554,2.56435187789779,10.0074998702133,0.0074998702132855,0.247539652559615,-0.0072711527075874,574.470588235092,82.8946886821197,0,8.62985751527129,9.71745751527129,10.8050575152713,9.71745751527129,0.215493604425395,iqcot_r029_heldout_guard_results_heldout_rows001_006.csv,0,0.21549360442540078
1,,R029_0004,10A,score_settle005,old_proxy_62us,old_proxy_failure_probe,1,0.05,10.0,30.0,62,1.5,3,1.5,old R026 proxy action that failed in R027,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,0.99951236273925,1.00419623534961,0.995604856026302,4.19623534961322,4.39514397369833,1.01000000000002,28.578,2.86200000000348,1.00400000000345,1,-0.555981780061887,2.4963237023828,2.32234167648652,2.57536731117854,2.62643159926202,10.0204642893099,0.0204642893098814,0.304089922775504,0.0307294344532025,576.424242424451,95.7930864091282,0,8.86698748194279,10.2958874819428,11.7247874819428,10.2958874819428,0.793923571096895,iqcot_r029_heldout_guard_results_heldout_rows001_006.csv,0,0.7939235710969115
1,,R029_0005,10A,score_settle005,r028_guarded_candidate,guarded_candidate,1,0.05,10.0,30.0,34,2.5,5,2.5,R028 delay guard action for tau>=2us,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,0.99951236273925,1.00419623534961,0.995707687560759,4.19623534961322,4.29231243924144,1.01000000000002,15.9620000000001,2.85400000000352,1.01000000000002,1,-0.552257662938649,2.31204527919995,2.50051428628879,2.5600354494819,2.66407048373662,10.0366654987073,0.0366654987072597,0.352025204536671,-0.0731260103358893,577.333333333126,81.3198417766397,0,8.47096693771288,9.26906693771289,10.0671669377129,9.26906693771289,0.0,iqcot_r029_heldout_guard_results_heldout_rows001_006.csv,0,0.0
1,,R029_0006,10A,score_settle005,fixed_40us_probe,fixed_probe,1,0.05,10.0,30.0,40,2.5,5,2.5,intermediate fixed-slew comparator,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,0.99951236273925,1.00419623534961,0.995707687560759,4.19623534961322,4.29231243924144,1.01000000000002,19.344,2.85400000000352,1.15199999999998,1,-0.542218629122737,2.3683344045781,2.4608156499497,2.62609774789158,2.54530021469631,10.0005480171157,0.0005480171156975,0.257763343313484,-0.002920928044083,578.484848485057,78.8353193423694,0,8.41123745521157,9.37843745521157,10.3456374552116,9.37843745521157,0.109370517498682,iqcot_r029_heldout_guard_results_heldout_rows001_006.csv,0,0.10937051749868054
1,,R029_0007,10A,score_settle005,r028_dense_anchor,dense_anchor,1,0.05,10.0,30.0,50,2.5,5,2.5,conservative dense-anchor action,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,0.99951236273925,1.00419623534961,0.995707687560759,4.19623534961322,4.29231243924144,1.01000000000002,26.1980000000001,2.85400000000352,1.05400000000001,1,-0.552138727087925,2.42584764089874,2.31673781615384,2.74267733612725,2.51047210916756,9.9957349023474,-0.0042650976526008,0.425939519973408,0.0853287629261479,579.636363636363,88.7826764428124,0,8.62010469518561,9.93000469518562,11.2399046951856,9.93000469518562,0.0,iqcot_r029_heldout_guard_results_heldout_rows007_012.csv,1,0.6609377574727304
1,,R029_0008,10A,score_settle005,old_proxy_62us,old_proxy_failure_probe,1,0.05,10.0,30.0,62,2.5,5,2.5,old R026 proxy action that failed in R027,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,0.99951236273925,1.00419623534961,0.995707687560759,4.19623534961322,4.29231243924144,1.01000000000002,29.6920000000001,2.85400000000352,0.978000000000003,1,-0.5844656017987,2.32458424195968,2.30203272932236,2.74703341589378,2.5863613758113,9.96001176298712,-0.0399882370128761,0.445000686571425,0.0458058881799512,576.181818182026,107.162684312461,0,9.02003172728936,10.5046317272894,11.9892317272894,10.5046317272894,0.574627032103747,iqcot_r029_heldout_guard_results_heldout_rows007_012.csv,1,1.235564789576511
1,,R029_0009,10A,score_settle005,r028_guarded_candidate,guarded_candidate,1,0.05,10.0,30.0,34,3.0,6,3.0,R028 delay guard action for tau>=2us,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,0.99951236273925,1.00419623534961,0.995707687560759,4.19623534961322,4.29231243924144,1.01000000000002,17.5560000000001,2.85400000000352,1.10600000000001,1,-0.560680317866713,2.51693808826182,2.40086875123118,2.49336502923306,2.58849083033159,9.99966269905766,-0.000337300942343,0.187622079100412,0.0052358839830267,577.515151514943,94.3809174342532,0,8.74061110579322,9.61841110579322,10.4962111057932,9.61841110579322,0.0,iqcot_r029_heldout_guard_results_heldout_rows007_012.csv,1,0.0
1,,R029_0010,10A,score_settle005,fixed_40us_probe,fixed_probe,1,0.05,10.0,30.0,40,3.0,6,3.0,intermediate fixed-slew comparator,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,0.99951236273925,1.00419623534961,0.995707687560759,4.19623534961322,4.29231243924144,1.01000000000002,21.0400000000001,2.85400000000352,1.12399999999997,1,-0.584855560350706,2.38142526019633,2.62849631037185,2.53511161730999,2.42306642033733,9.9680996082155,-0.0319003917845038,0.247071050175518,-0.0337564633007139,572.411764706084,94.6877220437216,0,8.77092244046658,9.82292244046658,10.8749224404666,9.82292244046658,0.204511334673361,iqcot_r029_heldout_guard_results_heldout_rows007_012.csv,1,0.20451133467336113
