target_load_A,best_ref_slew_us,undershoot_mV,final_vout_error_mV,skip_count_est,settle_time_us,final_phase_spacing_std_ns,tradeoff_score
20,86,1.0943598016524,-0.438140473293935,0,14.404,30.0147825435648,2.13279592581763
10,70,4.67957001179586,-0.539329341692429,1,30.79,75.9411003028226,8.73772135954474
0.001,92,10.0539336391869,-0.555400104908066,2,53.058,98.5680813793168,16.5806953716813
