controller_mode,base_load_A,target_load_A,time_us,vout_V
dynamic_hold,40,20,-16.148,0.999553486506068
dynamic_hold,40,20,-16.112,0.999478902182643
dynamic_hold,40,20,-16.076,0.999400513364307
dynamic_hold,40,20,-16.038,0.999313651092969
dynamic_hold,40,20,-16.002,0.999227467183373
dynamic_hold,40,20,-15.966,0.999194697084236
dynamic_hold,40,20,-15.928,0.999309758488203
dynamic_hold,40,20,-15.8919999999999,0.999425465883363
dynamic_hold,40,20,-15.856,0.999547680010194
dynamic_hold,40,20,-15.818,0.999683727637572
dynamic_hold,40,20,-15.7819999999999,0.999764314777875
dynamic_hold,40,20,-15.746,0.99970318279873
dynamic_hold,40,20,-15.708,0.999635197050498
dynamic_hold,40,20,-15.6719999999999,0.999566857474183
dynamic_hold,40,20,-15.636,0.999494700344149
dynamic_hold,40,20,-15.598,0.999414401803716
dynamic_hold,40,20,-15.5619999999999,0.99933442275326
dynamic_hold,40,20,-15.526,0.999250650733465
dynamic_hold,40,20,-15.488,0.999193412296262
dynamic_hold,40,20,-15.4519999999999,0.999303283198661
dynamic_hold,40,20,-15.416,0.999419673199431
dynamic_hold,40,20,-15.378,0.999549586549556
dynamic_hold,40,20,-15.3419999999999,0.999679333784888
dynamic_hold,40,20,-15.306,0.999797301561401
dynamic_hold,40,20,-15.268,0.999731241803715
dynamic_hold,40,20,-15.232,0.999669114685684
dynamic_hold,40,20,-15.196,0.999603156970016
dynamic_hold,40,20,-15.158,0.999529388109804
dynamic_hold,40,20,-15.122,0.999455581675425
dynamic_hold,40,20,-15.086,0.99937796924169
dynamic_hold,40,20,-15.048,0.999291924855628
dynamic_hold,40,20,-15.012,0.999211951022892
dynamic_hold,40,20,-14.974,0.999325967215587
dynamic_hold,40,20,-14.938,0.999443346797683
dynamic_hold,40,20,-14.902,0.999567229637421
dynamic_hold,40,20,-14.864,0.999705034916339
dynamic_hold,40,20,-14.828,0.999842242446895
dynamic_hold,40,20,-14.792,0.999784973949162
dynamic_hold,40,20,-14.754,0.999721741931472
dynamic_hold,40,20,-14.7179999999999,0.999657896125873
dynamic_hold,40,20,-14.682,0.999590223270375
dynamic_hold,40,20,-14.644,0.999514647832402
dynamic_hold,40,20,-14.6079999999999,0.999439133547223
dynamic_hold,40,20,-14.572,0.999359816806961
dynamic_hold,40,20,-14.534,0.999271977274497
dynamic_hold,40,20,-14.4979999999999,0.999274929527553
dynamic_hold,40,20,-14.462,0.999388310492508
dynamic_hold,40,20,-14.424,0.999515054432577
