success,error_message,controller_mode,base_load_A,target_load_A,target_Rload_ohm,target_Iph_ref_A,vout_initial_V,vout_peak_V,vout_min_V,overshoot_mV,undershoot_mV,t_peak_us,settle_time_us,first_gate_edge_us,max_gate_gap_us,skip_count_est,final_vout_mean_V,final_vout_error_mV,final_il1_mean_A,final_il2_mean_A,final_il3_mean_A,final_il4_mean_A,final_il_total_mean_A,final_load_error_A,final_il_phase_imbalance_A,final_il_m2_projection_A,final_phase_spacing_mean_ns,final_phase_spacing_std_ns,final_phase_sequence_error_fraction
1,,hold,40,20,0.05,10,0.999520557931963,1.00248801058692,1.00099562107479,2.48801058692028,-0.995621074789899,89.656,89.952,1.064,0.719648932413873,0,1.00205127114357,2.05127114357162,5.14424562204436,5.01696276917391,4.90902372329082,4.99799962723998,20.0682317417491,0.0682317417490736,0.235221898753545,0.00957673723032038,531.611111111111,49.7624515806592,0
1,,instant,40,20,0.05,5,0.999520557931963,1.00173915334646,0.997140034085899,1.73915334645702,2.85996591410143,0.344,6.212,1.79400000000001,0.760000000000055,1,0.999566566745423,-0.433433254577231,4.87595325162351,4.86644799490425,5.08062040060744,5.17606089995387,19.9990825470891,-0.000917452910918826,0.309612905049622,-0.0214838106567929,534.412657634208,43.8803046031125,0
1,,hold,40,10,0.1,10,0.999520557931963,1.00379454436082,1.00224784578945,3.79454436082116,-2.24784578945236,22.444,NaN,1.63200000000001,0.899999999999947,1,1.00317644936121,3.17644936121408,2.41536542213285,2.67260787531017,2.54172651157703,2.36539100348265,9.9950908125027,-0.00490918749729552,0.307216871827517,-0.0202267362707357,575.82352941179,92.7797883516135,0
1,,instant,40,10,0.1,2.5,0.999520557931963,1.00343981764905,0.990120449643891,3.43981764905021,9.87955035610877,0.82,13.626,3.01000000000003,1.196,1,0.99941521004882,-0.58478995117961,2.56543489948372,2.52602967466441,2.38884377500505,2.53381389269592,10.0141222418491,0.0141222418490923,0.176591124478677,-0.0263912232178884,575.82352941179,114.197334931806,0
1,,hold,40,0.001,1000,10,0.999520557931963,1.00581013530203,1.00287184854108,5.81013530203345,-2.8718485410808,1.31,NaN,2.65000000000003,1.10829603668318,1,1.004413132378,4.41313237799612,-0.149002577757019,0.245900579075095,0.0691747747867679,-0.253863629467014,-0.0877908533621699,-0.0887908533621699,0.499764208542109,-0.0179661881445829,590.24242424245,108.983665720764,0
1,,instant,40,0.001,1000,0.00025,0.999520557931963,1.00581013530203,0.97958428328629,5.81013530203345,20.41571671371,1.31,20.036,4.45400000000005,1.604,2,0.999423375455855,-0.576624544145199,0.0715179029477622,0.315002180921784,-0.294891301208603,-0.169057189595228,-0.077428406934284,-0.078428406934284,0.609893482130387,-0.0923295973968493,596.666666666667,116.748716004285,0
