target_load_A,best_ref_slew_us,undershoot_mV,final_vout_error_mV,skip_count_est,settle_time_us,final_phase_spacing_std_ns,tradeoff_score
20,80,1.0943598016524,-0.435550987461508,0,14.41,37.1400221295455,2.27271123170482
10,80,4.63087064829415,-0.550516960481362,1,34.286,82.1829076099372,8.82504576097426
0.001,120,9.89225790458803,-0.574122594113269,2,71.408,118.430103411982,16.8349825669409
