target_load_A,target_label,objective,alpha_settle,old_best_us,old_best_score,fine_best_us,fine_best_score,combined_best_us,combined_best_score,fine_gain_vs_old_best,combined_gain_vs_old_best,best_source,boundary
20.0,20A,base,0.0,80.0,2.27271123170482,86.0,2.13279592581763,86.0,2.13279592581763,0.13991530588719003,0.13991530588719003,fine,best over current dense+long+fine grid only
20.0,20A,score_settle005,0.05,30.0,2.49270700467967,66.0,2.3982069627027514,66.0,2.3982069627027514,0.09450004197691886,0.09450004197691886,fine,best over current dense+long+fine grid only
20.0,20A,score_settle010,0.1,30.0,2.53960700467967,66.0,2.4451069627027526,66.0,2.4451069627027526,0.09450004197691753,0.09450004197691753,fine,best over current dense+long+fine grid only
10.0,10A,base,0.0,80.0,8.82504576097426,70.0,8.73772135954474,70.0,8.73772135954474,0.08732440142952136,0.08732440142952136,fine,best over current dense+long+fine grid only
10.0,10A,score_settle005,0.05,50.0,10.0080780723436,32.0,10.02416583689932,50.0,10.0080780723436,-0.01608776455571892,0.0,dense_long,best over current dense+long+fine grid only
10.0,10A,score_settle010,0.1,30.0,11.0217091468132,32.0,10.53206583689932,32.0,10.53206583689932,0.4896433099138786,0.4896433099138786,fine,best over current dense+long+fine grid only
0.001,near0A,base,0.0,60.0,16.8006726708387,92.0,16.5806953716813,92.0,16.5806953716813,0.2199772991573994,0.2199772991573994,fine,best over current dense+long+fine grid only
0.001,near0A,score_settle005,0.05,60.0,18.5671726708387,38.0,18.464206493980402,38.0,18.464206493980402,0.10296617685829901,0.10296617685829901,fine,best over current dense+long+fine grid only
0.001,near0A,score_settle010,0.1,30.0,19.7840637899695,38.0,19.549306493980403,38.0,19.549306493980403,0.23475729598909822,0.23475729598909822,fine,best over current dense+long+fine grid only
