r027_case_id,target_label,target_load_A,load_drop_A,objective,objective_alpha_settle,tau_ai_us,delay_events,event_period_us_assumed,policy,source_policy,policy_kind,policy_role,selected_ref_slew_us,realized_ref_slew_us_in_offline_grid,ref_start_delay_us_for_simulink,delay_mode,offline_objective_score,offline_regret_vs_oracle,offline_undershoot_mV,offline_settle_time_us,offline_skip_count_est,offline_phase_std_ns,online_available_inputs_only,selection_basis,boundary,include_in_priority_run
R027_0017,10A,10.0,30.0,base,0.0,1.0,2,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,80.0,80.0,1.0,commit_after_tau_ai,8.82504576097426,0.08732440142952136,4.63087064829415,34.286,1.0,82.1829076099372,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0018,10A,10.0,30.0,base,0.0,1.0,2,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,84.0,84.0,1.0,commit_after_tau_ai,8.90139622925991,0.1636748697151713,4.63087064829415,37.682,1.0,85.3699169914353,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0019,10A,10.0,30.0,base,0.0,1.0,2,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,92.0,92.0,1.0,commit_after_tau_ai,8.92023820038568,0.18251684084094144,4.60382233665269,40.572,1.0,88.2172335939625,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0020,10A,10.0,30.0,base,0.0,1.0,2,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,70.0,70.0,1.0,commit_after_tau_ai,8.73772135954474,0.0,4.67957001179586,30.79,1.0,75.9411003028226,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0021,10A,10.0,30.0,base,0.0,1.0,2,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,92.0,92.0,1.0,commit_after_tau_ai,8.92023820038568,0.18251684084094144,4.60382233665269,40.572,1.0,88.2172335939625,True,quadratic_vertex; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0022,10A,10.0,30.0,base,0.0,2.0,4,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,9.38514006278445,0.6474187032397101,5.01028636671008,17.534,1.0,91.29556151628,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0023,10A,10.0,30.0,base,0.0,2.0,4,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,8.82504576097426,0.08732440142952136,4.63087064829415,34.286,1.0,82.1829076099372,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0024,10A,10.0,30.0,base,0.0,2.0,4,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,80.0,80.0,2.0,commit_after_tau_ai,8.82504576097426,0.08732440142952136,4.63087064829415,34.286,1.0,82.1829076099372,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0025,10A,10.0,30.0,base,0.0,2.0,4,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,84.0,84.0,2.0,commit_after_tau_ai,8.90139622925991,0.1636748697151713,4.63087064829415,37.682,1.0,85.3699169914353,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0026,10A,10.0,30.0,base,0.0,2.0,4,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,92.0,92.0,2.0,commit_after_tau_ai,8.92023820038568,0.18251684084094144,4.60382233665269,40.572,1.0,88.2172335939625,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0027,10A,10.0,30.0,base,0.0,2.0,4,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,70.0,70.0,2.0,commit_after_tau_ai,8.73772135954474,0.0,4.67957001179586,30.79,1.0,75.9411003028226,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0028,10A,10.0,30.0,base,0.0,2.0,4,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,92.0,92.0,2.0,commit_after_tau_ai,8.92023820038568,0.18251684084094144,4.60382233665269,40.572,1.0,88.2172335939625,True,quadratic_vertex; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0029,10A,10.0,30.0,base,0.0,5.0,10,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,9.38514006278445,0.6474187032397101,5.01028636671008,17.534,1.0,91.29556151628,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0030,10A,10.0,30.0,base,0.0,5.0,10,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,8.82504576097426,0.08732440142952136,4.63087064829415,34.286,1.0,82.1829076099372,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0031,10A,10.0,30.0,base,0.0,5.0,10,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,80.0,80.0,5.0,commit_after_tau_ai,8.82504576097426,0.08732440142952136,4.63087064829415,34.286,1.0,82.1829076099372,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0032,10A,10.0,30.0,base,0.0,5.0,10,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,80.0,80.0,5.0,commit_after_tau_ai,8.82504576097426,0.08732440142952136,4.63087064829415,34.286,1.0,82.1829076099372,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0033,10A,10.0,30.0,base,0.0,5.0,10,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,92.0,92.0,5.0,commit_after_tau_ai,8.92023820038568,0.18251684084094144,4.60382233665269,40.572,1.0,88.2172335939625,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0034,10A,10.0,30.0,base,0.0,5.0,10,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,70.0,70.0,5.0,commit_after_tau_ai,8.73772135954474,0.0,4.67957001179586,30.79,1.0,75.9411003028226,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0035,10A,10.0,30.0,base,0.0,5.0,10,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,92.0,92.0,5.0,commit_after_tau_ai,8.92023820038568,0.18251684084094144,4.60382233665269,40.572,1.0,88.2172335939625,True,quadratic_vertex; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0036,10A,10.0,30.0,score_settle005,0.05,0.0,0,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,10.2618400627844,0.2537619904407986,5.01028636671008,17.534,1.0,91.29556151628,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,True
R027_0037,10A,10.0,30.0,score_settle005,0.05,0.0,0,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,10.5393457609743,0.5312676886306988,4.63087064829415,34.286,1.0,82.1829076099372,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,True
R027_0038,10A,10.0,30.0,score_settle005,0.05,0.0,0,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,50.0,50.0,0.0,commit_after_tau_ai,10.0080780723436,0.0,4.84748739227403,20.5380000000001,1.0,79.7841311007952,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,True
R027_0039,10A,10.0,30.0,score_settle005,0.05,0.0,0,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,62.0,62.0,0.0,commit_after_tau_ai,10.363083552292624,0.355005479949023,4.73912126375797,27.3860000000001,1.0,85.3659235830467,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,True
R027_0040,10A,10.0,30.0,score_settle005,0.05,0.0,0,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,34.0,34.0,0.0,commit_after_tau_ai,10.216964980547816,0.20888690820421552,5.14617078943369,15.2280000000001,1.0,88.0342564174254,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,True
R027_0041,10A,10.0,30.0,score_settle005,0.05,0.0,0,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,50.0,50.0,0.0,commit_after_tau_ai,10.0080780723436,0.0,4.84748739227403,20.5380000000001,1.0,79.7841311007952,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,True
R027_0042,10A,10.0,30.0,score_settle005,0.05,0.0,0,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,36.0,36.0,0.0,commit_after_tau_ai,10.44319103426016,0.435112961916559,5.0918022187646,15.314,1.0,100.557235323066,True,quadratic_vertex; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0043,10A,10.0,30.0,score_settle005,0.05,0.5,1,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,10.2618400627844,0.2537619904407986,5.01028636671008,17.534,1.0,91.29556151628,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,True
