r027_case_id,target_label,target_load_A,load_drop_A,objective,objective_alpha_settle,tau_ai_us,delay_events,event_period_us_assumed,policy,source_policy,policy_kind,policy_role,selected_ref_slew_us,realized_ref_slew_us_in_offline_grid,ref_start_delay_us_for_simulink,delay_mode,offline_objective_score,offline_regret_vs_oracle,offline_undershoot_mV,offline_settle_time_us,offline_skip_count_est,offline_phase_std_ns,online_available_inputs_only,selection_basis,boundary,include_in_priority_run
R027_0073,10A,10.0,30.0,score_settle010,0.1,0.0,0,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30.0,30.0,0.0,commit_after_tau_ai,11.0217091468132,0.4896433099138786,5.25500364116427,10.186,1.0,108.860001837568,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0074,10A,10.0,30.0,score_settle010,0.1,0.0,0,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,32.0,32.0,0.0,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0075,10A,10.0,30.0,score_settle010,0.1,0.0,0,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,32.0,32.0,0.0,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0076,10A,10.0,30.0,score_settle010,0.1,0.0,0,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,32.0,32.0,0.0,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0077,10A,10.0,30.0,score_settle010,0.1,0.0,0,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,20.0,20.0,0.0,commit_after_tau_ai,11.0324775095012,0.5004116726018797,5.74633523237844,10.676,1.0,83.5119725209874,True,quadratic_grid_min; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0078,10A,10.0,30.0,score_settle010,0.1,0.5,1,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,11.1385400627845,0.6064742258851794,5.01028636671008,17.534,1.0,91.29556151628,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0079,10A,10.0,30.0,score_settle010,0.1,0.5,1,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,12.2536457609743,1.7215799240749785,4.63087064829415,34.286,1.0,82.1829076099372,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0080,10A,10.0,30.0,score_settle010,0.1,0.5,1,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30.0,30.0,0.5,commit_after_tau_ai,11.0217091468132,0.4896433099138786,5.25500364116427,10.186,1.0,108.860001837568,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0081,10A,10.0,30.0,score_settle010,0.1,0.5,1,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,32.0,32.0,0.5,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0082,10A,10.0,30.0,score_settle010,0.1,0.5,1,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,32.0,32.0,0.5,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0083,10A,10.0,30.0,score_settle010,0.1,0.5,1,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,32.0,32.0,0.5,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0084,10A,10.0,30.0,score_settle010,0.1,0.5,1,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,20.0,20.0,0.5,commit_after_tau_ai,11.0324775095012,0.5004116726018797,5.74633523237844,10.676,1.0,83.5119725209874,True,quadratic_grid_min; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0085,10A,10.0,30.0,score_settle010,0.1,1.0,2,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,11.1385400627845,0.6064742258851794,5.01028636671008,17.534,1.0,91.29556151628,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0086,10A,10.0,30.0,score_settle010,0.1,1.0,2,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,12.2536457609743,1.7215799240749785,4.63087064829415,34.286,1.0,82.1829076099372,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0087,10A,10.0,30.0,score_settle010,0.1,1.0,2,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30.0,30.0,1.0,commit_after_tau_ai,11.0217091468132,0.4896433099138786,5.25500364116427,10.186,1.0,108.860001837568,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0088,10A,10.0,30.0,score_settle010,0.1,1.0,2,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,32.0,32.0,1.0,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0089,10A,10.0,30.0,score_settle010,0.1,1.0,2,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,32.0,32.0,1.0,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0090,10A,10.0,30.0,score_settle010,0.1,1.0,2,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,32.0,32.0,1.0,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0091,10A,10.0,30.0,score_settle010,0.1,1.0,2,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,20.0,20.0,1.0,commit_after_tau_ai,11.0324775095012,0.5004116726018797,5.74633523237844,10.676,1.0,83.5119725209874,True,quadratic_grid_min; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0092,10A,10.0,30.0,score_settle010,0.1,2.0,4,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,11.1385400627845,0.6064742258851794,5.01028636671008,17.534,1.0,91.29556151628,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0093,10A,10.0,30.0,score_settle010,0.1,2.0,4,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,12.2536457609743,1.7215799240749785,4.63087064829415,34.286,1.0,82.1829076099372,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0094,10A,10.0,30.0,score_settle010,0.1,2.0,4,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30.0,30.0,2.0,commit_after_tau_ai,11.0217091468132,0.4896433099138786,5.25500364116427,10.186,1.0,108.860001837568,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0095,10A,10.0,30.0,score_settle010,0.1,2.0,4,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,32.0,32.0,2.0,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0096,10A,10.0,30.0,score_settle010,0.1,2.0,4,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,32.0,32.0,2.0,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0097,10A,10.0,30.0,score_settle010,0.1,2.0,4,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,32.0,32.0,2.0,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0098,10A,10.0,30.0,score_settle010,0.1,2.0,4,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,20.0,20.0,2.0,commit_after_tau_ai,11.0324775095012,0.5004116726018797,5.74633523237844,10.676,1.0,83.5119725209874,True,quadratic_grid_min; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0099,10A,10.0,30.0,score_settle010,0.1,5.0,10,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,11.1385400627845,0.6064742258851794,5.01028636671008,17.534,1.0,91.29556151628,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0100,10A,10.0,30.0,score_settle010,0.1,5.0,10,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,12.2536457609743,1.7215799240749785,4.63087064829415,34.286,1.0,82.1829076099372,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0101,10A,10.0,30.0,score_settle010,0.1,5.0,10,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30.0,30.0,5.0,commit_after_tau_ai,11.0217091468132,0.4896433099138786,5.25500364116427,10.186,1.0,108.860001837568,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0102,10A,10.0,30.0,score_settle010,0.1,5.0,10,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,32.0,32.0,5.0,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0103,10A,10.0,30.0,score_settle010,0.1,5.0,10,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,32.0,32.0,5.0,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0104,10A,10.0,30.0,score_settle010,0.1,5.0,10,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,32.0,32.0,5.0,commit_after_tau_ai,10.53206583689932,0.0,5.18878165533221,10.158,1.0,88.2482723669349,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0105,10A,10.0,30.0,score_settle010,0.1,5.0,10,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,20.0,20.0,5.0,commit_after_tau_ai,11.0324775095012,0.5004116726018797,5.74633523237844,10.676,1.0,83.5119725209874,True,quadratic_grid_min; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0106,20A,20.0,20.0,base,0.0,0.0,0,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,2.49991606393003,0.3671201381124001,1.19940112760242,0.938000000000024,0.0,43.3359485758766,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0107,20A,20.0,20.0,base,0.0,0.0,0,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0108,20A,20.0,20.0,base,0.0,0.0,0,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,80.0,80.0,0.0,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0109,20A,20.0,20.0,base,0.0,0.0,0,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,86.0,86.0,0.0,commit_after_tau_ai,2.13279592581763,0.0,1.0943598016524,14.404,0.0,30.0147825435648,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0110,20A,20.0,20.0,base,0.0,0.0,0,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,80.0,80.0,0.0,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0111,20A,20.0,20.0,base,0.0,0.0,0,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,66.0,66.0,0.0,commit_after_tau_ai,2.35130696270275,0.2185110368851202,1.11287107294222,0.938000000000024,0.0,40.007102545006,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0112,20A,20.0,20.0,base,0.0,0.0,0,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,80.0,80.0,0.0,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,quadratic_vertex; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0113,20A,20.0,20.0,base,0.0,0.5,1,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,2.49991606393003,0.3671201381124001,1.19940112760242,0.938000000000024,0.0,43.3359485758766,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0114,20A,20.0,20.0,base,0.0,0.5,1,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0115,20A,20.0,20.0,base,0.0,0.5,1,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,80.0,80.0,0.5,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0116,20A,20.0,20.0,base,0.0,0.5,1,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,86.0,86.0,0.5,commit_after_tau_ai,2.13279592581763,0.0,1.0943598016524,14.404,0.0,30.0147825435648,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0117,20A,20.0,20.0,base,0.0,0.5,1,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,80.0,80.0,0.5,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0118,20A,20.0,20.0,base,0.0,0.5,1,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,66.0,66.0,0.5,commit_after_tau_ai,2.35130696270275,0.2185110368851202,1.11287107294222,0.938000000000024,0.0,40.007102545006,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0119,20A,20.0,20.0,base,0.0,0.5,1,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,80.0,80.0,0.5,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,quadratic_vertex; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0120,20A,20.0,20.0,base,0.0,1.0,2,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,2.49991606393003,0.3671201381124001,1.19940112760242,0.938000000000024,0.0,43.3359485758766,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0121,20A,20.0,20.0,base,0.0,1.0,2,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0122,20A,20.0,20.0,base,0.0,1.0,2,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,80.0,80.0,1.0,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0123,20A,20.0,20.0,base,0.0,1.0,2,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,86.0,86.0,1.0,commit_after_tau_ai,2.13279592581763,0.0,1.0943598016524,14.404,0.0,30.0147825435648,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0124,20A,20.0,20.0,base,0.0,1.0,2,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,80.0,80.0,1.0,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0125,20A,20.0,20.0,base,0.0,1.0,2,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,66.0,66.0,1.0,commit_after_tau_ai,2.35130696270275,0.2185110368851202,1.11287107294222,0.938000000000024,0.0,40.007102545006,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0126,20A,20.0,20.0,base,0.0,1.0,2,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,80.0,80.0,1.0,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,quadratic_vertex; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0127,20A,20.0,20.0,base,0.0,2.0,4,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,2.49991606393003,0.3671201381124001,1.19940112760242,0.938000000000024,0.0,43.3359485758766,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0128,20A,20.0,20.0,base,0.0,2.0,4,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0129,20A,20.0,20.0,base,0.0,2.0,4,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,80.0,80.0,2.0,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0130,20A,20.0,20.0,base,0.0,2.0,4,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,86.0,86.0,2.0,commit_after_tau_ai,2.13279592581763,0.0,1.0943598016524,14.404,0.0,30.0147825435648,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0131,20A,20.0,20.0,base,0.0,2.0,4,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,80.0,80.0,2.0,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0132,20A,20.0,20.0,base,0.0,2.0,4,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,66.0,66.0,2.0,commit_after_tau_ai,2.35130696270275,0.2185110368851202,1.11287107294222,0.938000000000024,0.0,40.007102545006,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0133,20A,20.0,20.0,base,0.0,2.0,4,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,80.0,80.0,2.0,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,quadratic_vertex; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0134,20A,20.0,20.0,base,0.0,5.0,10,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,2.49991606393003,0.3671201381124001,1.19940112760242,0.938000000000024,0.0,43.3359485758766,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0135,20A,20.0,20.0,base,0.0,5.0,10,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0136,20A,20.0,20.0,base,0.0,5.0,10,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,80.0,80.0,5.0,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0137,20A,20.0,20.0,base,0.0,5.0,10,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,86.0,86.0,5.0,commit_after_tau_ai,2.13279592581763,0.0,1.0943598016524,14.404,0.0,30.0147825435648,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0138,20A,20.0,20.0,base,0.0,5.0,10,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,80.0,80.0,5.0,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0139,20A,20.0,20.0,base,0.0,5.0,10,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,66.0,66.0,5.0,commit_after_tau_ai,2.35130696270275,0.2185110368851202,1.11287107294222,0.938000000000024,0.0,40.007102545006,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0140,20A,20.0,20.0,base,0.0,5.0,10,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,80.0,80.0,5.0,commit_after_tau_ai,2.27271123170482,0.13991530588719003,1.0943598016524,14.41,0.0,37.1400221295455,True,quadratic_vertex; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0141,20A,20.0,20.0,score_settle005,0.05,0.0,0,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,2.54681606393003,0.1486091012272781,1.19940112760242,0.938000000000024,0.0,43.3359485758766,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0142,20A,20.0,20.0,score_settle005,0.05,0.0,0,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,2.99321123170482,0.595004269002068,1.0943598016524,14.41,0.0,37.1400221295455,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0143,20A,20.0,20.0,score_settle005,0.05,0.0,0,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30.0,30.0,0.0,commit_after_tau_ai,2.49270700467967,0.09450004197691841,1.26719882798709,0.938000000000024,0.0,37.0921617490197,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0144,20A,20.0,20.0,score_settle005,0.05,0.0,0,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,66.0,66.0,0.0,commit_after_tau_ai,2.398206962702752,0.0,1.11287107294222,0.938000000000024,0.0,40.007102545006,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0145,20A,20.0,20.0,score_settle005,0.05,0.0,0,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,66.0,66.0,0.0,commit_after_tau_ai,2.398206962702752,0.0,1.11287107294222,0.938000000000024,0.0,40.007102545006,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0146,20A,20.0,20.0,score_settle005,0.05,0.0,0,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,38.0,38.0,0.0,commit_after_tau_ai,2.4171405398938512,0.01893357719109945,1.21068108454891,0.938000000000024,0.0,36.3447339051344,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0147,20A,20.0,20.0,score_settle005,0.05,0.0,0,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,64.0,64.0,0.0,commit_after_tau_ai,4.827483887102235,2.4292769243994834,1.12582319014076,10.0880000000001,1.0,37.8563112255317,True,quadratic_vertex; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0148,20A,20.0,20.0,score_settle005,0.05,0.5,1,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,2.54681606393003,0.1486091012272781,1.19940112760242,0.938000000000024,0.0,43.3359485758766,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
