t_s,vout_V,iL_A,iload_A,vc_V,on,area_acc
0.0006131,1.0162231128256443,9.369638187297026,10.0,0.008856160868126128,0.0,2.940594913027058e-09
0.0006132,1.016174073049227,8.854699491090095,10.0,0.008859633240521865,0.0,3.3705048148154274e-09
0.0006133,1.0160964368701557,8.34017837329175,10.0,0.008865394938571754,0.0,3.826615481328515e-09
0.0006134000000000001,1.0159902278677424,7.826088808038026,10.0,0.008873444791795896,0.0,4.309134564580054e-09
0.0006135,1.015855470397029,7.312444747012829,10.0,0.008883781567054959,0.0,4.818268898181211e-09
0.0006136000000000001,1.0156921895875308,6.799260119077339,10.0,0.00889640396863137,0.0,5.354224492210456e-09
0.0006137,1.0155004113419592,6.286548829900352,10.0,0.008911310638312074,0.0,5.91720652811017e-09
0.0006138000000000001,1.015280162334924,5.774324761589523,10.0,0.008928500155473062,0.0,6.507419353610017e-09
0.0006139,1.0150314700116143,5.26260177232354,10.0,0.0089479710371655,0.0,7.125066477677317e-09
0.0006140000000000001,1.0148923319896554,10.269510872325645,10.0,0.008959163014064967,1.0,0.0
0.0006141,1.0150505787029975,14.55240098202406,10.0,0.008946520973030708,0.0,3.287358584187131e-11
0.0006142000000000001,1.0152893791055764,14.03409218182337,10.0,0.008926991618714446,0.0,2.1159018429281097e-10
0.0006143,1.0154993920302313,13.516059665944418,10.0,0.008909759669833973,0.0,4.1437974933905957e-10
0.0006144000000000001,1.0156806332121193,12.998317611879234,10.0,0.008894824588332802,0.0,6.414578329698075e-10
0.0006145,1.0158331191735286,12.480880178433111,10.0,0.008882185772779322,0.0,8.930392217175882e-10
0.0006146000000000001,1.0159568672228323,11.963761505345433,10.0,0.008871842558430643,0.0,1.169337931267624e-09
0.0006147,1.016051895453416,11.446975712911332,10.0,0.008863794217298932,0.0,1.4705672010926456e-09
0.0006148000000000001,1.0161182227425871,10.930536901604196,10.0,0.008858039958218837,0.0,1.7969394891132802e-09
0.0006149,1.0161558687504657,10.414459151698962,10.0,0.008854578926916693,0.0,2.148666466384135e-09
0.000615,1.0161648539188524,9.898756522896285,10.0,0.008853410206081498,0.0,2.5259590118057115e-09
0.0006151,1.0161451994700708,9.383443053947543,10.0,0.008854532815437924,0.0,2.9290272068622776e-09
0.0006152,1.0160969274057978,8.868532762280687,10.0,0.008857945711820369,0.0,3.3580803303858434e-09
0.0006153,1.0160200605058687,8.35403964362704,10.0,0.00886364778924909,0.0,3.813326853346308e-09
0.0006154,1.015914622327059,7.839977671648882,10.0,0.008871637879008104,0.0,4.294974433667971e-09
0.0006155,1.0157806372018483,7.326360797567986,10.0,0.008881914749724721,0.0,4.803229911072501e-09
0.0006156,1.0156181302371694,6.81320294979503,10.0,0.008894477107450154,0.0,5.338299301948485e-09
0.0006157000000000001,1.0154271273131188,6.3005180335599364,10.0,0.008909323595743288,0.0,5.900387794247672e-09
0.0006158,1.0152076550816738,5.788319930543123,10.0,0.008926452795754027,0.0,6.489699742408071e-09
0.0006159000000000001,1.0149597409653632,5.27662249850769,10.0,0.008945863226310267,0.0,7.106438662303961e-09
0.000616,1.0148037882948475,9.923798054372678,10.0,0.00895837037119038,1.0,0.0
0.0006161000000000001,1.0149460369153933,14.566953001045261,10.0,0.008947042644722736,0.0,2.30171196996386e-11
0.0006162,1.0151856468855063,14.048685344327827,10.0,0.008927451132293974,0.0,2.010541061675271e-10
0.0006163000000000001,1.0153964716515784,13.530693535892835,10.0,0.008910156823084483,0.0,4.0315578659618595e-10
0.0006164,1.0155785269245199,13.012991752428649,10.0,0.008895159180920952,0.0,6.29537714670875e-10
0.0006165000000000001,1.015731829202329,12.495594151949593,10.0,0.00888245760625888,0.0,8.804146788485775e-10
0.0006166,1.0158563957690443,11.978514873416858,10.0,0.008872051436246803,0.0,1.156000696967141e-09
0.0006167000000000001,1.015952244693673,11.461768036360144,10.0,0.008863939944792315,0.0,1.4565090108798579e-09
0.0006168,1.016019394829105,10.945367740500156,10.0,0.008858122342629303,0.0,1.782152081115616e-09
0.0006169000000000001,1.0160578658109989,10.429328065371937,10.0,0.008854597777387464,0.0,2.1331415815647428e-09
0.000617,1.016067678056653,9.913663069949036,10.0,0.008853365333662992,0.0,2.50968839419067e-09
0.0006171000000000001,1.0160488527638518,9.398386792268521,10.0,0.008854424033091357,0.0,2.9120026037675433e-09
0.0006172,1.01600141190969,8.883513249056858,10.0,0.00885777283442182,0.0,3.3402934926439355e-09
0.0006173,1.0159253782493824,8.369056435356693,10.0,0.008863410633593125,0.0,3.794769535532744e-09
0.0006174,1.0158207753150472,7.855030324154477,10.0,0.008871336263811414,0.0,4.275638394327421e-09
0.0006175,1.0156876274144706,7.341448866008967,10.0,0.008881548495629579,0.0,4.783106912944657e-09
0.0006176,1.0155259596298514,6.828325988680693,10.0,0.008894046037028279,0.0,5.317381112193644e-09
0.0006177,1.0153357978165238,6.315675596762286,10.0,0.008908827533498772,0.0,5.878666184672034e-09
0.0006178000000000001,1.0151171686016596,5.803511571309735,10.0,0.008925891568127368,0.0,6.467166489688722e-09
0.0006179,1.0148700993829523,5.291847769474582,10.0,0.00894523666168139,0.0,7.0830855482135716e-09
0.0006180000000000001,1.0147039301936525,9.699208102643933,10.0,0.008958542153541978,1.0,0.0
0.0006181,1.0148351742087354,14.58256456316957,10.0,0.008948118794651266,0.0,1.6421205448150524e-11
0.0006182000000000001,1.0150756526740192,14.064340400439995,10.0,0.008928460567409417,0.0,1.9378076059165706e-10
0.0006183,1.0152873483388773,13.546391618706496,10.0,0.00891109932931424,0.0,3.951961640257028e-10
0.0006184000000000001,1.0154702768882382,13.028732393812758,10.0,0.00889603454621108,0.0,6.208829715162688e-10
0.0006185,1.0156244547940687,12.511376882942088,10.0,0.008883265620578756,0.0,8.710559738450662e-10
0.0006186000000000001,1.015749899314333,11.994339224238274,10.0,0.008872791891593235,0.0,1.1459291914184314e-09
0.0006187,1.0158466284919179,11.477633536427284,10.0,0.008864612635193824,0.0,1.4457158689016403e-09
0.0006188000000000001,1.015914661153546,10.961273918439748,10.0,0.008858727064150588,0.0,1.7706284698788196e-09
0.0006189,1.0159540169086694,10.44527444903433,10.0,0.00885513432813314,0.0,2.1208786715385095e-09
0.0006190000000000001,1.0159647161483334,9.929649186421878,10.0,0.008853833513782002,0.0,2.4966773593850536e-09
0.0006191,1.0159467800440285,9.414412167890488,10.0,0.008854823644780891,0.0,2.8982346219759444e-09
0.0006192000000000001,1.0159002305465163,8.89957740943133,10.0,0.008858103681931118,0.0,3.3257597456852347e-09
0.0006193,1.0158250903846373,8.385158905365518,10.0,0.008863672523227438,0.0,3.779461209493137e-09
0.0006194,1.015721383064093,7.871170627971667,10.0,0.008871529003936054,0.0,4.259546679801963e-09
0.0006195,1.0155891328662172,7.357626527114462,10.0,0.008881671896673375,0.0,4.766223005278507e-09
0.0006196,1.015428364846716,6.844540529874111,10.0,0.00889409991148757,0.0,5.2996962117229826e-09
0.0006197,1.0152391048343943,6.331926540176681,10.0,0.008908811695940917,0.0,5.8601714969646766e-09
0.0006198,1.015021379429859,5.819798438425363,10.0,0.008925805835194308,0.0,6.4478532257843864e-09
0.0006199,1.0147752160042014,5.308170081132678,10.0,0.008945080852093258,0.0,7.062944924863843e-09
0.00062,1.0146046228050378,9.595638397608022,10.0,0.008958732020469762,1.0,0.0
0.0006201000000000001,1.0147306497593962,14.599116343289147,10.0,0.00894873925679956,0.0,1.3094807208570573e-11
0.0006202,1.0149720488485146,14.080931788901294,10.0,0.008929009985010734,0.0,1.896842255024127e-10
0.0006203000000000001,1.0151846673243252,13.563022125134534,10.0,0.008911577504313102,0.0,3.903204091076446e-10
0.0006204,1.0153685208444936,13.045401527113713,10.0,0.008896441282678656,0.0,6.152189186295504e-10
0.0006205000000000001,1.015523625853685,12.528084151317483,10.0,0.00888360072471662,0.0,8.645945499375876e-10
0.0006206,1.0156499995825203,12.01108413519915,10.0,0.008873055171737351,0.0,1.138661328773972e-09
0.0006207000000000001,1.0157476600465092,11.494415596808405,10.0,0.00886480390181802,0.0,1.4376325053876526e-09
0.0006208,1.0158166260449593,10.9780926344138,10.0,0.008858846129870174,0.0,1.761720549193867e-09
0.0006209000000000001,1.0158569171598677,10.462129326126112,10.0,0.008855181007708858,0.0,2.1111371434593693e-09
0.000621,1.0158685537547936,9.94653972952254,10.0,0.008853807624123206,0.0,2.4860931800134724e-09
0.0006211000000000001,1.015851556973703,9.431337881271721,10.0,0.008854725004949281,0.0,2.8867987539850282e-09
0.0006212,1.015805948739801,8.916537796759656,10.0,0.008857932113143995,0.0,3.3134631585654648e-09
0.0006213000000000001,1.0157317517543374,8.402153469716461,10.0,0.008863427848861143,0.0,3.766294879798019e-09
0.0006214,1.0156289894953927,7.88819887184402,10.0,0.008871211049529055,0.0,4.245501591393291e-09
0.0006215000000000001,1.0154976862166445,7.3746879524445434,10.0,0.008881280489929822,0.0,4.751290149571248e-09
0.0006216,1.0153378669461144,6.861634638050004,10.0,0.008893634882280201,0.0,5.283866587929766e-09
0.0006217,1.0151495574848926,6.349052832052496,10.0,0.008908272876314205,0.0,5.843436112339873e-09
0.0006218,1.0149327844058398,5.836956414335487,10.0,0.008925193059367667,0.0,6.430203095867808e-09
0.0006219,1.0146875750522752,5.325359240906051,10.0,0.008944393956463778,0.0,7.0443710737239875e-09
0.000622,1.0145127391392765,9.49292940821239,10.0,0.00895837611288003,1.0,0.0
0.0006221,1.014633463404319,14.616526275477202,10.0,0.008948820608511794,0.0,9.78366921605945e-12
0.0006222,1.014875830674808,14.098377006695607,10.0,0.008929016303153459,0.0,1.8550603424442638e-10
0.0006223,1.0150894192783972,13.580502117689866,10.0,0.008911508608899858,0.0,3.852659002623524e-10
0.0006224000000000001,1.0152742448443544,13.062915783001932,10.0,0.008896296995946388,0.0,6.092788355464446e-10
0.0006225,1.0154303237889186,12.545632158542174,10.0,0.008883380871128757,0.0,8.57759643888772e-10
0.0006226000000000001,1.0155576733142506,12.028665381210299,10.0,0.008872759577987176,0.0,1.130922359205035e-09
0.0006227,1.01565631140737,11.512029568517008,10.0,0.008864432396831805,0.0,1.428980240168134e-09
0.0006228000000000001,1.0157262568390668,10.995738818206545,10.0,0.008858398544810086,0.0,1.7521457648672938e-09
0.0006229,1.0157675291627888,10.479807207880016,10.0,0.008854657175976206,0.0,2.1006306254928704e-09
0.0006230000000000001,1.0157801487135192,9.964248794619618,10.0,0.008853207381361285,0.0,2.474645723046965e-09
0.0006231,1.0157641366066217,9.449077614613644,10.0,0.00885404818904623,0.0,2.874401162079947e-09
0.0006232000000000001,1.015719514736671,8.93430768278239,10.0,0.008857178564235683,0.0,3.3001062454530557e-09
0.0006233,1.015646305776262,8.419952992404959,10.0,0.008862597409333973,0.0,3.751969469127189e-09
0.0006234000000000001,1.0155445331747956,7.906027514746894,10.0,0.008870303564022488,0.0,4.230198516977973e-09
0.0006235,1.0154142211572474,7.392545198688711,10.0,0.008880295805339087,0.0,4.735000255637302e-09
0.0006236000000000001,1.0152553947229133,6.879519970355366,10.0,0.008892572847758736,0.0,5.2665807293614074e-09
0.0006237,1.0150680796441336,6.366965732746594,10.0,0.008907133343276398,0.0,5.8251451549256355e-09
0.0006238000000000001,1.014852302465,5.854896365368192,10.0,0.008923975881491079,0.0,6.410897916545996e-09
0.0006239,1.0146080905000405,5.343325723864215,10.0,0.008943098989691707,0.0,7.02404256082766e-09
0.000624,1.0144242561970374,9.271058692061231,10.0,0.008957781764249894,1.0,0.0
0.0006241,1.0145330600956846,14.634863743393527,10.0,0.00894920360429737,0.0,3.253178507783396e-12
0.0006242,1.014776447101924,14.11675066008209,10.0,0.008929320220891579,0.0,1.780920495104595e-10
0.0006243,1.0149910574369452,13.598911419246756,10.0,0.008911733263370341,0.0,3.76958708120107e-10
0.0006244,1.0151769067001486,13.081360194842146,10.0,0.008896442204268851,0.0,6.000687310900504e-10
0.0006245000000000001,1.0153340112778755,12.56411114220669,10.0,0.008883446452765814,0.0,8.476369309522212e-10
0.0006246,1.0154623883423557,12.047178397683508,10.0,0.008872745354747847,0.0,1.119877350624868e-09
0.0006247000000000001,1.0155620558506486,11.530576078242113,10.0,0.008864338192874546,0.0,1.4170032580456915e-09
0.0006248,1.0156330325435554,11.014318281100936,10.0,0.008858224186645945,0.0,1.7392271408305082e-09
0.0006249000000000001,1.015675337944506,10.498419083350676,10.0,0.008854402492471799,0.0,2.086760700957589e-09
0.000625,1.015688992358436,9.982892541578504,10.0,0.008852872203741965,0.0,2.459814849477807e-09
0.0006251000000000001,1.0156740168706346,9.467752691493075,10.0,0.00885363235089898,0.0,2.8585997012507036e-09
0.0006252,1.01563043334558,8.953013547550485,10.0,0.008856681901511673,0.0,3.2833245697065913e-09
0.0006253000000000001,1.0155582644257397,8.438689102580991,10.0,0.008862019760351664,0.0,3.7341979616348445e-09
0.0006254,1.0154575335303648,7.924793327416705,10.0,0.008869644769470362,0.0,4.2114275719985055e-09
0.0006255000000000001,1.0153282648542585,7.411340170520118,10.0,0.00887955570827804,0.0,4.715220278775302e-09
0.0006256,1.0151704833665187,6.8983435576135514,10.0,0.008891751293625008,0.0,5.245782137825212e-09
0.0006257000000000001,1.0149842148092685,6.385817391309514,10.0,0.008906230179883772,0.0,5.8033183777847375e-09
0.0006258,1.0147694856963605,5.873775550741975,10.0,0.008922990959033454,0.0,6.388033394987902e-09
0.0006259000000000001,1.0145263233120636,5.3622318911985465,10.0,0.00894203216074541,0.0,7.0001307484142444e-09
