detect_clock_ns,sigma_single_event_delay_ns,sigma_adjacent_spacing_direct_ns,sigma_phase_spacing_m2_model_ns,sigma_current_m2_model_mA
0.25,0.07216878364870323,0.10206207261596577,0.22282774493036053,0.016779079966877143
0.5,0.14433756729740646,0.20412414523193154,0.44565548986072107,0.033558159933754286
1.0,0.2886751345948129,0.4082482904638631,0.8913109797214421,0.06711631986750857
2.0,0.5773502691896258,0.8164965809277261,1.7826219594428843,0.13423263973501715
5.0,1.4433756729740645,2.041241452319315,4.4565548986072105,0.33558159933754284
10.0,2.886751345948129,4.08248290463863,8.913109797214421,0.6711631986750857
