success,error_message,r027_case_id,target_label,objective,policy,candidate_family,objective_alpha_settle,target_load_A,load_drop_A,selected_ref_slew_us,tau_ai_us,delay_events,ref_start_delay_us,selected_objective_score,base_score,score_settle005,score_settle010,undershoot_mV,settle_time_us,skip_count_est,final_phase_spacing_std_ns,final_vout_error_mV,final_il_phase_imbalance_A,dense_success,dense_error_message,dense_r027_case_id,dense_policy,dense_candidate_family,dense_objective_alpha_settle,dense_target_load_A,dense_load_drop_A,dense_selected_ref_slew_us,dense_delay_events,dense_ref_start_delay_us,dense_selected_objective_score,dense_base_score,dense_score_settle005,dense_score_settle010,dense_undershoot_mV,dense_settle_time_us,dense_skip_count_est,dense_final_phase_spacing_std_ns,dense_final_vout_error_mV,dense_final_il_phase_imbalance_A,context_best_slew_us,context_best_score,context_best_family,delta_from_dense_us,abs_delta_from_dense_us,score_margin_vs_dense,regret,skip_extra_vs_dense,settle_extra_vs_dense_us,phase_extra_vs_dense_ns,undershoot_delta_vs_dense_mV,score_safe_eps025,observed_bad_candidate,r032_band_decision,r032_band_reason,r_hat_skip_risk,r_hat_settle_risk,r_hat_phase_risk,r_hat_total_risk,predicted_block,predicted_plant_admissible
1,,R031_0005,20A,base,r031_minimal_candidate,r031_intermediate_candidate,0.0,20,20,82.0,0.5,1,0.5,2.15667289784683,2.15667289784683,2.87697289784683,3.59727289784683,1.03994639868477,14.4060000000001,0,34.0853970496881,-0.435018558168299,0.14389582299442,1,,R027_0115,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,1,0.5,2.04163672310345,2.04163672310345,2.76173672310345,3.48183672310345,1.03994639868477,14.4020000000001,0,28.3602945386385,-0.43448443364591,0.138386052779424,80.0,2.04163672310345,r030_dense_baseline,2.0,2.0,0.11503617474338013,0.11503617474338013,0,0.0039999999999995595,5.725102511049599,0.0,True,False,candidate_only,82/84us expose delay sensitivity but do not replace 80us fallback,0.1,0.3,0.3,0.45,False,False
1,,R031_0006,20A,base,r031_minimal_candidate,r031_intermediate_candidate,0.0,20,20,84.0,0.5,1,0.5,2.18288587535994,2.18288587535994,2.93088587535994,3.67888587535994,1.03994639868477,14.9600000000001,0,35.0362683507282,-0.44221410966061,0.251735868793036,1,,R027_0115,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,1,0.5,2.04163672310345,2.04163672310345,2.76173672310345,3.48183672310345,1.03994639868477,14.4020000000001,0,28.3602945386385,-0.43448443364591,0.138386052779424,80.0,2.04163672310345,r030_dense_baseline,4.0,4.0,0.14124915225648982,0.14124915225648982,0,0.5579999999999998,6.675973812089701,0.0,True,False,candidate_only,82/84us expose delay sensitivity but do not replace 80us fallback,0.1,0.3,0.3,0.45,False,False
1,,R027_0129,20A,base,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,2.0,4,2.0,1.98859649972039,1.98859649972039,2.70919649972039,3.42979649972039,0.991779598240816,14.4120000000001,0,27.9612632901993,-0.437591635675583,0.162659711338407,1,,R027_0129,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,4,2.0,1.98859649972039,1.98859649972039,2.70919649972039,3.42979649972039,0.991779598240816,14.4120000000001,0,27.9612632901993,-0.437591635675583,0.162659711338407,80.0,1.98859649972039,r030_dense_baseline,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,plant_admissible,dense fallback anchor,0.05,0.05,0.05,0.05,False,True
1,,R027_0130,20A,base,calibrated_risk_proxy_projection,r030_original_proxy,0.0,20,20,86.0,2.0,4,2.0,2.17626498373689,2.17626498373689,3.00246498373689,3.82866498373689,0.991779598240816,16.524,0,37.3568951511573,-0.437347482472927,0.157699061990272,1,,R027_0129,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,4,2.0,1.98859649972039,1.98859649972039,2.70919649972039,3.42979649972039,0.991779598240816,14.4120000000001,0,27.9612632901993,-0.437591635675583,0.162659711338407,80.0,1.98859649972039,r030_dense_baseline,6.0,6.0,0.18766848401649994,0.18766848401649994,0,2.1119999999999006,9.395631860958002,0.0,True,False,blocked,86us direct override remains blocked after R031,0.1,0.3,0.3,0.75,True,False
1,,R031_0007,20A,base,r031_minimal_candidate,r031_intermediate_candidate,0.0,20,20,82.0,2.0,4,2.0,2.3091571986528,2.3091571986528,3.13565719865281,3.96215719865281,0.991779598240816,16.5300000000001,0,43.5654655763858,-0.446068288884272,0.216416342746303,1,,R027_0129,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,4,2.0,1.98859649972039,1.98859649972039,2.70919649972039,3.42979649972039,0.991779598240816,14.4120000000001,0,27.9612632901993,-0.437591635675583,0.162659711338407,80.0,1.98859649972039,r030_dense_baseline,2.0,2.0,0.3205606989324099,0.3205606989324099,0,2.1180000000000003,15.604202286186496,0.0,False,True,candidate_only,82/84us expose delay sensitivity but do not replace 80us fallback,0.1,0.3,0.3,0.45,False,False
1,,R031_0008,20A,base,r031_minimal_candidate,r031_intermediate_candidate,0.0,20,20,84.0,2.0,4,2.0,2.1958759343848,2.1958759343848,3.0225759343848,3.8492759343848,0.991779598240816,16.534,0,38.4323375553242,-0.435449585037495,0.275048933341971,1,,R027_0129,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,4,2.0,1.98859649972039,1.98859649972039,2.70919649972039,3.42979649972039,0.991779598240816,14.4120000000001,0,27.9612632901993,-0.437591635675583,0.162659711338407,80.0,1.98859649972039,r030_dense_baseline,4.0,4.0,0.20727943466441023,0.20727943466441023,0,2.1219999999998986,10.471074265124901,0.0,True,False,candidate_only,82/84us expose delay sensitivity but do not replace 80us fallback,0.1,0.3,0.3,0.45,False,False
1,,R027_0136,20A,base,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,5.0,10,5.0,4.06742981026684,4.06742981026684,5.03052981026684,5.99362981026684,0.991779598240816,19.262,1,32.0194385410796,-0.435261441204426,0.220211320039772,1,,R027_0136,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,10,5.0,4.06742981026684,4.06742981026684,5.03052981026684,5.99362981026684,0.991779598240816,19.262,1,32.0194385410796,-0.435261441204426,0.220211320039772,80.0,4.06742981026684,r030_dense_baseline,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,plant_admissible,dense fallback anchor,0.05,0.05,0.05,0.05,False,True
1,,R027_0137,20A,base,calibrated_risk_proxy_projection,r030_original_proxy,0.0,20,20,86.0,5.0,10,5.0,4.21353294792564,4.21353294792564,5.20273294792565,6.19193294792565,0.991779598240816,19.7840000000001,1,39.2301922489596,-0.437149504705636,0.224723481757273,1,,R027_0136,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,10,5.0,4.06742981026684,4.06742981026684,5.03052981026684,5.99362981026684,0.991779598240816,19.262,1,32.0194385410796,-0.435261441204426,0.220211320039772,80.0,4.06742981026684,r030_dense_baseline,6.0,6.0,0.1461031376588,0.1461031376588,0,0.5220000000000979,7.210753707879995,0.0,True,False,blocked,86us direct override remains blocked after R031,0.1,0.3,0.3,0.75,True,False
1,,R031_0009,20A,base,r031_minimal_candidate,r031_intermediate_candidate,0.0,20,20,82.0,5.0,10,5.0,4.33053197893666,4.33053197893666,5.29223197893666,6.25393197893666,0.991779598240816,19.234,1,44.7547873539639,-0.443656633616563,0.250538996565367,1,,R027_0136,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,10,5.0,4.06742981026684,4.06742981026684,5.03052981026684,5.99362981026684,0.991779598240816,19.262,1,32.0194385410796,-0.435261441204426,0.220211320039772,80.0,4.06742981026684,r030_dense_baseline,2.0,2.0,0.2631021686698203,0.2631021686698203,0,-0.027999999999998693,12.735348812884297,0.0,False,False,candidate_only,82/84us expose delay sensitivity but do not replace 80us fallback,0.1,0.3,0.3,0.45,False,False
1,,R031_0010,20A,base,r031_minimal_candidate,r031_intermediate_candidate,0.0,20,20,84.0,5.0,10,5.0,4.06889567589001,4.06889567589001,5.06049567589001,6.05209567589001,0.991779598240816,19.8320000000001,1,32.3657667489227,-0.429800742670738,0.312485791953081,1,,R027_0136,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,10,5.0,4.06742981026684,4.06742981026684,5.03052981026684,5.99362981026684,0.991779598240816,19.262,1,32.0194385410796,-0.435261441204426,0.220211320039772,80.0,4.06742981026684,r030_dense_baseline,4.0,4.0,0.0014658656231700817,0.0014658656231700817,0,0.5700000000000998,0.3463282078431007,0.0,True,False,candidate_only,82/84us expose delay sensitivity but do not replace 80us fallback,0.1,0.3,0.3,0.45,False,False
