case,rho,detection_delay_ns,sigma_area,v_min_after_mV,v_max_after_mV,v_pp_high_mV,v_mean_pre_V,v_mean_high_V,v_mean_post_V,period_mean_us,period_std_ns,pre_period_mean_us,pre_period_std_ns,high_period_mean_us,high_period_std_ns,post_period_mean_us,post_period_std_ns,duty_mean,duty_std,event_count,kp_vc,objective,unconstrained_objective,feasible
rho-0.08_kp0.04_sig0e+00,-0.08,0.0,0.0,-47.40472849868327,41.09487277862045,37.306925796502966,1.0028607395673816,0.9725072242125008,1.03314618445578,2.0309311475409833,44.83176399181243,2.0277333333333334,0.9977753031398529,2.067954022988506,16.609032334244038,1.9804857142857144,11.944805035955948,0.08381036726662618,0.0016350655816007801,393,0.04,86.43589143520596,63.842677610131446,False
rho-0.08_kp0.04_sig8e-12,-0.08,0.0,8e-12,-47.362557759754395,41.14628438625423,37.27131459014088,1.0028357765533462,0.9725081722085815,1.0331608175975848,2.030924590163935,44.875027396631545,2.0277333333333334,2.0483055327675714,2.0679540229885065,16.661544991888235,1.980457142857144,12.062558025660191,0.08381024071288176,0.0016372106788517648,393,0.04,86.77637548509557,63.82107151425609,False
rho-0.08_kp0.08_sig0e+00,-0.08,0.0,0.0,-26.944267949183363,17.970933949168266,15.503972138471212,1.0025256433047731,0.98150860789583,1.014957621443714,2.0331475409836064,30.53889541711535,2.0284827586206893,0.8558395617915628,2.0535454545454557,5.766102139598585,2.007257142857143,3.2806171644337914,0.08369113933246564,0.0011107376385610403,393,0.08,43.24033486589777,34.13264152885067,False
rho-0.08_kp0.08_sig8e-12,-0.08,0.0,8e-12,-26.94480831570423,17.960264629004243,15.497806322363417,1.0025099534854434,0.9815091098414258,1.0149617113538054,2.0331475409836064,30.60281572043358,2.028413793103448,2.1256600010193183,2.0535454545454543,6.020625705379647,2.007199999999999,3.77056267115908,0.0836910073647043,0.0011135319022785993,393,0.08,43.767066979540786,34.12891416730593,False
rho-0.08_kp0.12_sig0e+00,-0.08,0.0,0.0,-18.766823140577426,10.414402380696242,8.85225834753589,1.0020501535677169,0.9861970354914289,1.0087225985369395,2.032845901639344,30.789063279510096,2.029448275862069,0.8938952687449874,2.0450681818181824,2.937978025111168,2.0175652173913043,1.5555255495612792,0.08369045451986479,0.00111695522624937,393,0.12,28.08786020275499,22.932584092855922,True
rho-0.08_kp0.12_sig8e-12,-0.08,0.0,8e-12,-18.783841052985363,10.423880404315966,8.877281243178437,1.0020436093767169,0.9861967279350392,1.0087275536463094,2.0328459016393445,30.91997907751833,2.0293793103448277,2.0411929085440454,2.0450909090909093,3.566371862893806,2.0175652173913043,2.3061245543018143,0.08369038819286434,0.0011222294699218059,393,0.12,28.832738326306036,22.95339321471175,True
rho-0.08_kp0.16_sig0e+00,-0.08,0.0,0.0,-14.448295900999607,7.033453816277069,5.881785759105251,1.001703081063957,0.9889978953735028,1.0058448716550283,2.0322032786885247,34.1698456230914,2.0301379310344827,0.8992003317529859,2.039886363636363,1.8915591103020881,2.0225507246376826,1.0705034963785494,0.08371220201074249,0.0012392499214266416,393,0.16,20.776409138100707,17.261677427510435,True
rho-0.08_kp0.16_sig8e-12,-0.08,0.0,8e-12,-14.451553581825927,7.0102199079389305,5.88590942808076,1.0016939855718325,0.9889966203407671,1.0058483995769478,2.0322098360655736,34.316681910553136,2.0300689655172417,2.318308457098332,2.0399090909090907,2.778310325445456,2.0225507246376826,2.039723140375315,0.08371195943530343,0.0012451828700034305,393,0.16,21.72118624977995,17.2556415450015,False
rho-0.08_kp0.24_sig0e+00,-0.08,0.0,0.0,-10.170706207366266,4.21713624965081,3.476062983053474,1.0012470223559964,0.9921733702848156,1.0032936080101444,2.031055737704918,42.198595752372725,2.0310344827586215,0.9994052928431003,2.0338636363636367,1.2356615653689869,2.027188405797102,0.9820912664400328,0.08376412384672278,0.0015545576724338842,393,0.24,14.163920109196155,11.85756070722659,True
rho-0.08_kp0.24_sig8e-12,-0.08,0.0,8e-12,-10.172990111472435,4.234081074425466,3.4880938965099473,1.0012401674659044,0.9921726846688775,1.003298425348116,2.031055737704918,42.30196106212788,2.03096551724138,2.5526559342494486,2.0338636363636367,2.389283927448081,2.027188405797102,1.9947420909084024,0.08376385845022372,0.0015585611922379467,393,0.24,15.336214000313946,11.866622541242622,False
