tag,success,error_message,load_A,Rload_ohm,Iph_ref_A,Lambda_area,Lambda_m2,Lambda_m2_ratio,Varea_bias,Ri_area,vout_mean_V,vout_error_mV,vout_ripple_pp_mV,il1_mean_A,il2_mean_A,il3_mean_A,il4_mean_A,il_total_mean_A,load_error_A,il_phase_imbalance_A,il_m2_projection_A,qh_frequency_mean_Hz,qh_frequency_spread_Hz,trigger_frequency_Hz,phase_spacing_mean_ns,phase_spacing_std_ns,phase_sequence_error_fraction
load_20A_m2_000,1,,20,0.05,5,6e-10,0,0,0.002,0.0005,0.999566556176815,-0.433443823184887,0.901785484152207,4.97258332440005,5.01821517174496,5.02082557042719,4.97327125723904,19.9848953238112,-0.0151046761887557,0.0482422460271419,0.000480616460810879,469032.857638401,233.73102930485,1876882.64983172,532.793893129745,35.5981597554865,0
load_20A_m2_040,1,,20,0.05,5,6e-10,2.4e-10,0.4,0.002,0.0005,0.999201278287786,-0.798721712213846,0.818166547932986,5.0045316126006,4.96725529885545,5.00206530724532,5.01528692219758,19.9891391408989,-0.0108608591010508,0.0480316233421272,0.00601367469822178,469197.4796346,290.635824659897,1877227.75378627,532.707692307719,52.5244049818896,0
load_30A_m2_000,1,,30,0.0333333333333333,7.5,6e-10,0,0,0.002,0.0005,0.999528711833594,-0.471288166406181,0.955964996652514,7.57381668015356,7.44318156909189,7.50749717428104,7.47190448575747,29.996399909284,-0.00360009071603073,0.130635111061674,0.0415569498963113,486066.326239184,902.111974567641,1944248.13383777,514.548148148123,38.730909315253,0
load_30A_m2_040,1,,30,0.0333333333333333,7.5,6e-10,2.4e-10,0.4,0.002,0.0005,0.999160317883316,-0.839682116683949,0.913887268338964,7.46124411439822,7.52742136929185,7.5080557712217,7.47015412191671,29.9668753768285,-0.0331246231715205,0.0661772548936312,-0.00706890139716121,485544.076370427,300.049307842797,1943107.28847948,514.651851851877,45.779373332031,0
load_40A_m2_000,1,,40,0.025,10,6e-10,0,0,0.002,0.0005,0.999499497778536,-0.500502221464028,0.987025601221325,9.95479513524582,9.98491716555622,9.99221221528727,10.0352426952311,39.9671672113204,-0.0328327886796131,0.0804475599852523,-0.0182881275635509,499908.1404495,323.491386695299,2000831.40894212,499.798561151104,29.5436023021292,0
load_40A_m2_040,1,,40,0.025,10,6e-10,2.4e-10,0.4,0.002,0.0005,0.999102479520709,-0.897520479290925,0.865160183195268,10.0066930970951,9.94062379726324,9.96695752336189,10.0424163993953,39.9566908171156,-0.0433091828844496,0.101792602132063,-0.00234739405038198,499368.488878057,293.375136717921,1997233.03092153,500.705035971248,30.3924683317958,0
load_50A_m2_000,1,,50,0.02,12.5,6e-10,0,0,0.002,0.0005,0.999383318088993,-0.616681911006611,1.19281860029874,12.4636986616408,12.452970957812,12.5430975295292,12.5006958528293,49.9604630018112,-0.0395369981887583,0.0901265717172048,0.0132823451321853,514410.912270039,378.004292580183,2057198.75704904,486.097902097926,13.1941586224556,0
load_50A_m2_040,1,,50,0.02,12.5,6e-10,2.4e-10,0.4,0.002,0.0005,0.999014874927658,-0.985125072342163,0.982517057242505,12.471905762802,12.4768007005245,12.5231421922013,12.48071793316,49.9525665886878,-0.0474334113121699,0.0512364293993297,0.00938233032971247,514012.127540522,127.457530405489,2056121.78124488,486.352112676032,11.2215783274249,0
