success,error_message,r027_case_id,target_label,objective,policy,objective_alpha_settle,target_load_A,load_drop_A,selected_ref_slew_us,tau_ai_us,delay_events,ref_start_delay_us,selected_objective_score,undershoot_mV,settle_time_us,skip_count_est,final_phase_spacing_std_ns,final_vout_error_mV,evidence_source,source_priority,load_drop_norm,dense_slew_us,candidate_minus_dense_us,qphi_center_us,candidate_minus_qphi_center_us,context_best_score,context_regret,near_best_label,skip_risk_label,settling_risk_label,phase_risk_label,unsafe_label,rhat_label_vector
True,,R034_0004,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,54.0,1.0,2,1.0,4.38576750221697,1.0220398313967,0.938000000000024,1,43.9465765160664,-0.437896140498939,R034_full_transition,1,0.5,30.0,24.0,38.0,16.0,2.22102661291168,2.16474088930529,0,1,0,0,1,"skip=1,settle=0,phase=0"
True,,R034_0005,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,58.0,1.0,2,1.0,4.47157141718475,1.0220398313967,0.938000000000024,1,47.87589777155,-0.445113630357041,R034_full_transition,1,0.5,30.0,28.0,38.0,20.0,2.22102661291168,2.25054480427307,0,1,0,0,1,"skip=1,settle=0,phase=0"
True,,R027_0158,20A,score_settle005,calibrated_risk_proxy_projection,0.05,20,20,66.0,1.0,2,1.0,2.87127449305964,1.00107392878601,11.69,0,41.9267916246662,-0.447164731780303,R031_minimal_dense_inclusive,3,0.5,30.0,36.0,38.0,28.0,2.22102661291168,0.6502478801479601,0,0,1,0,1,"skip=0,settle=1,phase=0"
True,,R036_0001,20A,score_settle005,r036_dense_fallback_pair,0.05,20,20,30.0,1.25,3,1.25,4.98873558845283,1.05338832954927,0.938000000000024,1,70.1019665509665,-0.486407927884236,R036_dense_pair,0,0.5,30.0,0.0,46.0,-16.0,2.1458679818901,2.84286760656273,0,1,0,1,1,"skip=1,settle=0,phase=1"
True,,R034_0006,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,38.0,1.25,3,1.25,2.33513547839354,1.00107392878601,0.938000000000024,0,42.3724978191609,-0.439711593224312,R036_dense_pair,0,0.5,30.0,8.0,46.0,-8.0,2.1458679818901,0.1892674965034402,1,0,0,0,0,"skip=0,settle=0,phase=0"
True,,R034_0007,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,46.0,1.25,3,1.25,2.1458679818901,1.00107392878601,0.938000000000024,0,32.9599564653042,-0.438694923798,R036_dense_pair,0,0.5,30.0,16.0,46.0,0.0,2.1458679818901,0.0,1,0,0,0,0,"skip=0,settle=0,phase=0"
True,,R034_0008,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,50.0,1.25,3,1.25,4.71402088199863,1.00107392878601,10.062,1,38.7730474227931,-0.434386004756759,R036_dense_pair,0,0.5,30.0,20.0,46.0,4.0,2.1458679818901,2.5681529001085304,0,1,1,0,1,"skip=1,settle=1,phase=0"
True,,R034_0009,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,54.0,1.25,3,1.25,3.1397379481676,1.00107392878601,10.0600000000001,0,58.7305928777343,-0.461052161826903,R036_dense_pair,0,0.5,30.0,24.0,46.0,8.0,2.1458679818901,0.9938699662775003,0,0,1,1,1,"skip=0,settle=1,phase=1"
True,,R034_0010,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,58.0,1.25,3,1.25,2.84642417958964,1.00107392878601,10.0600000000001,0,44.9226495710375,-0.443897259382875,R036_dense_pair,0,0.5,30.0,28.0,46.0,12.0,2.1458679818901,0.70055619769954,0,0,1,0,1,"skip=0,settle=1,phase=0"
True,,R032_0022,20A,score_settle005,r032_delay_band_candidate,0.05,20,20,30.0,1.5,3,1.5,4.31207805266154,0.991779598240816,0.938000000000024,1,41.7665469546674,-0.438067515327378,R033_delay_boundary,2,0.5,30.0,0.0,50.0,-20.0,2.14124057585513,2.1708374768064096,0,1,0,0,1,"skip=1,settle=0,phase=0"
