omega_over_pi,amp_area,sim_wait_amp_ns,sim_wait_phase_deg,static_he_wait_amp_ns,static_he_amp_error_pct,wait_offset_ns,vout_amp_mV,vout_phase_deg,vout_offset_V,gain_wait_ns_per_1e13_area
0.002,4e-13,0.04796006026208104,-74.64969253018434,0.17132205582024354,257.21818297150253,3.042925686384048e-05,0.10316397270542312,103.40828560932142,0.9999873599086606,0.01199001506552026
0.004,4e-13,0.020153935438612155,-79.45102254944918,0.17132205582024354,750.0675034019121,1.5832686142894323e-05,0.0527522466709799,95.76541323118109,0.9999873857870858,0.005038483859653039
0.006,4e-13,0.008675422900547559,-75.88378640981787,0.17132205582024354,1874.7977451269883,1.0605174220854089e-05,0.03530303351748448,92.69453519318084,0.999987395687403,0.0021688557251368897
0.008,4e-13,0.002123041669158217,-32.63580823783122,0.17132205582024354,7969.651119385354,0.00023475057011004174,0.026447980543961806,90.8442592185884,0.9999869383658736,0.0005307604172895543
0.01,4e-13,0.004747966125723873,66.70176735505933,0.17132205582024354,3508.3251498371596,0.0001879594651058289,0.02119277479170317,89.46709513907443,0.9999870336526553,0.0011869915314309683
0.015,4e-13,0.01536641063710416,79.17608894479551,0.17132205582024354,1014.9126485437307,0.0001254978282687681,0.014092763136096965,86.76083705502863,0.999987160890846,0.00384160265927604
0.02,4e-13,0.024366951164653056,79.16076149118176,0.17132205582024354,603.0918831928593,9.412962023459177e-05,0.010528178630885792,84.55747661005822,0.9999872248171928,0.006091737791163264
0.03,4e-13,0.04033678636529195,76.39451061866488,0.17132205582024354,324.7290655947216,6.268667327024339e-05,0.006935912683681629,80.68174573587046,0.9999872889083428,0.010084196591322987
0.04,4e-13,0.054857107534357956,72.98181976533604,0.17132205582024354,212.30603201771365,4.696172578860645e-05,0.00511721460710404,77.17903385579697,0.9999873209716998,0.013714276883589489
0.05,4e-13,0.06830474103546527,69.49749038979604,0.17132205582024354,150.82015277869147,3.751686625801127e-05,0.004011335023247149,73.89771609525764,0.9999873402370926,0.017076185258866318
0.07,4e-13,0.09223273014843174,62.79020371410977,0.17132205582024354,85.74973932196517,2.6719789509450566e-05,0.0027235352612240264,67.95658696366837,0.9999873622755618,0.023058182537107935
0.1,4e-13,0.12103684919639156,53.874823297925126,0.17132205582024354,41.54536982556476,1.8615190152017647e-05,0.0017360358004127941,60.5106991971096,0.9999873788417438,0.03025921229909789
0.13,4e-13,0.14240385943610173,46.459703962646934,0.17132205582024354,20.30717179903243,1.4243400288537186e-05,0.0012028702346408863,54.69162190642855,0.9999873877942819,0.03560096485902543
0.16,4e-13,0.15799656270008788,40.38640079263225,0.17132205582024354,8.434039888228684,1.150115740481776e-05,0.0008776194254384529,50.263321524735396,0.9999873934178254,0.03949914067502197
0.2,4e-13,0.17246684973689377,33.959066667871795,0.17132205582024354,-0.6637762088173238,9.110987394863256e-06,0.0006099987215922768,46.04176099637824,0.9999873983241913,0.04311671243422344
0.25,4e-13,0.1840839928598423,27.889823465439456,0.17132205582024354,-6.932670701746146,7.168860630053998e-06,0.0004136951951087827,42.70023078652271,0.9999874023122938,0.04602099821496058
0.3,4e-13,0.19146242668884322,23.319975023676523,0.17132205582024354,-10.519228872686847,5.858325856963939e-06,0.00029618294698506017,40.78371453741328,0.9999874050029885,0.047865606672210806
0.35,4e-13,0.19638409207408378,19.76971941440198,0.17132205582024354,-12.76174459405085,4.913669393124117e-06,0.00022084071567984712,39.77060334569205,0.9999874069412157,0.049096023018520944
0.4,4e-13,0.19985892708520717,16.94648883281109,0.17132205582024354,-14.278507185619638,4.214325395169877e-06,0.00016987469301617622,39.328743904280415,0.9999874083744599,0.04996473177130179
0.5,4e-13,0.26665665249377085,0.045700638081121764,0.17132205582024354,-35.75181634583608,2.5779347625351226e-05,0.0001402954195674566,26.517324519587543,0.9999873649911022,0.06666416312344271
0.6,4e-13,0.20543638327883373,8.900075713725627,0.17132205582024354,-16.60578662557919,1.979120926243822e-06,7.169274048759143e-05,38.078926476161755,0.999987412959974,0.051359095819708434
0.7,4e-13,0.20694869131629734,6.335432789324461,0.17132205582024354,-17.21520212060803,1.4123787298738685e-06,5.002024039716616e-05,35.89036326680297,0.9999874141161998,0.051737172829074335
0.8,4e-13,0.20777957613197828,4.101346772034722,0.17132205582024354,-17.546248284084232,8.891273103686741e-07,3.605951837078378e-05,30.06951157336444,0.9999874151836734,0.05194489403299457
0.85,4e-13,0.2080370013297219,3.0786944461754104,0.17132205582024354,-17.648276640600148,6.436449005831635e-07,3.121616027231652e-05,25.051220498234624,0.9999874156840053,0.05200925033243047
