success,error_message,r029_case_id,target_label,objective,policy,policy_family,online_available_inputs_only,objective_alpha_settle,target_load_A,load_drop_A,selected_ref_slew_us,tau_ai_us,delay_events_at_0p5us,ref_start_delay_us,selection_basis,heldout_reason,vout_initial_V,vout_peak_V,vout_min_V,overshoot_mV,undershoot_mV,t_peak_us,settle_time_us,first_gate_edge_us,max_gate_gap_us,skip_count_est,final_vout_error_mV,final_il1_mean_A,final_il2_mean_A,final_il3_mean_A,final_il4_mean_A,final_il_total_mean_A,final_load_error_A,final_il_phase_imbalance_A,final_il_m2_projection_A,final_phase_spacing_mean_ns,final_phase_spacing_std_ns,final_phase_sequence_error_fraction,base_score,score_settle005,score_settle010,selected_objective_score,switching_regret_vs_best_in_context
1,,R029_0013,near0A,score_settle010,r028_dense_anchor,dense_anchor,1,0.1,0.001,39.999,30,0,0,0,dense/proxy action; R028 guard keeps this once delay exists,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.98840809952131,6.81664966986206,11.5919004786901,1.49800000000006,14.796,4.18200000000351,1.45400000000002,2,-0.560538190342741,0.0101943081511316,-0.0346931355496013,0.0695281839319782,-0.0381572567775425,0.00687209975596598,0.00587209975596598,0.107685440709521,0.0381432211025634,594.969696969905,107.601256046834,0,18.3044637899695,19.0442637899695,19.7840637899695,19.7840637899695,0.234757295989073
1,,R029_0014,near0A,score_settle010,r028_guarded_candidate,guarded_candidate,1,0.1,0.001,39.999,35,0,0,0,R028 zero-delay recovery guard action,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.988907379542249,6.81664966986206,11.0926204577509,1.49800000000006,19.444,4.16400000000349,1.67600000000004,2,-0.557119158390962,-0.19555680167411,-0.158212910606564,0.159456776289154,0.205166121129863,0.010853185138342,0.00985318513834205,0.400722922803973,-0.0207633089770637,593.5,103.952842906669,0,17.7287964742753,18.7009964742753,19.6731964742753,19.6731964742753,0.123889980294884
1,,R029_0015,near0A,score_settle010,fine_sweep_38us_probe,heldout_probe,1,0.1,0.001,39.999,38,0,0,0,R024 fine-sweep local comparator,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.989037589500378,6.81664966986206,10.9624104996224,1.49800000000006,21.702,4.15600000000353,1.67199999999998,2,-0.553701959433051,-0.203066490856251,0.0359845273358599,0.104815560780537,0.0159047135217805,-0.046361689218073,-0.047361689218073,0.307882051636788,-0.0375350427333385,589.1875,93.1497017462465,0,17.3791064939804,18.4642064939804,19.5493064939804,19.5493064939804,0
1,,R029_0016,near0A,score_settle010,r028_dense_anchor,dense_anchor,1,0.1,0.001,39.999,30,0.25,0,0.25,dense/proxy action; R028 guard keeps this once delay exists,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.988842234555797,6.81664966986206,11.1577654442028,1.49800000000006,14.424,4.1680000000035,1.82000000000003,3,-0.556844159728787,-0.223881410584247,0.00853536815435094,0.0321723775872003,0.15958854433863,-0.0235851205040657,-0.0245851205040657,0.383469954922876,-0.0899582363725067,592.909090909299,109.040234442133,0,19.8954142927742,20.6166142927742,21.3378142927742,21.3378142927742,0.00259376157784885
1,,R029_0017,near0A,score_settle010,near_opt_35us_probe,heldout_probe,1,0.1,0.001,39.999,35,0.25,0,0.25,near-opt comparator near the zero-delay guard,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.98910265445508,6.81664966986206,10.8973455449204,1.49800000000006,19.304,4.15200000000352,1.80599999999998,3,-0.555255123216747,-0.241486366404686,0.0242711304384827,0.0604099214373442,0.131822806084116,-0.0249825084447434,-0.0259825084447434,0.373309172488802,-0.0842925953724851,594.18181818161,98.5753057781803,0,19.4241067837007,20.3893067837007,21.3545067837007,21.3545067837007,0.0192862525043829
1,,R029_0018,near0A,score_settle010,fine_sweep_38us_probe,heldout_probe,1,0.1,0.001,39.999,38,0.25,0,0.25,R024 fine-sweep local comparator,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.989232704270606,6.81664966986206,10.7672957293942,1.49800000000006,19.4460000000001,4.1440000000035,1.804,3,-0.564862592600912,-0.156725859006053,-0.0296577451807888,0.0460964864275686,0.0799155409536183,-0.0603715768056544,-0.0613715768056544,0.236641399959671,-0.0402217920878284,589.333333333124,102.923110460064,0,19.3906205311964,20.3629205311964,21.3352205311964,21.3352205311964,0
1,,R029_0019,near0A,score_settle010,r028_dense_anchor,dense_anchor,1,0.1,0.001,39.999,30,0.5,1,0.5,dense/proxy action; R028 guard keeps this once delay exists,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.989070125314004,6.81664966986206,10.9298746859956,1.49800000000006,14.3580000000001,4.1540000000035,1.33799999999998,2,-0.545887397149447,-0.155954274138663,-0.0999249454512438,0.156170038340693,0.0908596897173453,-0.00884949153186855,-0.00984949153186855,0.312124312479356,0.00232025498398214,593.375000000215,93.4740778284929,0,17.3452436397149,18.0631436397149,18.7810436397149,18.7810436397149,0
1,,R029_0020,near0A,score_settle010,near_opt_35us_probe,heldout_probe,1,0.1,0.001,39.999,35,0.5,1,0.5,near-opt comparator near the zero-delay guard,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.98924703972337,6.81664966986206,10.7529602766298,1.49800000000006,19.452,4.13938634033284,1.58200000000344,2,-0.547472896780699,-0.0940416080429951,-0.0679197032542045,0.0993193232983973,0.0612300795145257,-0.00141190848427659,-0.00241190848427659,0.193360931341392,0.00299183474877028,595.939393939394,95.6379695098853,0,17.2131925636082,18.1857925636082,19.1583925636082,19.1583925636082,0.377348923893255
1,,R029_0021,near0A,score_settle010,fine_sweep_38us_probe,heldout_probe,1,0.1,0.001,39.999,38,0.5,1,0.5,R024 fine-sweep local comparator,tests whether the near0A zero-delay 35us guard persists under small delay,0.99951236273925,1.00681664966986,0.989136881734205,6.81664966986206,10.8631182657946,1.49800000000006,21.7800000000001,4.13400000000351,1.67,2,-0.549096453981157,-0.0551924875443616,-0.108885614388378,0.0919474772843997,0.0736717973028331,0.00154117265449352,0.000541172654493522,0.200833091672777,0.0179922017063956,594.848484848484,87.1995273819491,0,17.1562052674147,18.2452052674147,19.3342052674147,19.3342052674147,0.553161627699794
