controller_mode,base_load_A,target_load_A,ref_slew_us,time_us,vout_V
dynamic_refslew,40,20,20,-11.92,0.999572816434274
dynamic_refslew,40,20,20,-11.836,0.999874831076243
dynamic_refslew,40,20,20,-11.75,0.999729980743601
dynamic_refslew,40,20,20,-11.666,0.999571644246875
dynamic_refslew,40,20,20,-11.58,0.999388029715521
dynamic_refslew,40,20,20,-11.4959999999999,0.999193348400188
dynamic_refslew,40,20,20,-11.4099999999999,0.999458357371615
dynamic_refslew,40,20,20,-11.326,0.99975578409565
dynamic_refslew,40,20,20,-11.24,0.999684629401005
dynamic_refslew,40,20,20,-11.156,0.999523347529862
dynamic_refslew,40,20,20,-11.07,0.999336732977823
dynamic_refslew,40,20,20,-10.9859999999999,0.999290675020735
dynamic_refslew,40,20,20,-10.8999999999999,0.999574610767629
dynamic_refslew,40,20,20,-10.816,0.99980901994871
dynamic_refslew,40,20,20,-10.73,0.999661999542923
dynamic_refslew,40,20,20,-10.646,0.999497641844247
dynamic_refslew,40,20,20,-10.56,0.999307893901274
dynamic_refslew,40,20,20,-10.476,0.999419360355243
dynamic_refslew,40,20,20,-10.39,0.999719250073355
dynamic_refslew,40,20,20,-10.306,0.999811207287807
dynamic_refslew,40,20,20,-10.22,0.999661223887218
dynamic_refslew,40,20,20,-10.1359999999999,0.999493661356575
dynamic_refslew,40,20,20,-10.0499999999999,0.999300648145847
dynamic_refslew,40,20,20,-9.96399999999995,0.999322678675459
dynamic_refslew,40,20,20,-9.87999999999998,0.999602229038607
dynamic_refslew,40,20,20,-9.79399999999998,0.999768018428308
dynamic_refslew,40,20,20,-9.70999999999996,0.9996182799794
dynamic_refslew,40,20,20,-9.62399999999996,0.999443424913005
dynamic_refslew,40,20,20,-9.53999999999994,0.999251690301839
dynamic_refslew,40,20,20,-9.45399999999994,0.999434496817921
dynamic_refslew,40,20,20,-9.36999999999997,0.999729725342998
dynamic_refslew,40,20,20,-9.28399999999997,0.999750858986979
dynamic_refslew,40,20,20,-9.19999999999995,0.999598022053724
dynamic_refslew,40,20,20,-9.11399999999995,0.999420010402319
dynamic_refslew,40,20,20,-9.02999999999999,0.999293250942793
dynamic_refslew,40,20,20,-8.94399999999993,0.999574787720329
dynamic_refslew,40,20,20,-8.85999999999997,0.999885547894256
dynamic_refslew,40,20,20,-8.77399999999997,0.9997555543044
dynamic_refslew,40,20,20,-8.68999999999995,0.999599491780723
dynamic_refslew,40,20,20,-8.60399999999995,0.999418193601645
dynamic_refslew,40,20,20,-8.51999999999998,0.99923368090896
dynamic_refslew,40,20,20,-8.43399999999998,0.999505144104002
dynamic_refslew,40,20,20,-8.34999999999996,0.999806113707438
dynamic_refslew,40,20,20,-8.26399999999996,0.999727957531129
dynamic_refslew,40,20,20,-8.17999999999994,0.999569007725196
dynamic_refslew,40,20,20,-8.09399999999994,0.99938476835669
dynamic_refslew,40,20,20,-8.00999999999997,0.999352700967883
dynamic_refslew,40,20,20,-7.92399999999997,0.999640399035653
dynamic_refslew,40,20,20,-7.83799999999997,0.999874917900859
dynamic_refslew,40,20,20,-7.75399999999995,0.99973501411445
dynamic_refslew,40,20,20,-7.66799999999995,0.999570177070061
dynamic_refslew,40,20,20,-7.58399999999999,0.999388177930203
dynamic_refslew,40,20,20,-7.49799999999993,0.999180457627746
dynamic_refslew,40,20,20,-7.41399999999997,0.999321777839469
dynamic_refslew,40,20,20,-7.32799999999997,0.999609346746549
dynamic_refslew,40,20,20,-7.24399999999995,0.999643436245598
dynamic_refslew,40,20,20,-7.15799999999995,0.999475839775949
dynamic_refslew,40,20,20,-7.07399999999998,0.999291160204353
dynamic_refslew,40,20,20,-6.98799999999998,0.999126985054042
dynamic_refslew,40,20,20,-6.90399999999996,0.999387964565511
dynamic_refslew,40,20,20,-6.81799999999996,0.999691852342972
dynamic_refslew,40,20,20,-6.73399999999994,0.999576201052722
dynamic_refslew,40,20,20,-6.64799999999994,0.999405713892619
dynamic_refslew,40,20,20,-6.56399999999997,0.999218225818654
dynamic_refslew,40,20,20,-6.47799999999997,0.999207316860966
dynamic_refslew,40,20,20,-6.39399999999995,0.999484153375641
dynamic_refslew,40,20,20,-6.30799999999995,0.999680829452993
dynamic_refslew,40,20,20,-6.22399999999999,0.999532406738892
dynamic_refslew,40,20,20,-6.13799999999993,0.999358893976985
dynamic_refslew,40,20,20,-6.05399999999997,0.999168465803566
dynamic_refslew,40,20,20,-5.96799999999997,0.99931688110278
dynamic_refslew,40,20,20,-5.88199999999997,0.999616805259096
dynamic_refslew,40,20,20,-5.79799999999995,0.999662642688136
dynamic_refslew,40,20,20,-5.71199999999995,0.999507251409909
dynamic_refslew,40,20,20,-5.62799999999998,0.999334435205383
dynamic_refslew,40,20,20,-5.54199999999998,0.999182210245058
dynamic_refslew,40,20,20,-5.45799999999996,0.999454920740147
dynamic_refslew,40,20,20,-5.37199999999996,0.999770759656468
dynamic_refslew,40,20,20,-5.28799999999994,0.999666579139948
dynamic_refslew,40,20,20,-5.20199999999994,0.999507908563573
dynamic_refslew,40,20,20,-5.11799999999997,0.999331904723969
dynamic_refslew,40,20,20,-5.03199999999998,0.999332580261044
dynamic_refslew,40,20,20,-4.94799999999995,0.999620772749955
dynamic_refslew,40,20,20,-4.86199999999995,0.999828908552722
dynamic_refslew,40,20,20,-4.77799999999993,0.99969171424226
dynamic_refslew,40,20,20,-4.69199999999993,0.99952963870578
dynamic_refslew,40,20,20,-4.60799999999997,0.999350324668649
dynamic_refslew,40,20,20,-4.52199999999997,0.999291160463491
dynamic_refslew,40,20,20,-4.43799999999995,0.999569422470808
dynamic_refslew,40,20,20,-4.35199999999995,0.999823540998508
dynamic_refslew,40,20,20,-4.26799999999998,0.999682505288889
dynamic_refslew,40,20,20,-4.18199999999998,0.999517202530391
dynamic_refslew,40,20,20,-4.09799999999996,0.999334751735394
dynamic_refslew,40,20,20,-4.01199999999996,0.99937459954483
dynamic_refslew,40,20,20,-3.92599999999996,0.99966899206449
dynamic_refslew,40,20,20,-3.84199999999994,0.999823855846526
dynamic_refslew,40,20,20,-3.75599999999994,0.999676600302945
dynamic_refslew,40,20,20,-3.67199999999997,0.999511689067697
dynamic_refslew,40,20,20,-3.58599999999998,0.999321376853714
dynamic_refslew,40,20,20,-3.50199999999995,0.999204875323345
dynamic_refslew,40,20,20,-3.41599999999996,0.999476980700883
dynamic_refslew,40,20,20,-3.33199999999993,0.999769464411278
dynamic_refslew,40,20,20,-3.24599999999993,0.999615059922709
