success,source_grid,target_load_A,ref_slew_us,undershoot_mV,final_vout_error_mV,skip_count_est,settle_time_us,final_phase_spacing_std_ns,tradeoff_score,score_settle005,score_settle010,target_label,load_drop_A,load_drop_norm,objective,alpha_settle,objective_score,t_scaled,phase_std_scaled,settle_scaled,skip_risk,bias,t2,alpha_t,alpha_t2,drop_t,drop_t2,is_20A,is_10A,is_near0A,skip_t,phase_t,settle_alpha
True,dense_long,10.0,20,5.74633523237844,-0.54830282670304,1,10.676,83.5119725209874,9.96487750950123,10.4986775095012,11.0324775095012,10A,30.0,0.75,base,0.0,9.96487750950123,-1.0,0.835119725209874,0.21352000000000002,1,1.0,1.0,-0.0,0.0,-0.75,0.75,0.0,1.0,0.0,-1.0,-0.835119725209874,0.0
True,dense_long,10.0,30,5.25500364116427,-0.570905468897598,1,10.186,108.860001837568,10.0031091468132,10.5124091468132,11.0217091468132,10A,30.0,0.75,base,0.0,10.0031091468132,-0.75,1.08860001837568,0.20372,1,1.0,0.5625,-0.0,0.0,-0.5625,0.421875,0.0,1.0,0.0,-0.75,-0.8164500137817601,0.0
True,fine,10.0,32,5.18878165533221,-0.562518734228412,1,10.158,88.2482723669349,9.51626583689932,10.02416583689932,10.53206583689932,10A,30.0,0.75,base,0.0,9.51626583689932,-0.7,0.882482723669349,0.20315999999999998,1,1.0,0.48999999999999994,-0.0,0.0,-0.5249999999999999,0.36749999999999994,0.0,1.0,0.0,-0.7,-0.6177379065685442,0.0
True,fine,10.0,34,5.14617078943369,-0.548709062765607,1,15.2280000000001,88.0342564174254,9.45556498054781,10.216964980547816,10.97836498054782,10A,30.0,0.75,base,0.0,9.45556498054781,-0.65,0.8803425641742539,0.304560000000002,1,1.0,0.42250000000000004,-0.0,0.0,-0.48750000000000004,0.316875,0.0,1.0,0.0,-0.65,-0.572222666713265,0.0
True,fine,10.0,35,5.11898044713011,-0.568419447597668,1,15.2600000000001,103.153937629081,9.75047864730939,10.513478647309395,11.2764786473094,10A,30.0,0.75,base,0.0,9.75047864730939,-0.625,1.03153937629081,0.30520000000000197,1,1.0,0.390625,-0.0,0.0,-0.46875,0.29296875,0.0,1.0,0.0,-0.625,-0.6447121101817563,0.0
True,fine,10.0,36,5.0918022187646,-0.574544109034236,1,15.314,100.557235323066,9.67749103426016,10.443191034260161,11.20889103426016,10A,30.0,0.75,base,0.0,9.67749103426016,-0.6,1.00557235323066,0.30628,1,1.0,0.36,-0.0,0.0,-0.44999999999999996,0.27,0.0,1.0,0.0,-0.6,-0.6033434119383959,0.0
True,fine,10.0,38,5.053006358959,-0.543134050420835,1,17.5560000000001,87.5577731351425,9.34729587208269,10.225095872082694,11.1028958720827,10A,30.0,0.75,base,0.0,9.34729587208269,-0.55,0.875577731351425,0.351120000000002,1,1.0,0.30250000000000005,-0.0,0.0,-0.41250000000000003,0.22687500000000005,0.0,1.0,0.0,-0.55,-0.4815677522432838,0.0
True,dense_long,10.0,40,5.01028636671008,-0.54894246574877,1,17.534,91.29556151628,9.38514006278445,10.2618400627844,11.1385400627845,10A,30.0,0.75,base,0.0,9.38514006278445,-0.5,0.9129556151628,0.35068,1,1.0,0.25,-0.0,0.0,-0.375,0.1875,0.0,1.0,0.0,-0.5,-0.4564778075814,0.0
True,dense_long,10.0,50,4.84748739227403,-0.538008058053707,1,20.5380000000001,79.7841311007952,8.98117807234364,10.0080780723436,11.0349780723436,10A,30.0,0.75,base,0.0,8.98117807234364,-0.25,0.797841311007952,0.410760000000002,1,1.0,0.0625,-0.0,0.0,-0.1875,0.046875,0.0,1.0,0.0,-0.25,-0.199460327751988,0.0
True,dense_long,10.0,60,4.76620200153932,-0.574047025575397,1,29.034,105.137663265574,9.44300229242621,10.8947022924262,12.3464022924262,10A,30.0,0.75,base,0.0,9.44300229242621,0.0,1.05137663265574,0.58068,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
