target_label,objective,tau_ai_us,candidate_ref_slew_us,selected_objective_score,undershoot_mV,settle_time_us,skip_count_est,phase_std_ns,evidence_source,source_priority
20A,score_settle005,1.25,42.0,2.34517641090379,1.00107392878601,0.938000000000024,0,42.6427404718624,R038_minimal_extrapolation,4
20A,score_settle005,1.25,44.0,2.42123752691489,1.00107392878601,0.938000000000024,0,46.1435647885606,R038_minimal_extrapolation,4
20A,score_settle005,1.75,52.0,2.97316362778122,0.991779598240816,12.208,0,46.3767867511571,R038_minimal_extrapolation,4
20A,score_settle005,1.75,56.0,2.88487065426133,0.991779598240816,12.228,0,41.8706707297443,R038_minimal_extrapolation,4
20A,score_settle005,2.0,42.0,2.5717896664366,0.991779598240816,0.938000000000024,0,53.8413306765128,R038_minimal_extrapolation,4
20A,score_settle005,2.0,44.0,2.09013525722629,0.991779598240816,0.938000000000024,0,30.7015846761689,R038_minimal_extrapolation,4
20A,score_settle005,2.0,48.0,2.07238375262604,0.991779598240816,0.938000000000024,0,30.0823736828782,R038_minimal_extrapolation,4
20A,score_settle005,1.5,46.0,4.7708392364743,0.991779598240816,10.0400000000001,1,41.9327882478362,R038_minimal_extrapolation,4
20A,score_settle005,1.5,54.0,2.86061164028302,0.991779598240816,12.21,0,40.961963233717,R038_minimal_extrapolation,4
