success,error_message,r027_case_id,target_label,objective,policy,objective_alpha_settle,target_load_A,load_drop_A,selected_ref_slew_us,tau_ai_us,delay_events,ref_start_delay_us,selected_objective_score,undershoot_mV,settle_time_us,skip_count_est,final_phase_spacing_std_ns,final_vout_error_mV,switching_regret_vs_best_in_run,evidence_source,context_best_score,context_regret
1,,R032_0023,20A,score_settle005,r032_delay_band_candidate,0.05,20,20,38,1.5,3,1.5,2.34625758081584,0.991779598240816,0.938000000000024,0,43.3554430450705,-0.440469121673615,0.205017004960712,R033_anchor_tau1p5,2.14124057585513,0.20501700496070985
1,,R032_0024,20A,score_settle005,r032_delay_band_candidate,0.05,20,20,50,1.5,3,1.5,2.14124057585513,0.991779598240816,0.938000000000024,0,33.4676816392218,-0.433207344829878,0.0,R033_anchor_tau1p5,2.14124057585513,0.0
1,,R032_0025,20A,score_settle005,r032_delay_band_candidate,0.05,20,20,58,1.5,3,1.5,2.95347679866476,0.991779598240816,12.232,0,45.5676019697673,-0.438745161028598,0.812236222809632,R033_anchor_tau1p5,2.14124057585513,0.8122362228096298
1,,R034_0011,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,38,1.75,4,1.75,2.30073671402463,0.991779598240816,0.938000000000024,0,41.3419781723188,-0.435217552337441,0.158889917535278,R034_full_validation,2.14184679648936,0.15888991753527026
1,,R034_0012,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,46,1.75,4,1.75,4.17839615172919,0.991779598240816,0.938000000000024,1,35.195995034956,-0.435796652789255,2.03654935523984,R034_full_validation,2.14184679648936,2.0365493552398304
1,,R034_0013,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,50,1.75,4,1.75,2.88593932063923,0.991779598240816,12.2020000000001,0,42.5004201674291,-0.434051319049833,0.744092524149879,R034_full_validation,2.14184679648936,0.7440925241498699
1,,R034_0014,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,54,1.75,4,1.75,2.14184679648936,1.00803410686667,0.938000000000024,0,32.6242192638823,-0.434428304345036,0.0,R034_full_validation,2.14184679648936,0.0
1,,R034_0015,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,58,1.75,4,1.75,2.99182104466666,0.991779598240816,12.246,0,47.0941376254198,-0.445858693917445,0.849974248177304,R034_full_validation,2.14184679648936,0.8499742481773
1,,R034_0016,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,38,2.0,4,2.0,2.5790621856906,0.991779598240816,0.938000000000024,0,54.2581717949389,-0.455219151551001,0.305122613873745,R034_full_validation,2.27393957181685,0.3051226138737504
1,,R034_0017,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,46,2.0,4,2.0,2.27393957181685,0.991779598240816,0.938000000000024,0,39.7220964169689,-0.440818045236657,0.0,R034_full_validation,2.27393957181685,0.0
1,,R034_0018,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,50,2.0,4,2.0,2.30068098631418,0.991779598240816,0.938000000000024,0,40.6779063319901,-0.448443261433562,0.0267414144973284,R034_full_validation,2.27393957181685,0.02674141449733014
1,,R034_0019,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,54,2.0,4,2.0,2.77620330047599,0.991779598240816,12.228,0,36.9111423897905,-0.434800854439366,0.502263728659142,R034_full_validation,2.27393957181685,0.5022637286591403
1,,R034_0020,20A,score_settle005,r034_transition_pocket_candidate,0.05,20,20,58,2.0,4,2.0,2.96940301479791,0.991779598240816,12.2260000000001,0,46.1966466189913,-0.442390484177269,0.695463442981061,R034_full_validation,2.27393957181685,0.69546344298106
