case,omega_over_pi,frequency_domain,events,burn,blocks,burn_blocks,lambda_amp_si,ton_amp_s,wait_exact_amp_ns,wait_pred_amp_ns,wait_amp_abs_error_ns,wait_amp_error_pct,wait_phase_exact_deg,wait_phase_pred_deg,wait_phase_error_deg,wait_rms_error_ps,wait_rms_error_pct,wait_observable,current_exact_amp_mA,current_pred_amp_mA,current_amp_abs_error_mA,current_amp_error_pct,current_phase_error_deg,current_rms_error_mA,current_observable,dataset,input_type,lambda_pattern,ton_pattern,projection_pattern
lambda_one_phase_w0.200,0.2,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.049603294647721126,0.04960329455914154,-8.85795858604757e-11,-1.7857600953519182e-07,-146.81474862651035,-146.8147486389573,-1.2446935357064037e-08,0.00014073380291841398,0.0004012387763252463,1,0.003459800265731861,0.003459800300541185,3.480932422256851e-11,1.0061079080969648e-06,-1.954151676063774e-06,7.617542306598032e-07,1,frequency_response,Lambda,one_phase,,one_phase
lambda_one_phase_w0.350,0.35,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.048204978565948346,0.048204978516791834,-4.9156513295367855e-11,-1.019739293006694e-07,-75.50972178754259,-75.50972179771661,-1.0174009203940401e-08,0.00015133617208964084,0.00044398249580869607,1,0.0019510525817245435,0.0019510526096363943,2.791185065329849e-11,1.4306047457779414e-06,-2.3932617270525594e-06,2.618994966781748e-07,1,frequency_response,Lambda,one_phase,,one_phase
lambda_one_phase_w0.500,0.5,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.046852480733885184,0.04685248068557611,-4.830906675780728e-11,-1.0310887699205296e-07,-3.3854813118810245,-3.385481326546651,-1.4665626294190021e-08,0.00023905349534258106,0.0007215683990890577,1,0.0013720304538827745,0.0013720304490840445,-4.7987300609141515e-12,-3.497539036168007e-07,-5.929338600893459e-06,1.3090395098662863e-07,1,frequency_response,Lambda,one_phase,,one_phase
lambda_one_phase_w0.700,0.7,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.045564024119982685,0.045564024091765944,-2.821673981896913e-11,-6.192767409984867e-08,-146.34240166686854,-146.34240167261936,-5.750824530647814e-09,0.0002945109180513698,0.0009141012949798296,1,0.0010349252376280404,0.001034925221989735,-1.563830534285929e-11,-1.5110565243503515e-06,-3.454481810848496e-06,5.906622035504853e-07,1,frequency_response,Lambda,one_phase,,one_phase
lambda_one_phase_w0.850,0.85,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.04503837338325508,0.04503837336157663,-2.1678445763408577e-11,-4.813327514341381e-08,-73.22485760934981,-73.22485760789671,1.453093656210874e-09,0.00033564286584621567,0.0010539250361362277,1,0.000927825949052062,0.0009278259046068419,-4.444522015844437e-11,-4.7902540600830434e-06,1.920581353956363e-06,7.466597639161002e-07,1,frequency_response,Lambda,one_phase,,one_phase
ton_common_w0.005,0.005,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,0.019294777191181448,0.019294788145851897,1.0954670450620875e-08,5.677531460523966e-05,-87.16527529901558,-87.16519243707994,8.286193564273685e-05,0.00039966984248392237,0.002906043148380605,1,0.3532211738433889,0.3532202985947198,-8.752486691139538e-07,-0.0002477905442610506,-7.1385922908117976e-06,1.512831434101234e-05,1,frequency_response,Ton,,common,common
ton_common_w0.010,0.01,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,0.019252019290503644,0.0192520475054094,2.821490575598712e-08,0.00014655556557219285,122.05038167358622,122.05039246478626,1.0791200038210575e-05,0.0003221370059229184,0.002380631801852614,1,0.3656995465469386,0.36569921197191746,-3.345750211711414e-07,-9.148904458466944e-05,7.679702682090687e-05,1.7404254829093477e-05,1,frequency_response,Ton,,common,common
ton_common_w0.020,0.02,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,0.0192304923410283,0.019230497968837232,5.627808930084969e-09,2.92650278010953e-05,-150.281927307136,-150.28191916307347,8.144062518040231e-06,0.0002972358197687764,0.0021733033961805854,1,0.3684655927777116,0.36846552840164887,-6.437606274879021e-08,-1.7471390545420462e-05,-4.554670361023861e-05,1.8625745729376967e-05,1,frequency_response,Ton,,common,common
ton_common_w0.050,0.05,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,0.019127695325119945,0.019127697917569415,2.5924494710201114e-09,1.355338123953942e-05,140.19357753078052,140.19358035232491,2.8215444065725197e-06,0.00031177125218097236,0.0023050551636404418,1,0.36809527891301186,0.3680952396723541,-3.924065776093541e-08,-1.0660462113065705e-05,1.5280512387218594e-06,1.8582557981009016e-05,1,frequency_response,Ton,,common,common
ton_common_w0.100,0.1,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,0.01882377543033218,0.01882377660731078,1.1769785981242614e-09,6.252617090751755e-06,-86.49819992395662,-86.49819917146833,7.524882971983268e-07,0.0003646164263440871,0.002739319414968254,1,0.3649803982072199,0.3649803751152107,-2.3092009207581476e-08,-6.326917645349539e-06,5.608090905429963e-07,1.792050470312654e-05,1,frequency_response,Ton,,common,common
ton_common_w0.200,0.2,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,0.017704416301585518,0.01770441694699892,6.454134018164766e-10,3.6454938179275587e-06,-176.07632123500028,-176.0763196899519,1.5450484028284125e-06,0.0004232801371766715,0.0033811215547261348,1,0.35338986270059103,0.353389852185132,-1.0515459000510347e-08,-2.975597235277405e-06,7.112982057405654e-07,1.5721222655191733e-05,1,frequency_response,Ton,,common,common
ton_common_w0.350,0.35,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,0.01518585826129231,0.015185858503075595,2.4178328392446463e-10,1.5921608031987944e-06,-128.18304323221267,-128.18304170385392,1.5283587601929007e-06,0.00038416451757651386,0.003577607732014424,1,0.328603367299101,0.3286033615506449,-5.7484560731305145e-09,-1.7493600679152621e-06,5.165428556528544e-07,1.2013427479875562e-05,1,frequency_response,Ton,,common,common
ton_common_w0.500,0.5,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,0.01235079713716479,0.01235079719811593,6.095114109368083e-11,4.934996633565447e-07,-79.37867745341929,-79.37867576591786,1.687501426790046e-06,0.0005476055765721373,0.006270292047460618,1,0.30339140888325533,0.3033914059774227,-2.905832638313427e-09,-9.5778343034425e-07,4.359938914076803e-07,9.805006248417079e-06,1,frequency_response,Ton,,common,common
ton_common_w0.700,0.7,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,0.008955650228886405,0.008955650165736717,-6.314968861103161e-11,-7.0513794803162e-07,103.3714147882921,103.37141588837163,1.1000795283942152e-06,0.0005355787024680645,0.008457482846660246,1,0.2779958930851962,0.27799588980392237,-3.2812737986789853e-09,-1.180331754557784e-06,-5.040975614620061e-09,7.3873820892319756e-06,1,frequency_response,Ton,,common,common
ton_common_w0.850,0.85,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,0.00716011309497011,0.0071601129188209045,-1.7614920600345046e-10,-2.4601455872463873e-06,144.78054380551117,144.7805441873504,3.8183920228373184e-07,0.0005346613043118793,0.01056024159627624,1,0.26716181265860334,0.2671618095054022,-3.1532011702216367e-09,-1.1802589350295989e-06,1.0690605073078686e-07,7.58617439025862e-06,1,frequency_response,Ton,,common,common
ton_m1_cos_w0.005,0.005,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,2.595971337210204,2.5958749687798583,-9.636843034557536e-05,-0.003712230137686845,175.33147796504574,175.33169120350996,0.00021323846420166732,0.09095988351065667,0.005012080621133392,1,31.125652287265968,31.12570433415151,5.204688554097392e-05,0.0001672154050336161,-0.00015745448699976374,0.000145565329651091,1,frequency_response,Ton,,m1_cos,m1_cos
ton_m1_cos_w0.010,0.01,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,1.4894235381806038,1.4894051132079469,-1.8424972657007564e-05,-0.0012370539463568697,29.685545765308422,29.68540367937483,-0.00014208593359571315,0.040146707547932814,0.0037850444006048535,1,18.040449848479398,18.04045925554224,9.407062840499636e-06,5.214428087096934e-05,-6.807368905814858e-05,5.075067475409775e-05,1,frequency_response,Ton,,m1_cos,m1_cos
ton_m1_cos_w0.020,0.02,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,0.7710659825483204,0.771063575968631,-2.406579689420006e-06,-0.00031211073291403935,121.11736961507702,121.11734314144206,-2.6473634947637974e-05,0.020220802350468678,0.003730260478008367,1,9.382606958371994,9.382607428196877,4.698248821238815e-07,5.007402359424873e-06,-3.146681005683919e-05,1.3463185946442993e-05,1,frequency_response,Ton,,m1_cos,m1_cos
ton_m1_cos_w0.050,0.05,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,0.31152879310723436,0.3115286285610857,-1.6454614865319965e-07,-5.281892149211487e-05,57.696510967871355,57.6964847872827,-2.6180588651674063e-05,0.008350521741773444,0.0037904578336359403,1,3.8035309267057564,3.8035309309573013,4.251545296374282e-09,1.117788972493372e-07,-1.181721569451486e-05,2.0794434557667644e-06,1,frequency_response,Ton,,m1_cos,m1_cos
ton_m1_cos_w0.100,0.1,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,0.15515988816913948,0.1551598686615619,-1.9507577583434897e-08,-1.2572564866975e-05,-160.39687206456807,-160.39689238343027,-2.0318862186782514e-05,0.004434031284419391,0.004041060253446158,1,1.9099733981868208,1.909973369206184,-2.898063668384243e-08,-1.5173319489747428e-06,-5.696834691263283e-06,4.214151953199244e-07,1,frequency_response,Ton,,m1_cos,m1_cos
ton_m1_cos_w0.200,0.2,four_event_lifted_block,6144,1024,1536,256,0.0,1e-11,0.076063725244362,0.07606372612271547,8.78353469064373e-10,1.154759998733823e-06,126.13915799020997,126.13913996091912,-1.8029290842455594e-05,0.002521729907718984,0.004688105295824259,1,0.9674255793004172,0.967425563198116,-1.6102301133094632e-08,-1.6644485567596234e-06,-2.835794182100787e-06,1.1574439928050772e-07,1,frequency_response,Ton,,m1_cos,m1_cos
